competition,year,problem,paper_id,title,award_or_label,access,source_url,resource_url,card_file,card_schema_version,review_status,authenticity_level,pdf_sha256,evidence_page_count,code_link_count,cached_pages,reported_total_pages,notes
APMCM,2023,index,apmcm-2023-index,APMCM 2023 official competition index,official_results_index,index_only_official_results,https://apmcm.org/,https://www.saikr.com/vse/apmcm/2023,apmcm-2023-index.json,1,official_results_index_only,,,0,0,,,仅作为官方赛事/结果索引；未读取论文全文，不用于版式或模型结论
APMCM,2024,index,apmcm-2024-index,APMCM 2024 official competition index,official_results_index,index_only_official_results,https://apmcm.org/,https://www.saikr.com/vse/apmcm/2024,apmcm-2024-index.json,1,official_results_index_only,,,0,0,,,仅作为官方赛事/结果索引；未读取论文全文，不用于版式或模型结论
APMCM,2025,index,apmcm-2025-index,APMCM 2025 official competition index,official_results_index,index_only_official_results,https://apmcm.org/,https://www.saikr.com/vse/apmcm/2025,apmcm-2025-index.json,1,official_results_index_only,,,0,0,,,仅作为官方赛事/结果索引；未读取论文全文，不用于版式或模型结论
CUMCM,2012,A,cumcm-2012-a-a441,葡萄酒的评价,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2012/A441.pdf,,deep-read-cumcm/cumcm-2012-a-a441.json,3.0,evidence_deep_read,C,bf211e0d2901698f856b2b75b528419b89fed8c408950a1596970259ebecae84,9,0,27,27,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
CUMCM,2012,B,cumcm-2012-b-b077,太阳能小屋的设计,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2012/B077/B077.pdf,,deep-read-cumcm/cumcm-2012-b-b077.json,3.0,evidence_deep_read,C,8059c92cc76a4fff6d09f47044e7cd5ddcadafe7fdbdf423d279da0649e7f028,9,0,34,34,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
CUMCM,2013,A,cumcm-2013-a-a056,车道被占用对城市道路通行能力的影响,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2013/A056/5486/5486.pdf,,deep-read-cumcm/cumcm-2013-a-a056.json,3.0,evidence_deep_read,C,bae180e8fe47c11e9096a3bd2484fc08e66fcfe6969e65c6c644679ed7cab02d,10,0,35,35,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
CUMCM,2013,C,cumcm-2013-c-c048,古塔的变形,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2013/C048/1C2302/%E6%88%90%E9%83%BD%E5%B7%A5%E4%B8%9A%E5%AD%A6%E9%99%A2%20%E4%B8%935%20C%20%E8%82%96%E7%91%9C%E7%90%B3%20%E5%88%98%E6%96%B0%E7%87%95%20%E9%BB%84%E9%BE%99.pdf,,deep-read-cumcm/cumcm-2013-c-c048.json,3.0,evidence_deep_read,C,526a5ab01f6ab20f295cbe908ab214db2611bfd62ef97cc50f9f26c025f33523,10,0,39,39,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
CUMCM,2014,A,cumcm-2014-a-a305,嫦娥三号软着陆轨道设计与控制策略,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2014/A305/A10009072_%E5%90%89%E5%BC%A0%E9%B9%A4%E8%BD%A9_%E6%9D%A8%E5%8D%87_%E9%99%88%E5%90%8C%E5%B9%BF/A10009072_%E5%90%89%E5%BC%A0%E9%B9%A4%E8%BD%A9_%E6%9D%A8%E5%8D%87_%E9%99%88%E5%90%8C%E5%B9%BF.pdf,,deep-read-cumcm/cumcm-2014-a-a305.json,3.0,evidence_deep_read,C,f451834248c687e1118160cbdffd18490e80f313f3aeacf3e314f2fbef476ecb,10,0,36,36,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
CUMCM,2014,B,cumcm-2014-b-b009,2014 高教社杯全国大学生数学建模竞赛,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2014/B009/B16046004_%E7%A8%8B%E5%8F%8C%E6%B3%BD_%E6%9D%8E%E5%90%9B%E6%98%8C_%E9%99%88%E5%87%8C%E5%8B%A4/B16046004_%E7%A8%8B%E5%8F%8C%E6%B3%BD_%E6%9D%8E%E5%90%9B%E6%98%8C_%E9%99%88%E5%87%8C%E5%8B%A4.pdf,,deep-read-cumcm/cumcm-2014-b-b009.json,3.0,evidence_deep_read,C,209094e0ec9d4b412ffc9ceb60a15f56b29bce6ce0880b31a444c391353e468c,10,0,25,25,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
CUMCM,2014,D,cumcm-2014-d-d11075002,,官方论文展示,public_page_images,https://raw.githubusercontent.com/zhanwen/MathModel/cd5be91735ebf11d5ee52eb170e86a6d07131977/%E5%9B%BD%E8%B5%9B%E8%AE%BA%E6%96%87/2014%E5%B9%B4%E4%BC%98%E7%A7%80%E8%AE%BA%E6%96%87/D/D11075002.pdf,,,,,,,,,51,51,
CUMCM,2015,A,cumcm-2015-a-a095,太阳影子定位模型,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2015/A095.pdf,,deep-read-cumcm/cumcm-2015-a-a095.json,3.0,evidence_deep_read,C,c97e422a5f3cb6419f9a77de7971a429f60a132490c08461cfe603a97ded6567,10,0,27,27,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
CUMCM,2015,B,cumcm-2015-b-b013,“互联网+”时代的出租车资源配置,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2015/B013.pdf,,deep-read-cumcm/cumcm-2015-b-b013.json,3.0,evidence_deep_read,C,0fe5fbcc4967d14172ac909c01e231e7950d36f478556c5f4002424d5b4515f1,10,0,26,26,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
CUMCM,2016,B,cumcm-2016-b-b067,小区开放对道路通行的影响,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2016/B067.pdf,,deep-read-cumcm/cumcm-2016-b-b067.json,3.0,evidence_deep_read,C,7fa10dbb33fa7f6e7afd7d0353b5dcce5d5ca98340b27d1aa83b8500cf0d2f7b,10,0,30,30,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
CUMCM,2016,D,cumcm-2016-d-d056,风电场运行状况分析及维护计划优化,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2016/D056.pdf,,deep-read-cumcm/cumcm-2016-d-d056.json,3.0,evidence_deep_read,C,270bfe8e5de84355a973e9027d94a1cea3721a4b759928589cfe3ec743a4eac1,9,0,81,81,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
CUMCM,2017,A,cumcm-2017-a-a156,基于单目标优化模型和图像重建算法的 CT 系统研究,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2017/A156.pdf,,deep-read-cumcm/cumcm-2017-a-a156.json,3.0,evidence_deep_read,C,4dd55539bb4e46e4cd3673ca1e5a373f5d26aae656d104931acc2276f140a717,10,0,29,29,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
