paper_id,problem,cached_pages,median_ink_density,median_color_pixel_fraction,median_left_margin_ratio,median_right_margin_ratio,median_top_margin_ratio,median_bottom_margin_ratio
cumcm-2012-a-a441,A,27,0.05185427698381066,0.0,0.11868131868131868,0.12087912087912088,0.07847707847707848,0.008547008547008548
cumcm-2012-b-b077,B,34,0.04797870523259125,0.0,0.11978021978021978,0.12087912087912088,0.08624708624708624,0.004273504273504274
cumcm-2013-a-a056,A,35,0.06106303023401469,0.0,0.14285714285714285,0.14395604395604394,0.08857808857808858,0.016317016317016316
cumcm-2013-c-c048,C,39,0.043213953576647875,0.0,0.11978021978021978,0.12307692307692308,0.08935508935508936,0.005439005439005439
cumcm-2014-a-a305,A,36,0.03685399229440681,0.0,0.15164835164835164,0.15164835164835164,0.09013209013209013,0.004662004662004662
cumcm-2014-b-b009,B,25,0.048089734100096794,0.0,0.11978021978021978,0.12087912087912088,0.08702408702408702,0.00777000777000777
cumcm-2014-d-d11075002,D,51,0.06736510467080416,0.0,0.14065934065934066,0.14285714285714285,0.08780108780108781,0.003108003108003108
cumcm-2015-a-a095,A,27,0.05382242972916548,0.009690827307407618,0.15054945054945054,0.15164835164835164,0.08780108780108781,0.011655011655011656
cumcm-2015-b-b013,B,26,0.04266307958017802,0.0016436068249539753,0.15164835164835164,0.15274725274725276,0.0947940947940948,0.03263403263403264
cumcm-2016-b-b067,B,30,0.05200231547381806,0.0,0.11978021978021978,0.12087912087912088,0.08663558663558663,0.009324009324009324
cumcm-2016-d-d056,D,81,0.035097458672588205,0.0,0.11868131868131868,0.12087912087912088,0.08702408702408702,0.002331002331002331
cumcm-2017-a-a156,A,29,0.05034352521399153,5.12440926948699e-05,0.15164835164835164,0.15274725274725276,0.08780108780108781,0.010101010101010102
cumcm-2017-b-b264,B,25,0.0440860521171402,0.0,0.11978021978021978,0.12087912087912088,0.08702408702408702,0.003108003108003108
cumcm-2018-b-b334,B,29,0.039313708743760556,0.0,0.11978021978021978,0.12087912087912088,0.08624708624708624,0.006216006216006216
cumcm-2018-c-c101,C,15,0.04719391144261611,0.0,0.15164835164835164,0.15274725274725276,0.09246309246309246,0.024087024087024088
cumcm-2019-b-b057,B,27,0.04309247280864128,0.0,0.11885895404120443,0.11885895404120443,0.08622620380739082,0.007278835386338186
cumcm-2019-e-e038,E,23,0.05788857583255508,0.0,0.14817749603803487,0.1473851030110935,0.06326987681970885,0.006159014557670772
cumcm-2020-a-a212,A,26,0.04039012148637544,0.002015149968605108,0.12142038946162657,0.12142038946162657,0.0902834008097166,0.0032388663967611335
cumcm-2020-d-d011,D,26,0.037460447075635395,0.0007603853168822038,0.15120274914089346,0.15234822451317298,0.0931174089068826,0.014574898785425101
cumcm-2024-a016,A,59,0.05319903691813804,0.0027624398073836276,0.11857142857142858,0.12,0.08897876643073811,0.0
cumcm-2024-a053,A,62,0.06308587479935794,0.003430661168488884,0.12857142857142856,0.12714285714285714,0.08897876643073811,0.003033367037411527
cumcm-2024-a163,A,30,0.05221348314606741,0.021710358444440844,0.12,0.12,0.08695652173913043,0.023749629765807724
cumcm-2024-a178,A,48,0.04686035313001605,0.031207062600321026,0.15142857142857144,0.15,0.0859453993933266,0.0
cumcm-2024-a242,A,54,0.04056500802568218,0.006966292134831461,0.08785714285714286,0.11142857142857143,0.08695652173913043,0.003033367037411527
cumcm-2024-b159,B,30,0.06459951845906903,0.0011107544141252007,0.15142857142857144,0.15142857142857144,0.08994443933776593,0.0020222446916076846
cumcm-2024-b195,B,70,0.04390288924558587,0.017354735152487963,0.07,0.08857142857142856,0.06875631951466127,0.0
cumcm-2024-b196,B,28,0.07752728731942216,1.6853932584269665e-05,0.12857142857142856,0.12857142857142856,0.08897876643073811,0.021739130434782608
cumcm-2024-c038,C,33,0.10112680577849117,0.0,0.15142857142857144,0.15142857142857144,0.08897876643073811,0.00101010101010101
cumcm-2024-c063,C,49,0.06316051364365971,0.0010401284109149277,0.12,0.12,0.08695652173913043,0.0020222446916076846
cumcm-2024-c094,C,58,0.04414794664794665,0.014749034749034749,0.07142857142857142,0.041428571428571426,0.10828729281767956,0.0066298342541436465
cumcm-2024-c234,C,45,0.07257463884430176,0.0,0.12857142857142856,0.12714285714285714,0.08796764408493428,0.0
cumcm-2024-d033,D,55,0.03741252006420546,0.0061316211878009634,0.11857142857142858,0.11857142857142858,0.08998988877654196,0.0
cumcm-2024-e010,E,30,0.06905284630909203,0.00013242375601926163,0.12,0.11785714285714285,0.08948432760364004,0.006572295247724975
cumcm-2024-e061,E,32,0.06434751203852326,0.0,0.12,0.12,0.0884732052578362,0.0010111223458038423
cumcm-2024-e218,E,62,0.07048475120385234,0.0,0.14142857142857143,0.14,0.0859453993933266,0.0
cumcm-2025-a196,A,30,0.0732215088282504,0.008817817014446228,0.12,0.11857142857142858,0.08695652173913043,0.017965761221073892
