x,y
0,0.775
1,1.625
2,2.05
3,2.3
4,2.475
5,2.625
6,2.75
7,2.8
8,2.875
9,2.825
10,2.725
11,2.725
12,2.775
13,2.7
14,2.45
15,2.55
16,2.625
17,2.775
18,2.625
19,2.575
20,2.55
21,2.625
22,2.6
23,2.625
24,2.475
25,2.425
26,2.375
27,2.2
28,2.375
29,2.45
30,2.3
31,2.275
32,2.35
33,2.5
34,2.575
35,2.525
36,2.425
37,2.275
38,2.275
39,2.25
40,2.275
41,2.425
42,2.575
43,2.55
44,2.5
45,2.425
46,2.25
47,2.2
48,2.3
49,2.275
50,2.425
51,2.5
52,2.55
53,2.5
54,2.525
55,2.6
56,2.375
57,2.35
58,2.475
59,2.55
60,2.55
61,2.55
62,2.55
63,2.55
64,2.55
65,2.6
66,2.6
67,2.675
68,2.4
69,2.7
70,2.75
71,2.65
72,2.725
73,2.525
74,2.4
75,2.45
76,2.3
77,2.3
78,2.4
79,2.275
80,2.325
81,2.325
82,2.225
83,2.175
84,2.225
85,2.175
86,2.45
87,2.5
88,2.35
89,2.325
90,2.25
91,2.45
92,2.325
93,2.2
94,2.45
95,2.575
96,2.325
97,2.375
98,2.35
99,2.375
100,2.425
101,2.425
102,2.5
103,2.6
104,2.45
105,2.575
106,2.625
107,2.6
108,2.45
109,2.325
110,2.35
111,2.3
112,2.3
113,2.225
114,2.4
115,2.4
116,2.25
117,2.5
118,2.45
119,2.45
120,2.6
121,2.55
122,2.375
123,2.375
124,2.475
125,2.5
126,2.55
127,2.525
128,2.5
129,2.55
130,2.475
131,2.425
132,2.3
133,2.575
134,2.625
135,2.7
136,2.725
137,2.775
138,2.775
139,2.625
140,2.6
141,2.675
142,2.7
143,2.55
144,2.5
145,2.5
146,2.575
147,2.45
148,2.325
149,2.325
150,2.35
151,2.275
152,2.425
153,2.4
154,2.45
155,2.475
156,2.275
157,2.425
158,2.5
159,2.575
160,2.525
161,2.5
162,2.45
163,2.5
164,2.525
165,2.425
166,2.325
167,2.175
168,2.075
169,2.1
170,2.325
171,2.375
172,2.275
173,2.325
174,2.45
175,2.425
176,2.575
177,2.525
178,2.425
179,2.325
