TaskType,SourceRegion,ExecutionRegion,ArrivalHour,StartMinute,EndMinute,Duration_min,GPU_Demand,MaxLatency_ms,NetworkLatency_ms,LatestFinishHour,SLA_met,SchedulePhase,TaskID
AITraining,RegionE,RegionE,2394,143640,143880,240,19,150,5,2406,True,q1-arrival,56
BatchInference,RegionE,RegionE,2390,143400,143580,180,16,80,5,2406,True,q1-arrival,57
BatchInference,RegionB,RegionB,2390,143400,143505,105,18,80,5,2406,True,q1-arrival,165
BatchInference,RegionB,RegionB,2385,143100,143395,295,6,80,5,2406,True,q1-arrival,205
RealTimeInference,RegionE,RegionE,2378,142680,142708,28,2,20,5,2379,True,q1-arrival,235
BatchInference,RegionA,RegionA,2392,143520,143607,87,17,80,5,2406,True,q1-arrival,315
BatchInference,RegionD,RegionD,2382,142920,143047,127,13,80,5,2406,True,q1-arrival,403
BatchInference,RegionA,RegionA,2388,143280,143515,235,12,80,5,2406,True,q1-arrival,583
BatchInference,RegionF,RegionF,2397,143820,143925,105,21,80,5,2406,True,q1-arrival,701
AITraining,RegionF,RegionF,2378,142680,143019,339,113,150,5,2406,True,q1-arrival,1055
RealTimeInference,RegionA,RegionA,2389,143340,143630,290,1,20,5,2394,True,q1-arrival,1096
BatchInference,RegionB,RegionB,2390,143400,143582,182,12,80,5,2406,True,q1-arrival,1136
BatchInference,RegionB,RegionB,2385,143100,143434,334,9,80,5,2406,True,q1-arrival,1234
AITraining,RegionF,RegionD,2388,143280,143562,282,113,150,25,2406,True,q1-arrival,1264
AITraining,RegionC,RegionC,2392,143520,143855,335,18,150,5,2406,True,q1-arrival,1371
AITraining,RegionF,RegionF,2399,143940,144104,164,37,150,5,2406,True,q1-arrival,1455
AITraining,RegionF,RegionF,2377,142620,142912,292,98,150,5,2406,True,q1-arrival,1540
BatchInference,RegionE,RegionE,2383,142980,143111,131,14,80,5,2406,True,q1-arrival,1664
RealTimeInference,RegionA,RegionA,2394,143640,143689,49,1,20,5,2395,True,q1-arrival,1843
AITraining,RegionD,RegionD,2386,143160,143320,160,116,150,5,2406,True,q1-arrival,2055
AITraining,RegionD,RegionD,2390,143400,143649,249,57,150,5,2406,True,q1-arrival,2167
BatchInference,RegionA,RegionA,2387,143220,143259,39,7,80,5,2406,True,q1-arrival,2374
RealTimeInference,RegionC,RegionC,2392,143520,143776,256,2,20,5,2397,True,q1-arrival,2412
AITraining,RegionC,RegionC,2398,143880,144230,350,16,150,5,2406,True,q1-arrival,2473
RealTimeInference,RegionB,RegionB,2378,142680,142959,279,1,20,5,2383,True,q1-arrival,2508
AITraining,RegionF,RegionF,2392,143520,143684,164,30,150,5,2406,True,q1-arrival,2517
BatchInference,RegionE,RegionE,2397,143820,144011,191,19,80,5,2406,True,q1-arrival,2648
BatchInference,RegionB,RegionB,2379,142740,142965,225,15,80,5,2406,True,q1-arrival,2763
BatchInference,RegionD,RegionD,2387,143220,143594,374,15,80,5,2406,True,q1-arrival,3113
RealTimeInference,RegionA,RegionA,2378,142680,142783,103,7,20,5,2380,True,q1-arrival,3444
RealTimeInference,RegionC,RegionC,2386,143160,143332,172,1,20,5,2389,True,q1-arrival,3455
RealTimeInference,RegionB,RegionB,2376,142560,142631,71,2,20,5,2378,True,q1-arrival,3498
BatchInference,RegionE,RegionE,2392,143520,143574,54,9,80,5,2406,True,q1-arrival,3566
BatchInference,RegionD,RegionD,2396,143760,144156,396,19,80,5,2406,True,q1-arrival,3736
AITraining,RegionE,RegionF,2390,143400,143746,346,89,150,18,2406,True,q1-arrival,3782
AITraining,RegionF,RegionF,2376,142560,142658,98,32,150,5,2406,True,q1-arrival,3809
BatchInference,RegionF,RegionF,2397,143820,144002,182,4,80,5,2406,True,q1-arrival,3928
RealTimeInference,RegionF,RegionF,2382,142920,143250,330,1,20,5,2388,True,q1-arrival,3948
BatchInference,RegionA,RegionA,2383,142980,143148,168,8,80,5,2406,True,q1-arrival,4060
BatchInference,RegionA,RegionA,2391,143460,143712,252,15,80,5,2406,True,q1-arrival,4113
AITraining,RegionE,RegionE,2377,142620,142900,280,94,150,5,2406,True,q1-arrival,4202
RealTimeInference,RegionA,RegionA,2377,142620,142882,262,5,20,5,2382,True,q1-arrival,4316
AITraining,RegionE,RegionE,2398,143880,144102,222,21,150,5,2406,True,q1-arrival,4353
RealTimeInference,RegionC,RegionC,2390,143400,143757,357,4,20,5,2396,True,q1-arrival,4354
BatchInference,RegionD,RegionD,2398,143880,144134,254,11,80,5,2406,True,q1-arrival,4418
RealTimeInference,RegionC,RegionC,2382,142920,143127,207,5,20,5,2386,True,q1-arrival,4590
AITraining,RegionD,RegionD,2385,143100,143230,130,34,150,5,2406,True,q1-arrival,4599
BatchInference,RegionA,RegionA,2393,143580,143703,123,15,80,5,2406,True,q1-arrival,4611
BatchInference,RegionB,RegionB,2394,143640,143856,216,17,80,5,2406,True,q1-arrival,4848
BatchInference,RegionD,RegionD,2390,143400,143630,230,8,80,5,2406,True,q1-arrival,4851
RealTimeInference,RegionF,RegionF,2398,143880,144080,200,3,20,5,2402,True,q1-arrival,4886
AITraining,RegionE,RegionE,2391,143460,143812,352,50,150,5,2406,True,q1-arrival,4930
RealTimeInference,RegionC,RegionC,2391,143460,143640,180,4,20,5,2394,True,q1-arrival,4943
RealTimeInference,RegionB,RegionB,2396,143760,144076,316,1,20,5,2402,True,q1-arrival,5138
RealTimeInference,RegionC,RegionC,2398,143880,144141,261,4,20,5,2403,True,q1-arrival,5272
AITraining,RegionE,RegionE,2385,143100,143188,88,64,150,5,2406,True,q1-arrival,5277
AITraining,RegionE,RegionE,2395,143700,143877,177,116,150,5,2406,True,q1-arrival,5435
RealTimeInference,RegionB,RegionB,2393,143580,143835,255,6,20,5,2398,True,q1-arrival,5663
AITraining,RegionD,RegionD,2389,143340,143479,139,82,150,5,2406,True,q1-arrival,5727
AITraining,RegionD,RegionD,2382,142920,143011,91,26,150,5,2406,True,q1-arrival,5845
AITraining,RegionF,RegionF,2380,142800,143097,297,92,150,5,2406,True,q1-arrival,6052
RealTimeInference,RegionA,RegionA,2389,143340,143700,360,5,20,5,2395,True,q1-arrival,6232
RealTimeInference,RegionB,RegionB,2392,143520,143624,104,1,20,5,2394,True,q1-arrival,6235
BatchInference,RegionA,RegionA,2388,143280,143422,142,5,80,5,2406,True,q1-arrival,6323
BatchInference,RegionD,RegionD,2397,143820,144107,287,5,80,5,2406,True,q1-arrival,6392
RealTimeInference,RegionA,RegionA,2377,142620,142883,263,7,20,5,2382,True,q1-arrival,6423
AITraining,RegionE,RegionE,2394,143640,143937,297,98,150,5,2406,True,q1-arrival,6438
RealTimeInference,RegionA,RegionA,2377,142620,143007,387,6,20,5,2384,True,q1-arrival,6481
AITraining,RegionC,RegionC,2378,142680,143001,321,17,150,5,2406,True,q1-arrival,6507
BatchInference,RegionB,RegionB,2394,143640,143939,299,23,80,5,2406,True,q1-arrival,6508
AITraining,RegionF,RegionF,2395,143700,143742,42,29,150,5,2406,True,q1-arrival,6767
AITraining,RegionD,RegionD,2391,143460,143850,390,52,150,5,2406,True,q1-arrival,6876
RealTimeInference,RegionB,RegionB,2397,143820,144098,278,5,20,5,2402,True,q1-arrival,7165
AITraining,RegionF,RegionF,2395,143700,143946,246,104,150,5,2406,True,q1-arrival,7372
BatchInference,RegionD,RegionD,2376,142560,142934,374,10,80,5,2406,True,q1-arrival,7403
RealTimeInference,RegionA,RegionA,2393,143580,143817,237,3,20,5,2397,True,q1-arrival,7484
RealTimeInference,RegionA,RegionA,2398,143880,143950,70,5,20,5,2400,True,q1-arrival,7530
RealTimeInference,RegionD,RegionD,2382,142920,142961,41,7,20,5,2383,True,q1-arrival,7542
AITraining,RegionF,RegionF,2399,143940,144017,77,115,150,5,2406,True,q1-arrival,7857
BatchInference,RegionC,RegionC,2396,143760,143787,27,21,80,5,2406,True,q1-arrival,7874
RealTimeInference,RegionE,RegionE,2399,143940,144205,265,4,20,5,2404,True,q1-arrival,7890
BatchInference,RegionE,RegionE,2376,142560,142586,26,11,80,5,2406,True,q1-arrival,7902
AITraining,RegionE,RegionE,2379,142740,142807,67,70,150,5,2406,True,q1-arrival,7973
BatchInference,RegionC,RegionC,2395,143700,143762,62,8,80,5,2406,True,q1-arrival,8294
RealTimeInference,RegionB,RegionB,2386,143160,143235,75,5,20,5,2388,True,q1-arrival,8353
BatchInference,RegionB,RegionB,2398,143880,144006,126,21,80,5,2406,True,q1-arrival,8745
AITraining,RegionE,RegionE,2390,143400,143675,275,44,150,5,2406,True,q1-arrival,8760
AITraining,RegionD,RegionD,2392,143520,143569,49,97,150,5,2406,True,q1-arrival,8915
RealTimeInference,RegionD,RegionD,2398,143880,144126,246,2,20,5,2403,True,q1-arrival,8972
RealTimeInference,RegionC,RegionC,2387,143220,143361,141,3,20,5,2390,True,q1-arrival,9168
BatchInference,RegionE,RegionE,2376,142560,142582,22,7,80,5,2406,True,q1-arrival,9267
AITraining,RegionD,RegionD,2376,142560,142648,88,119,150,5,2406,True,q1-arrival,9415
AITraining,RegionE,RegionE,2387,143220,143558,338,58,150,5,2406,True,q1-arrival,9535
AITraining,RegionD,RegionD,2398,143880,144244,364,123,150,5,2406,True,q1-fix-and-opt,9572
RealTimeInference,RegionB,RegionB,2381,142860,142982,122,7,20,5,2384,True,q1-arrival,9585
AITraining,RegionD,RegionD,2378,142680,142871,191,27,150,5,2406,True,q1-arrival,9591
RealTimeInference,RegionC,RegionC,2399,143940,144020,80,6,20,5,2401,True,q1-arrival,9621
AITraining,RegionF,RegionF,2379,142740,142795,55,102,150,5,2406,True,q1-arrival,9845
BatchInference,RegionE,RegionE,2387,143220,143564,344,13,80,5,2406,True,q1-arrival,9850
RealTimeInference,RegionC,RegionC,2385,143100,143191,91,5,20,5,2387,True,q1-arrival,9936
BatchInference,RegionD,RegionD,2390,143400,143567,167,15,80,5,2406,True,q1-arrival,10184
AITraining,RegionE,RegionE,2386,143160,143285,125,38,150,5,2406,True,q1-arrival,10275
BatchInference,RegionF,RegionF,2396,143760,143897,137,14,80,5,2406,True,q1-arrival,10284
AITraining,RegionD,RegionD,2384,143040,143312,272,68,150,5,2406,True,q1-arrival,10306
RealTimeInference,RegionC,RegionC,2389,143340,143482,142,7,20,5,2392,True,q1-arrival,10407
BatchInference,RegionC,RegionC,2396,143760,143829,69,4,80,5,2406,True,q1-arrival,10504
BatchInference,RegionC,RegionC,2379,142740,143074,334,23,80,5,2406,True,q1-arrival,10622
AITraining,RegionF,RegionF,2382,142920,142985,65,110,150,5,2406,True,q1-arrival,10704
BatchInference,RegionA,RegionA,2379,142740,143047,307,20,80,5,2406,True,q1-arrival,11216
AITraining,RegionD,RegionD,2383,142980,143050,70,112,150,5,2406,True,q1-arrival,11304
BatchInference,RegionD,RegionD,2394,143640,143901,261,16,80,5,2406,True,q1-arrival,11351
RealTimeInference,RegionE,RegionE,2384,143040,143434,394,3,20,5,2391,True,q1-arrival,11360
BatchInference,RegionC,RegionC,2380,142800,142911,111,22,80,5,2406,True,q1-arrival,11383
BatchInference,RegionF,RegionF,2398,143880,143915,35,21,80,5,2406,True,q1-arrival,11780
BatchInference,RegionB,RegionB,2386,143160,143512,352,19,80,5,2406,True,q1-arrival,11834
RealTimeInference,RegionC,RegionC,2382,142920,143003,83,7,20,5,2384,True,q1-arrival,11877
AITraining,RegionE,RegionE,2376,142560,142806,246,111,150,5,2406,True,q1-arrival,11961
BatchInference,RegionC,RegionC,2382,142920,143156,236,15,80,5,2406,True,q1-arrival,11993
RealTimeInference,RegionA,RegionA,2387,143220,143259,39,2,20,5,2388,True,q1-arrival,12025
AITraining,RegionC,RegionC,2381,142860,143002,142,68,150,5,2406,True,q1-arrival,12181
BatchInference,RegionD,RegionD,2393,143580,143595,15,5,80,5,2406,True,q1-arrival,12184
AITraining,RegionA,RegionA,2391,143460,143497,37,101,150,5,2406,True,q1-arrival,12397
BatchInference,RegionB,RegionB,2396,143760,143957,197,17,80,5,2406,True,q1-arrival,12431
RealTimeInference,RegionA,RegionA,2394,143640,143909,269,1,20,5,2399,True,q1-arrival,12444
RealTimeInference,RegionC,RegionC,2395,143700,143875,175,5,20,5,2398,True,q1-arrival,12481
AITraining,RegionE,RegionE,2383,142980,143163,183,51,150,5,2406,True,q1-arrival,12755
BatchInference,RegionA,RegionA,2383,142980,143032,52,4,80,5,2406,True,q1-arrival,12791
RealTimeInference,RegionB,RegionB,2394,143640,143650,10,6,20,5,2395,True,q1-arrival,13174
RealTimeInference,RegionA,RegionA,2395,143700,143747,47,6,20,5,2396,True,q1-arrival,13251
RealTimeInference,RegionB,RegionB,2383,142980,143029,49,1,20,5,2384,True,q1-arrival,13331
AITraining,RegionD,RegionD,2394,143640,143783,143,53,150,5,2406,True,q1-arrival,13376
RealTimeInference,RegionA,RegionA,2398,143880,144005,125,6,20,5,2401,True,q1-arrival,13381
RealTimeInference,RegionE,RegionE,2382,142920,143177,257,6,20,5,2387,True,q1-arrival,13505
AITraining,RegionD,RegionD,2381,142860,143252,392,23,150,5,2406,True,q1-arrival,13587
AITraining,RegionF,RegionF,2389,143340,143736,396,41,150,5,2406,True,q1-arrival,13747
AITraining,RegionD,RegionD,2391,143460,143844,384,40,150,5,2406,True,q1-arrival,13836
RealTimeInference,RegionD,RegionD,2391,143460,143740,280,2,20,5,2396,True,q1-arrival,14305
BatchInference,RegionB,RegionB,2394,143640,143973,333,21,80,5,2406,True,q1-arrival,14327
BatchInference,RegionA,RegionA,2379,142740,142895,155,18,80,5,2406,True,q1-arrival,14405
AITraining,RegionD,RegionD,2379,142740,143126,386,104,150,5,2406,True,q1-fix-and-opt,14419
AITraining,RegionE,RegionE,2396,143760,144135,375,31,150,5,2406,True,q1-arrival,14578
AITraining,RegionF,RegionF,2394,143640,144037,397,117,150,5,2406,True,q1-fix-and-opt,14619
BatchInference,RegionB,RegionB,2386,143160,143380,220,23,80,5,2406,True,q1-arrival,14622
BatchInference,RegionA,RegionA,2376,142560,142634,74,11,80,5,2406,True,q1-arrival,14647
RealTimeInference,RegionB,RegionB,2385,143100,143377,277,6,20,5,2390,True,q1-arrival,14669
AITraining,RegionE,RegionE,2389,143340,143529,189,97,150,5,2406,True,q1-arrival,14749
BatchInference,RegionA,RegionA,2382,142920,143227,307,12,80,5,2406,True,q1-arrival,14772
AITraining,RegionD,RegionD,2377,142620,142889,269,32,150,5,2406,True,q1-arrival,14780
AITraining,RegionB,RegionB,2396,143760,144009,249,51,150,5,2406,True,q1-arrival,14844
AITraining,RegionF,RegionF,2396,143760,144147,387,22,150,5,2406,True,q1-arrival,14868
RealTimeInference,RegionB,RegionB,2396,143760,143935,175,6,20,5,2399,True,q1-arrival,15175
RealTimeInference,RegionA,RegionA,2382,142920,142973,53,1,20,5,2383,True,q1-arrival,15185
BatchInference,RegionE,RegionE,2399,143940,144183,243,7,80,5,2406,True,q1-arrival,15242
AITraining,RegionF,RegionF,2390,143400,143579,179,87,150,5,2406,True,q1-arrival,15675
AITraining,RegionE,RegionE,2386,143160,143332,172,63,150,5,2406,True,q1-arrival,15694
AITraining,RegionE,RegionE,2397,143820,144023,203,81,150,5,2406,True,q1-arrival,15916
AITraining,RegionD,RegionD,2394,143640,143875,235,127,150,5,2406,True,q1-arrival,15921
RealTimeInference,RegionF,RegionF,2392,143520,143721,201,1,20,5,2396,True,q1-arrival,16024
RealTimeInference,RegionB,RegionB,2394,143640,143695,55,5,20,5,2395,True,q1-arrival,16041
BatchInference,RegionF,RegionF,2389,143340,143515,175,7,80,5,2406,True,q1-arrival,16109
BatchInference,RegionA,RegionA,2382,142920,143240,320,7,80,5,2406,True,q1-arrival,16116
AITraining,RegionE,RegionE,2378,142680,142698,18,60,150,5,2406,True,q1-arrival,16146
BatchInference,RegionA,RegionA,2388,143280,143643,363,21,80,5,2406,True,q1-arrival,16274
BatchInference,RegionF,RegionF,2393,143580,143774,194,9,80,5,2406,True,q1-arrival,16345
BatchInference,RegionD,RegionD,2395,143700,143861,161,22,80,5,2406,True,q1-arrival,16494
AITraining,RegionE,RegionE,2390,143400,143750,350,107,150,5,2406,True,q1-arrival,16513
AITraining,RegionF,RegionF,2393,143580,143682,102,127,150,5,2406,True,q1-arrival,16699
RealTimeInference,RegionF,RegionF,2399,143940,143991,51,1,20,5,2400,True,q1-arrival,16844
RealTimeInference,RegionA,RegionA,2384,143040,143192,152,6,20,5,2387,True,q1-arrival,16950
BatchInference,RegionC,RegionC,2389,143340,143376,36,6,80,5,2406,True,q1-arrival,17044
RealTimeInference,RegionC,RegionC,2398,143880,143913,33,2,20,5,2399,True,q1-arrival,17052
AITraining,RegionD,RegionD,2387,143220,143322,102,82,150,5,2406,True,q1-arrival,17181
AITraining,RegionD,RegionD,2390,143400,143628,228,122,150,5,2406,True,q1-arrival,17233
BatchInference,RegionF,RegionF,2398,143880,144021,141,15,80,5,2406,True,q1-arrival,17421
BatchInference,RegionE,RegionE,2380,142800,143031,231,20,80,5,2406,True,q1-arrival,17466
