TaskID,TaskType,SourceRegion,ExecutionRegion,ArrivalHour,StartMinute,EndMinute,Duration_min,GPU_Demand,MaxLatency_ms,NetworkLatency_ms,LatestFinishHour,SLA_met,SchedulePhase
11182,RealTimeInference,RegionC,RegionA,2371,142260,142586,326,1,20,15,2377,True,carry-in
20826,RealTimeInference,RegionA,RegionC,2371,142260,142657,397,4,20,15,2378,True,carry-in
43695,RealTimeInference,RegionB,RegionA,2371,142260,142568,308,6,20,12,2377,True,carry-in
45057,RealTimeInference,RegionA,RegionA,2371,142260,142580,320,2,20,5,2377,True,carry-in
17782,RealTimeInference,RegionF,RegionE,2372,142320,142571,251,2,20,18,2377,True,carry-in
28392,RealTimeInference,RegionB,RegionC,2372,142320,142705,385,6,20,14,2379,True,carry-in
43374,RealTimeInference,RegionB,RegionC,2372,142320,142715,395,1,20,14,2379,True,carry-in
614,RealTimeInference,RegionC,RegionC,2373,142380,142715,335,5,20,5,2379,True,carry-in
4670,RealTimeInference,RegionA,RegionC,2373,142380,142676,296,2,20,15,2378,True,carry-in
6693,RealTimeInference,RegionB,RegionC,2373,142380,142657,277,7,20,14,2378,True,carry-in
9254,RealTimeInference,RegionC,RegionC,2373,142380,142750,370,2,20,5,2380,True,carry-in
10317,RealTimeInference,RegionE,RegionE,2373,142380,142670,290,2,20,5,2378,True,carry-in
17142,RealTimeInference,RegionB,RegionC,2373,142380,142713,333,3,20,14,2379,True,carry-in
49666,RealTimeInference,RegionC,RegionC,2373,142380,142708,328,2,20,5,2379,True,carry-in
15509,RealTimeInference,RegionB,RegionC,2374,142440,142775,335,3,20,14,2380,True,carry-in
48150,RealTimeInference,RegionB,RegionA,2374,142440,142616,176,6,20,12,2377,True,carry-in
49763,RealTimeInference,RegionB,RegionC,2374,142440,142693,253,2,20,14,2379,True,carry-in
17253,RealTimeInference,RegionA,RegionA,2375,142500,142614,114,1,20,5,2377,True,carry-in
19061,RealTimeInference,RegionF,RegionF,2375,142500,142805,305,1,20,5,2381,True,carry-in
22150,RealTimeInference,RegionC,RegionC,2375,142500,142645,145,4,20,5,2378,True,carry-in
30183,RealTimeInference,RegionB,RegionC,2375,142500,142704,204,2,20,14,2379,True,carry-in
