region,task_type,candidate_mae_gpu_h,formal_mae_gpu_h,candidate_non_degrading
RegionA,AITraining,59.7246744444,104.1963240402,True
RegionA,BatchInference,64.8333182556,63.1297298875,False
RegionA,RealTimeInference,20.0670755589,25.6755413857,True
RegionB,AITraining,92.9845751295,145.6275896098,True
RegionB,BatchInference,72.7597364988,74.4847376940,True
RegionB,RealTimeInference,14.0145423720,24.1372999734,True
RegionC,AITraining,59.2979166667,125.7720252366,True
RegionC,BatchInference,36.7196903436,34.6749747838,False
RegionC,RealTimeInference,15.6274861623,22.6855033050,True
RegionD,AITraining,333.7276588456,527.2823475864,True
RegionD,BatchInference,71.1430538663,77.7849580281,True
RegionD,RealTimeInference,3.1791666667,5.0891957978,True
RegionE,AITraining,564.6255312695,486.2587375018,False
RegionE,BatchInference,56.3111656456,49.7080484355,False
RegionE,RealTimeInference,3.7097222222,4.8835570789,True
RegionF,AITraining,582.6911145590,415.0279130616,False
RegionF,BatchInference,29.7996866078,41.5802775127,True
RegionF,RealTimeInference,2.6506944444,5.1073357861,True
