WindowID,Method,Seed,TaskID,TaskType,DelaySensitivity,SourceRegion,ExecutionRegion,ArrivalHour,EarliestStartHour,StartMinute,EndMinute,Duration_min,GPU_Demand,MaxLatency_ms,NetworkLatency_ms,LatestFinishHour,DecisionBlock
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,1,AITraining,Low,RegionD,RegionE,456,456,27900,28180,280,118,150.0,22.0,2406,76
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,2,RealTimeInference,High,RegionB,RegionB,1126,1126,67560,67758,198,3,20.0,5.0,1130,187
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,3,RealTimeInference,High,RegionB,RegionB,914,914,54840,55064,224,5,20.0,5.0,918,152
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,4,RealTimeInference,High,RegionC,RegionC,419,419,25140,25237,97,3,20.0,5.0,421,69
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,5,AITraining,Low,RegionF,RegionF,2233,2233,133980,134141,161,115,150.0,5.0,2406,372
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,6,RealTimeInference,High,RegionA,RegionA,1728,1728,103680,103998,318,3,20.0,5.0,1734,288
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,7,RealTimeInference,High,RegionA,RegionA,122,122,7320,7623,303,2,20.0,5.0,128,20
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,8,RealTimeInference,High,RegionA,RegionA,895,895,53700,53986,286,2,20.0,5.0,900,149
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,9,RealTimeInference,High,RegionB,RegionB,2069,2069,124140,124463,323,1,20.0,5.0,2075,344
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,10,AITraining,Low,RegionE,RegionE,108,108,6480,6725,245,37,150.0,5.0,2406,18
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,11,AITraining,Low,RegionF,RegionF,814,814,48840,48908,68,104,150.0,5.0,2406,135
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,12,AITraining,Low,RegionF,RegionF,2232,2232,133920,134117,197,57,150.0,5.0,2406,372
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,13,BatchInference,Medium,RegionA,RegionC,902,902,54120,54319,199,19,80.0,15.0,2406,150
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,14,BatchInference,Medium,RegionB,RegionB,1139,1139,68340,68400,60,18,80.0,5.0,2406,189
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,15,RealTimeInference,High,RegionB,RegionB,653,653,39180,39433,253,4,20.0,5.0,658,108
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,16,AITraining,Low,RegionE,RegionE,1731,1731,103860,104000,140,79,150.0,5.0,2406,288
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,17,BatchInference,Medium,RegionD,RegionD,1138,1138,68280,68424,144,8,80.0,5.0,2406,189
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,18,RealTimeInference,High,RegionC,RegionC,881,881,52860,53036,176,5,20.0,5.0,884,146
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,19,BatchInference,Medium,RegionA,RegionC,418,418,25080,25178,98,21,80.0,15.0,2406,69
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,20,RealTimeInference,High,RegionA,RegionA,1556,1556,93360,93611,251,4,20.0,5.0,1561,259
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,21,RealTimeInference,High,RegionA,RegionA,1470,1470,88200,88555,355,2,20.0,5.0,1476,245
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,22,BatchInference,Medium,RegionC,RegionC,1083,1083,64980,65081,101,5,80.0,5.0,2406,180
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,23,RealTimeInference,High,RegionB,RegionB,1881,1881,112860,113133,273,7,20.0,5.0,1886,313
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,24,AITraining,Low,RegionF,RegionE,511,511,31080,31295,215,62,150.0,18.0,2406,85
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,25,BatchInference,Medium,RegionF,RegionE,322,322,19320,19379,59,20,80.0,18.0,2406,53
full_0000_2400,adaptive_ALNS_latency_guarded_probe,20260801,26,AITraining,Low,RegionB,RegionB,1200,1200,72000,72399,399,119,150.0,5.0,2406,200
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,27,AITraining,Low,RegionD,RegionE,1481,1481,89520,89789,269,69,150.0,22.0,2406,246
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,28,AITraining,Low,RegionD,RegionF,787,787,47340,47540,200,69,150.0,25.0,2406,131
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,29,AITraining,Low,RegionE,RegionE,284,284,17160,17331,171,33,150.0,5.0,2406,47
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,30,RealTimeInference,High,RegionC,RegionC,933,933,55980,56259,279,2,20.0,5.0,938,155
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,31,BatchInference,Medium,RegionE,RegionE,326,326,19560,19784,224,19,80.0,5.0,2406,54
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,32,RealTimeInference,High,RegionA,RegionA,413,413,24780,25085,305,4,20.0,5.0,419,68
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,33,BatchInference,Medium,RegionA,RegionB,1138,1138,68280,68627,347,19,80.0,12.0,2406,189
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,34,BatchInference,Medium,RegionB,RegionB,1494,1494,89640,89929,289,18,80.0,5.0,2406,249
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,35,RealTimeInference,High,RegionB,RegionB,1516,1516,90960,91221,261,2,20.0,5.0,1521,252
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,36,BatchInference,Medium,RegionD,RegionF,858,858,51480,51646,166,16,80.0,25.0,2406,143
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,37,AITraining,Low,RegionF,RegionF,1093,1093,65580,65654,74,30,150.0,5.0,2406,182
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,38,AITraining,Low,RegionF,RegionE,292,292,17820,18173,353,104,150.0,18.0,2406,48
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,39,AITraining,Low,RegionB,RegionB,700,700,42000,42145,145,16,150.0,5.0,2406,116
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,40,AITraining,Low,RegionD,RegionE,1002,1002,60360,60450,90,103,150.0,22.0,2406,167
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,41,RealTimeInference,High,RegionB,RegionB,1893,1893,113580,113878,298,3,20.0,5.0,1898,315
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,42,BatchInference,Medium,RegionC,RegionC,1105,1105,66300,66350,50,8,80.0,5.0,2406,184
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,43,AITraining,Low,RegionE,RegionE,2281,2281,136860,137070,210,43,150.0,5.0,2406,380
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,44,RealTimeInference,High,RegionC,RegionC,1328,1328,79680,79722,42,4,20.0,5.0,1329,221
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,45,RealTimeInference,High,RegionF,RegionF,938,938,56280,56351,71,7,20.0,5.0,940,156
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,46,RealTimeInference,High,RegionA,RegionA,1292,1292,77520,77889,369,5,20.0,5.0,1299,215
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,47,BatchInference,Medium,RegionB,RegionC,1096,1096,65760,65996,236,6,80.0,14.0,2406,182
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,48,RealTimeInference,High,RegionB,RegionB,864,864,51840,51980,140,5,20.0,5.0,867,144
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,49,AITraining,Low,RegionE,RegionE,1288,1288,77280,77507,227,16,150.0,5.0,2406,214
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,50,RealTimeInference,High,RegionC,RegionC,2044,2044,122640,123008,368,7,20.0,5.0,2051,340
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,51,BatchInference,Medium,RegionF,RegionF,1879,1879,112740,112764,24,12,80.0,5.0,2406,313
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,52,RealTimeInference,High,RegionA,RegionA,1084,1084,65040,65429,389,2,20.0,5.0,1091,180
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,53,RealTimeInference,High,RegionA,RegionA,1010,1010,60600,60672,72,5,20.0,5.0,1012,168
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,54,AITraining,Low,RegionD,RegionF,2299,2299,137940,138190,250,111,150.0,25.0,2406,383
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,55,AITraining,Low,RegionE,RegionE,1076,1076,64560,64665,105,67,150.0,5.0,2406,179
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,56,AITraining,Low,RegionE,RegionE,2394,2394,143640,143880,240,19,150.0,5.0,2406,399
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,57,BatchInference,Medium,RegionE,RegionE,2390,2390,143400,143580,180,16,80.0,5.0,2406,398
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,58,BatchInference,Medium,RegionF,RegionE,1482,1482,88920,89089,169,7,80.0,18.0,2406,247
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,59,RealTimeInference,High,RegionA,RegionA,566,566,33960,34212,252,7,20.0,5.0,571,94
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,60,AITraining,Low,RegionD,RegionE,2021,2021,121560,121635,75,101,150.0,22.0,2406,336
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,61,RealTimeInference,High,RegionB,RegionB,192,192,11520,11591,71,2,20.0,5.0,194,32
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,62,RealTimeInference,High,RegionB,RegionB,626,626,37560,37853,293,1,20.0,5.0,631,104
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,63,AITraining,Low,RegionE,RegionE,655,655,39300,39353,53,43,150.0,5.0,2406,109
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,64,AITraining,Low,RegionF,RegionF,1729,1729,103740,104080,340,99,150.0,5.0,2406,288
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,65,AITraining,Low,RegionA,RegionC,260,260,16560,16800,240,107,150.0,15.0,2406,43
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,66,BatchInference,Medium,RegionA,RegionB,1563,1563,93780,94166,386,4,80.0,12.0,2406,260
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,67,AITraining,Low,RegionD,RegionF,1917,1917,115080,115210,130,42,150.0,25.0,2406,319
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,68,AITraining,Low,RegionD,RegionD,1029,1029,62040,62308,268,92,150.0,5.0,2406,171
full_0000_2400,fixed_weight_bounded_rolling_local_exchange_heuristic,20260801,69,AITraining,Low,RegionE,RegionE,47,47,2820,2966,146,118,150.0,5.0,2406,7
