iteration,operator,destroy_count,feasible_repair,accepted,accept_probability,local_score_delta,current_proxy_score,best_proxy_score,temperature,updated_weight
1,cross_region_migration,32,True,True,0.0,-12.726354938320267,-12.726354938320267,-12.726354938320267,11.96277364202105,1.8
2,cross_region_migration,32,True,True,0.0,-11.297544961524455,-24.02389989984472,-24.02389989984472,11.245007223499787,2.4400000000000004
3,carbon_pressure_removal,32,True,True,0.0,-21.778000885224742,-45.80190078506946,-45.80190078506946,10.570306790089798,1.8
4,carbon_pressure_removal,32,True,True,0.0,-42.12030861623367,-87.92220940130314,-87.92220940130314,9.93608838268441,2.4400000000000004
5,cross_region_migration,32,True,True,0.0,-3.9495242048756722,-91.87173360617881,-91.87173360617881,9.339923079723345,2.9520000000000004
6,carbon_pressure_removal,32,True,True,0.0,-3.370098127829806,-95.24183173400861,-95.24183173400861,8.779527694939944,2.9520000000000004
7,carbon_pressure_removal,32,True,True,0.0,-22.470857935800893,-117.7126896698095,-117.7126896698095,8.252756033243546,3.3616000000000006
8,peak_time_removal,32,True,True,0.0,-24.676230608499537,-142.38892027830906,-142.38892027830906,7.757590671248933,1.8
9,peak_time_removal,32,True,False,6.26999712394909e-06,92.93387785812271,-142.38892027830906,-142.38892027830906,7.292135230973997,1.4800000000000002
10,cross_region_migration,32,True,False,0.0005202157631792449,55.137780776039904,-142.38892027830906,-142.38892027830906,6.854607117115557,2.4016000000000006
11,cross_region_migration,32,True,True,0.0,-10.59351244376115,-152.9824327220702,-152.9824327220702,6.443330690088623,2.9212800000000003
12,latency_protection_repair,32,True,False,0.033977642382118735,21.79168297583695,-152.9824327220702,-152.9824327220702,6.056730848683306,0.8400000000000001
13,peak_time_removal,32,True,False,0.00023741335625559372,50.547705988212684,-152.9824327220702,-152.9824327220702,5.693326997762307,1.2240000000000002
14,cross_region_migration,32,True,False,2.952226853699355e-05,59.38348271448763,-152.9824327220702,-152.9824327220702,5.351727377896569,2.3770240000000005
15,latency_protection_repair,32,True,True,0.0,-16.08454412906431,-169.0669768511345,-169.0669768511345,5.0306237352227745,1.6720000000000002
16,latency_protection_repair,32,True,True,0.0,-24.040061612191753,-193.10703846332626,-193.10703846332626,4.728786311109408,2.3376
17,latency_protection_repair,32,True,True,0.0,-8.753394030213311,-201.86043249353958,-201.86043249353958,4.445059132442843,2.87008
18,latency_protection_repair,32,True,True,0.0,-22.20723263018418,-224.06766512372377,-224.06766512372377,4.1783555844962725,3.2960640000000003
19,carbon_pressure_removal,32,True,True,0.0,-11.90634045077536,-235.97400557449913,-235.97400557449913,3.927654249426496,3.6892800000000006
20,cross_region_migration,32,True,True,0.0,-7.637097892417415,-243.61110346691655,-243.61110346691655,3.691994994460906,2.9016192000000007
21,peak_time_removal,32,True,True,0.0,-1.9466760191870947,-245.55777948610364,-245.55777948610364,3.470475294793251,1.9792
22,peak_time_removal,32,True,True,0.0,-3.8539010790103276,-249.41168056511395,-249.41168056511395,3.262246777105656,2.58336
23,carbon_pressure_removal,32,True,True,0.0,-2.376540669530641,-251.7882212346446,-251.7882212346446,3.0665119704793167,3.9514240000000007
24,peak_time_removal,32,True,True,0.0,-1.150931729117488,-252.93915296376207,-252.93915296376207,2.8825212522505574,3.066688
25,cross_region_migration,32,True,True,0.0,-2.7754106878701634,-255.71456365163223,-255.71456365163223,2.7095699771155237,3.3212953600000006
26,latency_protection_repair,32,True,True,0.0,-19.169509186088714,-274.88407283772096,-274.88407283772096,2.546995778488592,3.6368512000000006
27,peak_time_removal,32,True,True,0.0,-1.2159678643514091,-276.10004070207236,-276.10004070207236,2.3941760317792764,3.4533504
28,cross_region_migration,32,True,False,1.3836926166525698e-16,87.42718225617526,-276.10004070207236,-276.10004070207236,2.2505254698725197,2.6970362880000005
29,carbon_pressure_removal,32,True,True,0.0,-53.25540539453914,-329.3554460966115,-329.3554460966115,2.1154939416801684,4.161139200000001
30,latency_protection_repair,32,True,True,0.0,-4.337161597414585,-333.6926076940261,-333.6926076940261,1.9885643051793582,3.9094809600000007
31,carbon_pressure_removal,32,True,True,0.0,-18.642851700053598,-352.3354593940797,-352.3354593940797,1.8692504468685966,4.328911360000001
32,latency_protection_repair,32,True,False,5.040408590941302e-10,40.01759356531666,-352.3354593940797,-352.3354593940797,1.7570954200564808,3.1675847680000007
33,carbon_pressure_removal,32,True,True,0.0,-0.2883027244623122,-352.623762118542,-352.623762118542,1.6516696948530918,4.4631290880000005
34,peak_time_removal,32,True,True,0.0,-1.6209797759110165,-354.244741894453,-354.244741894453,1.5525695131619062,3.7626803200000003
35,cross_region_migration,32,True,True,1.0,0.0,-354.244741894453,-354.244741894453,1.4594153423721916,2.2576290304000004
36,carbon_pressure_removal,32,True,False,7.430376234442952e-05,13.875170952566009,-354.244741894453,-354.244741894453,1.37185042182986,3.6105032704000006
37,carbon_pressure_removal,32,True,True,0.0,-7.711214760148778,-361.9559566546018,-361.9559566546018,1.2895393965200683,3.8884026163200005
38,peak_time_removal,32,True,True,0.0,-0.28268943357400644,-362.23864608817576,-362.23864608817576,1.212167032728864,4.010144256
39,latency_protection_repair,32,True,True,0.0,-4.113201022685956,-366.35184711086174,-366.35184711086174,1.1394370107651322,3.5340678144000006
40,peak_time_removal,32,True,True,0.0,-10.25814645094388,-376.6099935618056,-376.6099935618056,1.0710707901192242,4.208115404800001
41,peak_time_removal,32,True,True,0.7557130552386608,0.29999999999999716,-376.3099935618056,-376.6099935618056,1.0068065427120707,3.466492323840001
42,peak_time_removal,32,True,False,6.217010950405902e-67,153.48354160521785,-376.3099935618056,-376.6099935618056,0.9463981501493464,2.813193859072001
43,cross_region_migration,32,True,True,0.0,-5.697127865610014,-382.0071214274156,-382.0071214274156,0.8896142611403856,2.80610322432
44,cross_region_migration,32,True,True,0.0,-2.150896675213204,-384.15801810262883,-384.15801810262883,0.8362374054719623,3.244882579456
45,carbon_pressure_removal,32,True,True,0.0,-1.2801829323656193,-385.43820103499445,-385.43820103499445,0.7860631611436446,4.110722093056001
46,carbon_pressure_removal,32,True,True,0.0,-48.213549816654506,-433.65175085164896,-433.65175085164896,0.7388993714750259,4.2885776744448005
47,latency_protection_repair,32,True,True,0.0,-23.968200311765727,-457.61995116341467,-457.61995116341467,0.6945654091865243,3.8272542515200008
48,peak_time_removal,32,True,True,0.0,-0.841517182059107,-458.4614683454738,-458.4614683454738,0.6528914846353329,3.250555087257601
49,latency_protection_repair,32,True,True,0.0,-42.504734608350894,-500.9662029538247,-500.9662029538247,0.6137179955572128,4.061803401216
50,peak_time_removal,32,True,True,1.0,0.0,-500.9662029538247,-500.9662029538247,0.57689491582378,2.700444069806081
51,latency_protection_repair,32,True,True,0.0,-27.933269098256137,-528.8994720520808,-528.8994720520808,0.5422812208743533,4.2494427209728
52,cross_region_migration,32,True,True,0.0,-2.0485191246924046,-530.9479911767733,-530.9479911767733,0.509744347621892,3.5959060635648004
53,peak_time_removal,32,True,False,3.742351188282126e-43,49.79766186146935,-530.9479911767733,-530.9479911767733,0.4791596867645785,2.200355255844865
54,latency_protection_repair,32,True,True,0.0,-0.9658861944040353,-531.9138773711773,-531.9138773711773,0.45041010555870375,4.39955417677824
55,latency_protection_repair,32,True,True,0.0,-5.988490644004109,-537.9023680151813,-537.9023680151813,0.4233854992251815,4.519643341422592
56,peak_time_removal,32,True,True,1.0,0.0,-537.9023680151813,-537.9023680151813,0.3979823692716706,1.860284204675892
57,carbon_pressure_removal,32,True,True,1.0,0.0,-537.9023680151813,-537.9023680151813,0.3741034271153703,3.5308621395558406
58,latency_protection_repair,32,True,False,1.1030249368221685e-25,21.498441146935562,-537.9023680151813,-537.9023680151813,0.3516572214884481,3.655714673138074
59,latency_protection_repair,32,True,False,1.5745065333105043e-29,23.322267654107307,-537.9023680151813,-537.9023680151813,0.33055778819914117,2.9645717385104593
60,carbon_pressure_removal,32,True,True,0.0,-22.28115240184337,-560.1835204170247,-560.1835204170247,0.31072432090719265,3.8246897116446728
61,cross_region_migration,32,True,False,1.1886880160140284e-111,79.36337125969743,-560.1835204170247,-560.1835204170247,0.2920808616527611,2.9167248508518404
62,cross_region_migration,32,True,False,5.0597314756822717e-23,14.994889254856787,-560.1835204170247,-560.1835204170247,0.2745560099535954,2.3733798806814725
63,peak_time_removal,32,True,False,1.422701633610954e-139,87.77741520961123,-560.1835204170247,-560.1835204170247,0.2580826493563797,1.5282273637407138
64,carbon_pressure_removal,32,True,True,0.0,-7.5123560159411795,-567.6958764329659,-567.6958764329659,0.2425976903949969,4.059751769315739
