score,cost_CNY,carbon_tCO2,latency_ms,iteration
0.0,0.0,0.0,0.0,0
-12.726354938320267,-13666.524452402891,5.19134452525816,-12.0,1
-24.02389989984472,-23834.958464329015,6.374190581310659,5.0,2
-45.80190078506946,-103607.13198861132,36.622733741075024,5.0,3
-87.92220940130314,-173925.16703823587,55.35253989319769,24.0,4
-91.87173360617881,-176996.222923112,56.932922813197806,24.0,5
-117.7126896698095,-125889.86666819968,55.009142837728675,45.0,7
-193.10703846332626,-20986.61112684996,52.47828836267664,-7.0,16
-201.86043249353958,41158.6038302036,62.77979811529742,-67.0,17
-224.06766512372377,104334.47991649967,58.6052092245482,-67.0,18
-251.7882212346446,49953.79793423368,86.4386320320137,-82.0,23
-252.93915296376207,49944.517383817394,87.0532192373384,-82.0,24
-255.71456365163223,80092.89498377425,83.32227216538165,-82.0,25
-274.88407283772096,78794.25420928317,88.06789065335515,-102.0,26
-276.10004070207236,77798.14240919778,90.84347463728865,-119.0,27
-329.3554460966115,92988.52709427587,107.01525711738431,-122.0,29
-333.6926076940261,92970.28210499979,107.73552796534969,-122.0,30
-361.9559566546018,59150.41080906617,113.57215854918917,-115.0,37
-433.65175085164896,-23761.532283120978,142.49172008786582,-98.0,46
-457.61995116341467,46947.56991192153,138.70875976797416,-118.0,47
-500.9662029538247,88606.5048433401,143.72934730947534,-135.0,50
-528.8994720520808,104380.70182752804,142.46998076545182,-135.0,51
-530.9479911767733,132960.83147615523,139.8754290162136,-135.0,52
-531.9138773711773,161749.02608393558,151.02141737876335,-155.0,54
-537.9023680151813,161612.42046660534,152.85945153876153,-175.0,57
-560.1835204170247,196591.64156779973,157.03954016300207,-181.0,60
-567.6958764329659,166206.31691176776,167.7077823230248,-181.0,64
