TaskID,ExecutionRegion_incumbent,StartMinute_incumbent,ExecutionRegion_alns,StartMinute_alns,change_type
1,RegionE,27900,RegionE,27900,unchanged
2,RegionB,67560,RegionB,67560,unchanged
3,RegionB,54840,RegionB,54840,unchanged
4,RegionC,25140,RegionC,25140,unchanged
5,RegionF,133980,RegionF,133980,unchanged
6,RegionA,103680,RegionA,103680,unchanged
7,RegionA,7320,RegionA,7320,unchanged
8,RegionA,53700,RegionA,53700,unchanged
9,RegionB,124140,RegionB,124140,unchanged
10,RegionE,6480,RegionE,6480,unchanged
11,RegionF,48840,RegionF,48840,unchanged
12,RegionF,133920,RegionF,133920,unchanged
13,RegionC,54120,RegionC,54120,unchanged
14,RegionB,68340,RegionB,68340,unchanged
15,RegionB,39180,RegionB,39180,unchanged
16,RegionE,103860,RegionE,103860,unchanged
17,RegionD,68280,RegionD,68280,unchanged
18,RegionC,52860,RegionC,52860,unchanged
19,RegionC,25080,RegionC,25080,unchanged
20,RegionA,93360,RegionA,93360,unchanged
21,RegionA,88200,RegionA,88200,unchanged
22,RegionC,64980,RegionC,64980,unchanged
23,RegionB,112860,RegionB,112860,unchanged
24,RegionE,31080,RegionE,31080,unchanged
25,RegionE,19320,RegionE,19320,unchanged
26,RegionB,72000,RegionB,72000,unchanged
27,RegionE,89520,RegionE,89520,unchanged
28,RegionF,47340,RegionF,47340,unchanged
29,RegionE,17160,RegionE,17160,unchanged
30,RegionC,55980,RegionC,55980,unchanged
31,RegionE,19560,RegionE,19560,unchanged
32,RegionA,24780,RegionA,24780,unchanged
33,RegionB,68280,RegionB,68280,unchanged
34,RegionB,89640,RegionB,89640,unchanged
35,RegionB,90960,RegionB,90960,unchanged
36,RegionF,51480,RegionF,51480,unchanged
37,RegionF,65580,RegionF,65580,unchanged
38,RegionE,17820,RegionE,17820,unchanged
39,RegionB,42000,RegionB,42000,unchanged
40,RegionE,60360,RegionE,60360,unchanged
41,RegionB,113580,RegionB,113580,unchanged
42,RegionC,66300,RegionC,66300,unchanged
43,RegionE,136860,RegionE,136860,unchanged
44,RegionC,79680,RegionC,79680,unchanged
45,RegionF,56280,RegionF,56280,unchanged
46,RegionA,77520,RegionA,77520,unchanged
47,RegionC,65760,RegionC,65760,unchanged
