Method,SourceMethodLabel,Hour,Region,AvailableRenewable_MW,DirectRenewableUse_MW,RenewableCharge_MW,GridSell_MW,Curtailment_MW,UtilizedRenewable_MW,RenewableBalanceResidual_MW
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,0,RegionA,540.1899999999999,499.1490004500001,0.0,0.0,41.04099954999987,499.1490004500001,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,1,RegionA,587.8700000000002,535.4235,0.0,0.0,52.44650000000024,535.4235,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,2,RegionA,650.0,544.3200000000002,0.0,0.0,105.67999999999984,544.3200000000002,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,3,RegionA,722.35,544.32,0.0,0.0,178.02999999999997,544.32,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,4,RegionA,800.0,544.3199995499999,0.0,0.0,255.68000045000008,544.3199995499999,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,5,RegionA,877.65,544.32,0.0,0.0,333.3299999999999,544.32,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,6,RegionA,950.0,544.3200004500001,0.0,0.0,405.67999954999993,544.3200004500001,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,7,RegionA,1012.1299999999998,544.3200004500002,0.0,0.0,467.8099995499996,544.3200004500002,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,8,RegionA,1059.8099999999997,544.32,0.0,0.0,515.4899999999997,544.32,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,9,RegionA,1089.7799999999997,544.31999955,0.0,0.0,545.4600004499997,544.31999955,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,10,RegionA,1100.0,531.7110004500001,0.0,0.0,568.2889995499999,531.7110004500001,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,11,RegionA,1089.7799999999997,506.1015000000001,0.0,0.0,583.6784999999996,506.1015000000001,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,12,RegionA,1059.8099999999997,466.4789995500001,0.0,0.0,593.3310004499997,466.4789995500001,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,13,RegionA,1012.1299999999998,443.6667000000001,0.0,0.0,568.4632999999997,443.6667000000001,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,14,RegionA,950.0,423.08729954999995,0.0,0.0,526.9127004500001,423.08729954999995,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,15,RegionA,877.65,379.0665000000001,0.0,0.0,498.5834999999999,379.0665000000001,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,16,RegionA,800.0,334.04399954999997,0.0,0.0,465.95600045000003,334.04399954999997,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,17,RegionA,722.35,316.91249954999995,0.0,0.0,405.4375004500001,316.91249954999995,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,18,RegionA,650.0,299.4434995500001,0.0,0.0,350.5565004499999,299.4434995500001,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,19,RegionA,587.8700000000002,386.49149955000007,0.0,0.0,201.37850045000016,386.49149955000007,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,20,RegionA,540.1899999999999,330.8849995499999,0.0,0.0,209.30500045000002,330.8849995499999,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,21,RegionA,510.2200000000002,376.1235000000001,0.0,0.0,134.0965000000001,376.1235000000001,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,22,RegionA,500.0,388.00349954999996,0.0,0.0,111.99650045000004,388.00349954999996,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,23,RegionA,510.2200000000002,408.92849954999997,0.0,0.0,101.29150045000023,408.92849954999997,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,24,RegionA,540.1899999999999,478.1565004500001,0.0,0.0,62.03349954999982,478.1565004500001,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,25,RegionA,587.8700000000002,495.67949955,0.0,0.0,92.19050045000023,495.67949955,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,26,RegionA,650.0,544.32000045,0.0,0.0,105.67999955000005,544.32000045,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,27,RegionA,722.35,544.32,0.0,0.0,178.02999999999997,544.32,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,28,RegionA,800.0,544.32,0.0,0.0,255.67999999999995,544.32,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,29,RegionA,877.65,544.31999955,0.0,0.0,333.33000044999994,544.31999955,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,30,RegionA,950.0,544.3200004500001,0.0,0.0,405.67999954999993,544.3200004500001,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,31,RegionA,1012.1299999999998,544.31999955,0.0,0.0,467.81000044999973,544.31999955,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,32,RegionA,1059.8099999999997,544.32000045,0.0,0.0,515.4899995499998,544.32000045,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,33,RegionA,1089.7799999999997,544.3199999999999,0.0,0.0,545.4599999999998,544.3199999999999,0.0
fifo_latency_feasible_local_first,full_horizon_FIFO_latency_feasible_local_first,34,RegionA,1100.0,556.5644995500002,0.0,0.0,543.4355004499998,556.5644995500002,0.0
