Hour,Region,AvailableRenewable_MW,Total_Load_MW,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,ChargePower_MW,DischargePower_MW,SOC_MWh,RenewableToLoad_MW,RenewableCharge_MW,GridCharge_MW,GridPurchase_MW,GridLoadPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,GridEnergyForCost_MW,ChargeMode,Evaluation,Scenario,WindowStart_h,Method
0,RegionA,540.19000000,499.14900045,468.00000000,0.00000000,0.66790000,0.00000000,-0.00000000,157.50000000,499.14900045,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,41.04099955,0.00000000,0.00000000,0,fixed,observed,0,carbon_aware_MILP
1,RegionA,587.87000000,535.42350000,468.31000000,0.00000000,0.67030000,0.00000000,-0.00000000,157.50000000,535.42350000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,52.44650000,0.00000000,0.00000000,0,fixed,observed,0,carbon_aware_MILP
2,RegionA,650.00000000,544.32000000,468.61000000,0.00000000,0.66930000,0.00000000,0.00000000,157.50000000,544.32000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,105.68000000,0.00000000,0.00000000,0,fixed,observed,0,carbon_aware_MILP
3,RegionA,722.35000000,544.32000000,468.91000000,0.00000000,0.66500000,0.00000000,0.00000000,157.50000000,544.32000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,178.03000000,0.00000000,0.00000000,0,fixed,observed,0,carbon_aware_MILP
4,RegionA,800.00000000,544.31999955,469.22000000,0.00000000,0.65780000,0.00000000,0.00000000,157.50000000,544.31999955,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,255.68000045,0.00000000,0.00000000,0,fixed,observed,0,carbon_aware_MILP
5,RegionA,877.65000000,544.32000000,469.52000000,0.00000000,0.64830000,0.00000000,0.00000000,157.50000000,544.32000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,333.33000000,0.00000000,0.00000000,0,fixed,observed,0,carbon_aware_MILP
6,RegionA,950.00000000,544.32000045,469.82000000,0.00000000,0.63700000,0.00000000,0.00000000,157.50000000,544.32000045,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,405.67999955,0.00000000,0.00000000,0,fixed,observed,0,carbon_aware_MILP
7,RegionA,1012.13000000,544.32000045,723.26000000,0.00000000,0.62480000,0.00000000,0.00000000,157.50000000,544.32000045,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,467.80999955,0.00000000,0.00000000,0,fixed,observed,0,carbon_aware_MILP
8,RegionA,1059.81000000,544.32000000,723.71000000,0.00000000,0.61260000,0.00000000,0.00000000,157.50000000,544.32000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,515.49000000,0.00000000,0.00000000,0,fixed,observed,0,carbon_aware_MILP
9,RegionA,1089.78000000,544.31999955,724.16000000,0.00000000,0.60130000,0.00000000,0.00000000,157.50000000,544.31999955,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,545.46000045,0.00000000,0.00000000,0,fixed,observed,0,carbon_aware_MILP
