scenario,cell_id,task_policy,storage_policy,solver_success,solver_status,runtime_s,mip_gap,mip_node_count,objective_value_normalized,cost_CNY,carbon_tCO2,positive_part_peak_MW,signed_net_import_peak_MW,system_net_import_std_MW,renewable_utilization_ratio,available_renewable_MWh,curtailment_MWh,grid_purchase_MWh,grid_sell_MWh,task_completion_rate,SLA_violation_count,SLA_violation_rate,mean_latency_ms,p95_latency_ms,terminal_SOC_min_MWh,terminal_SOC_max_MWh,audit_passed
observed,A,FIFO,no_storage_renewable_first,True,deterministic renewable-first no-storage balance,0.000000000000,0.000000000000,0,,-12774919.958399161696,0.000000000000,0.000000000000,-294.592299580000,101.164558038326,0.677425126175,345600.000000000000,111481.876393799990,0.000000000000,40593.151980803334,1.000000000000,0,0.000000000000,5.178820545339,5.000000000000,135.000000000000,405.000000000000,True
observed,B,candidate,no_storage_renewable_first,True,deterministic renewable-first no-storage balance,0.000000000000,0.000000000000,0,,-12582537.371380066499,20.004313974599,0.000000000000,-167.248606706667,117.608929229611,0.669067346528,345600.000000000000,114370.325039936666,40.698832413333,39829.445320413332,1.000000000000,0,0.000000000000,8.836398224477,25.000000000000,135.000000000000,405.000000000000,True
observed,C,FIFO,integrated_storage_MILP,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.850967199993,0.000000000000,1,-0.126953741436,-13759071.190077427775,0.000000000000,0.000000000000,-531.293101270000,10.381355758513,0.690526195303,345600.000000000000,106954.146903446905,0.000000000000,44551.293101269999,1.000000000000,0,0.000000000000,5.178820545339,5.000000000000,135.000000000000,405.000000000000,True
observed,D,candidate,integrated_storage_MILP,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.233921999999,0.000000000000,1,-0.127693506384,-13609606.658806093037,0.000000000000,0.000000000000,-306.554797096667,53.379232291433,0.682333296920,345600.000000000000,109785.612584358227,0.000000000000,43796.118716686666,1.000000000000,0,0.000000000000,8.836398224477,25.000000000000,135.000000000000,405.000000000000,True
peak_price_empirical,A,FIFO,no_storage_renewable_first,True,deterministic renewable-first no-storage balance,0.000000000000,0.000000000000,0,,-12774919.958399161696,0.000000000000,0.000000000000,-294.592299580000,101.164558038326,0.677425126175,345600.000000000000,111481.876393799990,0.000000000000,40593.151980803334,1.000000000000,0,0.000000000000,5.178820545339,5.000000000000,135.000000000000,405.000000000000,True
peak_price_empirical,B,candidate,no_storage_renewable_first,True,deterministic renewable-first no-storage balance,0.000000000000,0.000000000000,0,,-12582537.371380066499,20.004313974599,0.000000000000,-167.248606706667,117.608929229611,0.669067346528,345600.000000000000,114370.325039936666,40.698832413333,39829.445320413332,1.000000000000,0,0.000000000000,8.836398224477,25.000000000000,135.000000000000,405.000000000000,True
peak_price_empirical,C,FIFO,integrated_storage_MILP,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.576788100007,0.000000000000,2,-0.120935152771,-13759071.190077427775,0.000000000000,0.000000000000,-531.293101270000,10.381355758513,0.690526195303,345600.000000000000,106954.146903446905,0.000000000000,44551.293101269999,1.000000000000,0,0.000000000000,5.178820545339,5.000000000000,135.000000000000,405.000000000000,True
peak_price_empirical,D,candidate,integrated_storage_MILP,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.213103600006,0.000000000000,1,-0.121959092536,-13609606.658806093037,0.000000000000,0.000000000000,-306.554797096667,53.379232291433,0.682333296920,345600.000000000000,109785.612584358227,0.000000000000,43796.118716686666,1.000000000000,0,0.000000000000,8.836398224477,25.000000000000,135.000000000000,405.000000000000,True
high_carbon_empirical,A,FIFO,no_storage_renewable_first,True,deterministic renewable-first no-storage balance,0.000000000000,0.000000000000,0,,-12774919.958399161696,0.000000000000,0.000000000000,-294.592299580000,101.164558038326,0.677425126175,345600.000000000000,111481.876393799990,0.000000000000,40593.151980803334,1.000000000000,0,0.000000000000,5.178820545339,5.000000000000,135.000000000000,405.000000000000,True
high_carbon_empirical,B,candidate,no_storage_renewable_first,True,deterministic renewable-first no-storage balance,0.000000000000,0.000000000000,0,,-12582537.371380066499,23.218067804852,0.000000000000,-167.248606706667,117.608929229611,0.669067346528,345600.000000000000,114370.325039936666,40.698832413333,39829.445320413332,1.000000000000,0,0.000000000000,8.836398224477,25.000000000000,135.000000000000,405.000000000000,True
high_carbon_empirical,C,FIFO,integrated_storage_MILP,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.377922800006,0.000000000000,1,-0.126953741436,-13759071.190077427775,0.000000000000,0.000000000000,-531.293101270000,10.381355758513,0.690526195303,345600.000000000000,106954.146903446905,0.000000000000,44551.293101269999,1.000000000000,0,0.000000000000,5.178820545339,5.000000000000,135.000000000000,405.000000000000,True
high_carbon_empirical,D,candidate,integrated_storage_MILP,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.230861499993,0.000000000000,1,-0.127693506384,-13609606.658806093037,0.000000000000,0.000000000000,-306.554797096667,53.379232291433,0.682333296920,345600.000000000000,109785.612584358227,0.000000000000,43796.118716686666,1.000000000000,0,0.000000000000,8.836398224477,25.000000000000,135.000000000000,405.000000000000,True
renewable_low_empirical,A,FIFO,no_storage_renewable_first,True,deterministic renewable-first no-storage balance,0.000000000000,0.000000000000,0,,-10723920.992417078465,221.253507907081,34.538999133333,34.538999133333,211.220448678422,0.771721411284,293760.000000000000,67059.118221196666,394.690259083333,33570.600412489999,1.000000000000,0,0.000000000000,5.178820545339,5.000000000000,135.000000000000,405.000000000000,True
renewable_low_empirical,B,candidate,no_storage_renewable_first,True,deterministic renewable-first no-storage balance,0.000000000000,0.000000000000,0,,-10616258.256058257073,494.156963336184,167.701893743333,167.701893743333,220.733948617631,0.762569265344,293760.000000000000,69747.652612513324,1155.817961186666,33727.236876609997,1.000000000000,0,0.000000000000,8.836398224477,25.000000000000,135.000000000000,405.000000000000,True
renewable_low_empirical,C,FIFO,integrated_storage_MILP,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.033484000000,0.000000000000,8,-0.120034879904,-12800974.485656432807,0.000000000000,0.000000000000,-53.862100006667,151.435626385576,0.797987760398,293760.000000000000,59343.115505566646,0.000000000000,39914.264778299999,1.000000000000,0,0.000000000000,5.178820545339,5.000000000000,135.000000000000,405.000000000000,True
renewable_low_empirical,D,candidate,integrated_storage_MILP,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.638420200004,0.000000000000,11,-0.119412401463,-12535276.425208162516,8.690060551266,0.000000000000,-167.078500460000,142.986744024968,0.786277596577,293760.000000000000,62783.093229669372,14.397899080000,38650.275008247256,1.000000000000,0,0.000000000000,8.836398224477,25.000000000000,135.000000000000,405.000000000000,True
joint_stress,A,FIFO,no_storage_renewable_first,True,deterministic renewable-first no-storage balance,0.000000000000,0.000000000000,0,,-10723920.992417078465,260.297959554261,34.538999133333,34.538999133333,211.220448678422,0.771721411284,293760.000000000000,67059.118221196666,394.690259083333,33570.600412489999,1.000000000000,0,0.000000000000,5.178820545339,5.000000000000,135.000000000000,405.000000000000,True
joint_stress,B,candidate,no_storage_renewable_first,True,deterministic renewable-first no-storage balance,0.000000000000,0.000000000000,0,,-10616258.256058257073,559.279562140503,167.701893743333,167.701893743333,220.733948617631,0.762569265344,293760.000000000000,69747.652612513324,1155.817961186666,33727.236876609997,1.000000000000,0,0.000000000000,8.836398224477,25.000000000000,135.000000000000,405.000000000000,True
joint_stress,C,FIFO,integrated_storage_MILP,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.909693399997,0.000000000000,21,-0.114435388566,-12800974.485656432807,0.000000000000,0.000000000000,-53.862100006667,151.435626385576,0.797987760398,293760.000000000000,59343.115505566639,0.000000000000,39914.264778299999,1.000000000000,0,0.000000000000,5.178820545339,5.000000000000,135.000000000000,405.000000000000,True
joint_stress,D,candidate,integrated_storage_MILP,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.844029700005,0.000000000000,1,-0.114126619031,-12535276.425208162516,10.428072661519,0.000000000000,-167.078500460000,142.986744024968,0.786277596577,293760.000000000000,62783.093229669452,14.397899080000,38650.275008247256,1.000000000000,0,0.000000000000,8.836398224477,25.000000000000,135.000000000000,405.000000000000,True
