Hour,Region,PricePeriod,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,AvailableRenewable_MW,NonAI_IT_Load_MW,AbsoluteHour,AI_IT_Load_MW,IT_Load_MW,PUE,Total_Load_MW,Q2Method,ObservedElectricityPrice_CNY_per_MWh,ObservedCarbonIntensity_tCO2_per_MWh,ObservedAvailableRenewable_MW,ScenarioPriceMultiplier,ScenarioCarbonMultiplier,ScenarioRenewableMultiplier,ChargePower_MW,DischargePower_MW,SOC_MWh,RenewableToLoad_MW,RenewableCharge_MW,GridCharge_MW,GridLoadPurchase_MW,GridPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,ChargeMode,GridImportMode,Method,Scenario
0,RegionA,Valley,459.4400000000,0.0000000000,0.6534000000,540.1900000000,343.6786670000,2328,1.4400000000,345.1186670000,1.3500000000,465.9102004500,rolling_shadow_price_exchange::lagrangian_balanced,459.4400000000,0.6534000000,540.1900000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,465.9102004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,74.2797995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP,observed
1,RegionA,Valley,459.6500000000,0.0000000000,0.6555000000,587.8700000000,360.9213330000,2329,2.9520000000,363.8733330000,1.3500000000,491.2289995500,rolling_shadow_price_exchange::lagrangian_balanced,459.6500000000,0.6555000000,587.8700000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,491.2289995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,96.6410004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP,observed
2,RegionA,Valley,459.8700000000,0.0000000000,0.6543000000,650.0000000000,388.0120000000,2330,2.5386666667,390.5506666667,1.3500000000,527.2434000000,rolling_shadow_price_exchange::lagrangian_balanced,459.8700000000,0.6543000000,650.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,527.2434000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,122.7566000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP,observed
3,RegionA,Valley,460.0900000000,0.0000000000,0.6498000000,722.3500000000,395.2613330000,2331,3.7986666667,399.0599996667,1.3500000000,538.7309995500,rolling_shadow_price_exchange::lagrangian_balanced,460.0900000000,0.6498000000,722.3500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,538.7309995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,183.6190004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP,observed
4,RegionA,Valley,460.3200000000,0.0000000000,0.6424000000,800.0000000000,391.8600000000,2332,3.9626666667,395.8226666667,1.3500000000,534.3606000000,rolling_shadow_price_exchange::lagrangian_balanced,460.3200000000,0.6424000000,800.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,534.3606000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,265.6394000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP,observed
5,RegionA,Valley,460.5600000000,0.0000000000,0.6327000000,877.6500000000,393.0646670000,2333,3.6853333333,396.7500003333,1.3500000000,535.6125004500,rolling_shadow_price_exchange::lagrangian_balanced,460.5600000000,0.6327000000,877.6500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,535.6125004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,342.0374995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP,observed
6,RegionA,Valley,460.8100000000,0.0000000000,0.6212000000,950.0000000000,393.8320000000,2334,2.7746666667,396.6066666667,1.3500000000,535.4190000000,rolling_shadow_price_exchange::lagrangian_balanced,460.8100000000,0.6212000000,950.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,535.4190000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,414.5810000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP,observed
7,RegionA,Flat,709.3200000000,0.0000000000,0.6090000000,1012.1300000000,375.7946670000,2335,2.3853333333,378.1800003333,1.3500000000,510.5430004500,rolling_shadow_price_exchange::lagrangian_balanced,709.3200000000,0.6090000000,1012.1300000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,510.5430004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,501.5869995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP,observed
8,RegionA,Flat,709.7100000000,0.0000000000,0.5967000000,1059.8100000000,354.5046670000,2336,2.7520000000,357.2566670000,1.3500000000,482.2965004500,rolling_shadow_price_exchange::lagrangian_balanced,709.7100000000,0.5967000000,1059.8100000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,482.2965004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,577.5134995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP,observed
9,RegionA,Flat,710.1200000000,0.0000000000,0.5853000000,1089.7800000000,350.4706670000,2337,2.2693333333,352.7400003333,1.3500000000,476.1990004500,rolling_shadow_price_exchange::lagrangian_balanced,710.1200000000,0.5853000000,1089.7800000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,476.1990004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,613.5809995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP,observed
10,RegionA,Flat,710.5300000000,0.0000000000,0.5756000000,1100.0000000000,340.9533330000,2338,2.9800000000,343.9333330000,1.3500000000,464.3099995500,rolling_shadow_price_exchange::lagrangian_balanced,710.5300000000,0.5756000000,1100.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,464.3099995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,635.6900004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP,observed
11,RegionA,Flat,710.9500000000,0.0000000000,0.5684000000,1089.7800000000,318.8353330000,2339,21.4813333333,340.3166663333,1.3500000000,459.4274995500,rolling_shadow_price_exchange::lagrangian_balanced,710.9500000000,0.5684000000,1089.7800000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,459.4274995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,630.3525004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP,observed
12,RegionA,Flat,711.3700000000,0.0000000000,0.5640000000,1059.8100000000,298.1053330000,2340,8.0946666667,306.1999996667,1.3500000000,413.3699995500,rolling_shadow_price_exchange::lagrangian_balanced,711.3700000000,0.5640000000,1059.8100000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,413.3699995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,646.4400004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP,observed
13,RegionA,Flat,711.8000000000,0.0000000000,0.5630000000,1012.1300000000,285.2006670000,2341,10.7800000000,295.9806670000,1.3500000000,399.5739004500,rolling_shadow_price_exchange::lagrangian_balanced,711.8000000000,0.5630000000,1012.1300000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,399.5739004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,612.5560995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP,observed
14,RegionA,Flat,712.2400000000,0.0000000000,0.5653000000,950.0000000000,306.1516670000,2342,14.4460000000,320.5976670000,1.3500000000,432.8068504500,rolling_shadow_price_exchange::lagrangian_balanced,712.2400000000,0.5653000000,950.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,432.8068504500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,517.1931495500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP,observed
15,RegionA,Flat,712.6900000000,0.0000000000,0.5709000000,877.6500000000,299.7593330000,2343,9.9840000000,309.7433330000,1.3500000000,418.1534995500,rolling_shadow_price_exchange::lagrangian_balanced,712.6900000000,0.5709000000,877.6500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,418.1534995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,459.4965004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP,observed
16,RegionA,Flat,713.1400000000,0.0000000000,0.5794000000,800.0000000000,220.9423330000,2344,9.1066666667,230.0489996667,1.3500000000,310.5661495500,rolling_shadow_price_exchange::lagrangian_balanced,713.1400000000,0.5794000000,800.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,310.5661495500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,489.4338504500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP,observed
