Hour,Region,PricePeriod,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,AvailableRenewable_MW,NonAI_IT_Load_MW,AbsoluteHour,AI_IT_Load_MW,IT_Load_MW,PUE,Total_Load_MW,Q2Method
0,RegionA,Valley,459.4400000000,0.0000000000,0.6534000000,540.1900000000,343.6786670000,2328,1.4400000000,345.1186670000,1.3500000000,465.9102004500,rolling_shadow_price_exchange::lagrangian_balanced
1,RegionA,Valley,459.6500000000,0.0000000000,0.6555000000,587.8700000000,360.9213330000,2329,2.9520000000,363.8733330000,1.3500000000,491.2289995500,rolling_shadow_price_exchange::lagrangian_balanced
2,RegionA,Valley,459.8700000000,0.0000000000,0.6543000000,650.0000000000,388.0120000000,2330,2.5386666667,390.5506666667,1.3500000000,527.2434000000,rolling_shadow_price_exchange::lagrangian_balanced
3,RegionA,Valley,460.0900000000,0.0000000000,0.6498000000,722.3500000000,395.2613330000,2331,3.7986666667,399.0599996667,1.3500000000,538.7309995500,rolling_shadow_price_exchange::lagrangian_balanced
4,RegionA,Valley,460.3200000000,0.0000000000,0.6424000000,800.0000000000,391.8600000000,2332,3.9626666667,395.8226666667,1.3500000000,534.3606000000,rolling_shadow_price_exchange::lagrangian_balanced
5,RegionA,Valley,460.5600000000,0.0000000000,0.6327000000,877.6500000000,393.0646670000,2333,3.6853333333,396.7500003333,1.3500000000,535.6125004500,rolling_shadow_price_exchange::lagrangian_balanced
6,RegionA,Valley,460.8100000000,0.0000000000,0.6212000000,950.0000000000,393.8320000000,2334,2.7746666667,396.6066666667,1.3500000000,535.4190000000,rolling_shadow_price_exchange::lagrangian_balanced
7,RegionA,Flat,709.3200000000,0.0000000000,0.6090000000,1012.1300000000,375.7946670000,2335,2.3853333333,378.1800003333,1.3500000000,510.5430004500,rolling_shadow_price_exchange::lagrangian_balanced
8,RegionA,Flat,709.7100000000,0.0000000000,0.5967000000,1059.8100000000,354.5046670000,2336,2.7520000000,357.2566670000,1.3500000000,482.2965004500,rolling_shadow_price_exchange::lagrangian_balanced
9,RegionA,Flat,710.1200000000,0.0000000000,0.5853000000,1089.7800000000,350.4706670000,2337,2.2693333333,352.7400003333,1.3500000000,476.1990004500,rolling_shadow_price_exchange::lagrangian_balanced
10,RegionA,Flat,710.5300000000,0.0000000000,0.5756000000,1100.0000000000,340.9533330000,2338,2.9800000000,343.9333330000,1.3500000000,464.3099995500,rolling_shadow_price_exchange::lagrangian_balanced
11,RegionA,Flat,710.9500000000,0.0000000000,0.5684000000,1089.7800000000,318.8353330000,2339,21.4813333333,340.3166663333,1.3500000000,459.4274995500,rolling_shadow_price_exchange::lagrangian_balanced
12,RegionA,Flat,711.3700000000,0.0000000000,0.5640000000,1059.8100000000,298.1053330000,2340,8.0946666667,306.1999996667,1.3500000000,413.3699995500,rolling_shadow_price_exchange::lagrangian_balanced
13,RegionA,Flat,711.8000000000,0.0000000000,0.5630000000,1012.1300000000,285.2006670000,2341,10.7800000000,295.9806670000,1.3500000000,399.5739004500,rolling_shadow_price_exchange::lagrangian_balanced
14,RegionA,Flat,712.2400000000,0.0000000000,0.5653000000,950.0000000000,306.1516670000,2342,14.4460000000,320.5976670000,1.3500000000,432.8068504500,rolling_shadow_price_exchange::lagrangian_balanced
15,RegionA,Flat,712.6900000000,0.0000000000,0.5709000000,877.6500000000,299.7593330000,2343,9.9840000000,309.7433330000,1.3500000000,418.1534995500,rolling_shadow_price_exchange::lagrangian_balanced
16,RegionA,Flat,713.1400000000,0.0000000000,0.5794000000,800.0000000000,220.9423330000,2344,9.1066666667,230.0489996667,1.3500000000,310.5661495500,rolling_shadow_price_exchange::lagrangian_balanced
17,RegionA,Peak,1034.7000000000,0.0000000000,0.5904000000,722.3500000000,194.5866670000,2345,5.5033333333,200.0900003333,1.3500000000,270.1215004500,rolling_shadow_price_exchange::lagrangian_balanced
18,RegionA,Peak,1035.3700000000,0.0000000000,0.6030000000,650.0000000000,208.5800000000,2346,3.0480000000,211.6280000000,1.3500000000,285.6978000000,rolling_shadow_price_exchange::lagrangian_balanced
19,RegionA,Peak,1036.0300000000,0.0000000000,0.6165000000,587.8700000000,243.5246670000,2347,2.5853333333,246.1100003333,1.3500000000,332.2485004500,rolling_shadow_price_exchange::lagrangian_balanced
20,RegionA,Peak,1036.7100000000,0.0000000000,0.6301000000,540.1900000000,230.4453330000,2348,1.9213333333,232.3666663333,1.3500000000,313.6949995500,rolling_shadow_price_exchange::lagrangian_balanced
21,RegionA,Peak,1037.3800000000,0.0000000000,0.6427000000,510.2200000000,257.2800000000,2349,2.5600000000,259.8400000000,1.3500000000,350.7840000000,rolling_shadow_price_exchange::lagrangian_balanced
22,RegionA,Flat,644.3100000000,0.0000000000,0.6537000000,500.0000000000,266.8433330000,2350,18.7266666667,285.5699996667,1.3500000000,385.5194995500,rolling_shadow_price_exchange::lagrangian_balanced
23,RegionA,Flat,644.7400000000,0.0000000000,0.6623000000,510.2200000000,315.1273330000,2351,19.0160000000,334.1433330000,1.3500000000,451.0934995500,rolling_shadow_price_exchange::lagrangian_balanced
24,RegionA,Valley,465.9500000000,0.0000000000,0.6679000000,540.1900000000,320.0600000000,2352,19.8000000000,339.8600000000,1.3500000000,458.8110000000,rolling_shadow_price_exchange::lagrangian_balanced
25,RegionA,Valley,466.2500000000,0.0000000000,0.6703000000,587.8700000000,357.6143330000,2353,18.9106666667,376.5249996667,1.3500000000,508.3087495500,rolling_shadow_price_exchange::lagrangian_balanced
26,RegionA,Valley,466.5600000000,0.0000000000,0.6693000000,650.0000000000,380.1740000000,2354,19.2693333333,399.4433333333,1.3500000000,539.2485000000,rolling_shadow_price_exchange::lagrangian_balanced
27,RegionA,Valley,466.8600000000,0.0000000000,0.6650000000,722.3500000000,376.8586670000,2355,18.2080000000,395.0666670000,1.3500000000,533.3400004500,rolling_shadow_price_exchange::lagrangian_balanced
28,RegionA,Valley,467.1600000000,0.0000000000,0.6578000000,800.0000000000,382.0483330000,2356,8.8400000000,390.8883330000,1.3500000000,527.6992495500,rolling_shadow_price_exchange::lagrangian_balanced
29,RegionA,Valley,467.4700000000,0.0000000000,0.6483000000,877.6500000000,394.3153330000,2357,8.5146666667,402.8299996667,1.3500000000,543.8204995500,rolling_shadow_price_exchange::lagrangian_balanced
30,RegionA,Valley,467.7600000000,0.0000000000,0.6370000000,950.0000000000,398.1686670000,2358,2.0280000000,400.1966670000,1.3500000000,540.2655004500,rolling_shadow_price_exchange::lagrangian_balanced
31,RegionA,Flat,720.1000000000,0.0000000000,0.6248000000,1012.1300000000,399.2600000000,2359,2.2400000000,401.5000000000,1.3500000000,542.0250000000,rolling_shadow_price_exchange::lagrangian_balanced
32,RegionA,Flat,720.5500000000,0.0000000000,0.6126000000,1059.8100000000,397.6533330000,2360,2.6466666667,400.2999996667,1.3500000000,540.4049995500,rolling_shadow_price_exchange::lagrangian_balanced
33,RegionA,Flat,721.0000000000,0.0000000000,0.6013000000,1089.7800000000,396.5840000000,2361,2.0160000000,398.6000000000,1.3500000000,538.1100000000,rolling_shadow_price_exchange::lagrangian_balanced
34,RegionA,Flat,721.4400000000,0.0000000000,0.5917000000,1100.0000000000,397.0053330000,2362,1.0946666667,398.0999996667,1.3500000000,537.4349995500,rolling_shadow_price_exchange::lagrangian_balanced
35,RegionA,Flat,721.8800000000,0.0000000000,0.5845000000,1089.7800000000,375.2343330000,2363,0.5173333333,375.7516663333,1.3500000000,507.2647495500,rolling_shadow_price_exchange::lagrangian_balanced
36,RegionA,Flat,722.3100000000,0.0000000000,0.5802000000,1059.8100000000,318.1453330000,2364,0.9213333333,319.0666663333,1.3500000000,430.7399995500,rolling_shadow_price_exchange::lagrangian_balanced
37,RegionA,Flat,722.7400000000,0.0000000000,0.5791000000,1012.1300000000,323.7120000000,2365,1.5546666667,325.2666666667,1.3500000000,439.1100000000,rolling_shadow_price_exchange::lagrangian_balanced
38,RegionA,Flat,723.1600000000,0.0000000000,0.5814000000,950.0000000000,306.7846670000,2366,2.2400000000,309.0246670000,1.3500000000,417.1833004500,rolling_shadow_price_exchange::lagrangian_balanced
39,RegionA,Flat,723.5700000000,0.0000000000,0.5869000000,877.6500000000,279.2650000000,2367,3.8583333333,283.1233333333,1.3500000000,382.2165000000,rolling_shadow_price_exchange::lagrangian_balanced
40,RegionA,Flat,723.9800000000,0.0000000000,0.5954000000,800.0000000000,252.6773330000,2368,4.1226666667,256.7999996667,1.3500000000,346.6799995500,rolling_shadow_price_exchange::lagrangian_balanced
41,RegionA,Peak,1050.3400000000,0.0000000000,0.6062000000,722.3500000000,244.0370000000,2369,4.2146666667,248.2516666667,1.3500000000,335.1397500000,rolling_shadow_price_exchange::lagrangian_balanced
42,RegionA,Peak,1050.9000000000,0.0000000000,0.6188000000,650.0000000000,223.7783330000,2370,3.9333333333,227.7116663333,1.3500000000,307.4107495500,rolling_shadow_price_exchange::lagrangian_balanced
43,RegionA,Peak,1051.4400000000,0.0000000000,0.6321000000,587.8700000000,211.6813330000,2371,3.8453333333,215.5266663333,1.3500000000,290.9609995500,rolling_shadow_price_exchange::lagrangian_balanced
44,RegionA,Peak,1051.9800000000,0.0000000000,0.6455000000,540.1900000000,228.3473330000,2372,2.6026666667,230.9499996667,1.3500000000,311.7824995500,rolling_shadow_price_exchange::lagrangian_balanced
45,RegionA,Peak,1052.4900000000,0.0000000000,0.6580000000,510.2200000000,261.0486670000,2373,1.5440000000,262.5926670000,1.3500000000,354.5001004500,rolling_shadow_price_exchange::lagrangian_balanced
46,RegionA,Flat,653.5800000000,0.0000000000,0.6687000000,500.0000000000,271.9233330000,2374,0.7733333333,272.6966663333,1.3500000000,368.1404995500,rolling_shadow_price_exchange::lagrangian_balanced
47,RegionA,Flat,653.8800000000,0.0000000000,0.6771000000,510.2200000000,314.1713330000,2375,1.0400000000,315.2113330000,1.3500000000,425.5352995500,rolling_shadow_price_exchange::lagrangian_balanced
48,RegionA,Valley,472.4600000000,0.0000000000,0.6825000000,540.1900000000,309.8046670000,2376,1.1653333333,310.9700003333,1.3500000000,419.8095004500,rolling_shadow_price_exchange::lagrangian_balanced
49,RegionA,Valley,472.6600000000,0.0000000000,0.6846000000,587.8700000000,365.4866670000,2377,2.5066666667,367.9933336667,1.3500000000,496.7910004500,rolling_shadow_price_exchange::lagrangian_balanced
