scenario,method,region,solver_success,solver_status,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,peak_facility_load_MW,renewable_utilization_ratio,terminal_SOC_MWh,task_completion_rate,SLA_violation_rate,mean_latency_ms
observed,Q2_candidate_plus_integrated_storage_MILP,RegionA,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.3201191000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,560.2500000000,0.5487280624,157.5000000000,1.0000000000,0.0000000000,9.0329740013
observed,Q2_candidate_plus_integrated_storage_MILP,RegionB,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.3201191000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,546.7882500000,0.5488883906,144.0000000000,1.0000000000,0.0000000000,9.0329740013
observed,Q2_candidate_plus_integrated_storage_MILP,RegionC,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.3201191000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,557.0829995400,0.6006078127,135.0000000000,1.0000000000,0.0000000000,9.0329740013
observed,Q2_candidate_plus_integrated_storage_MILP,RegionD,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.3201191000,0.0000000000,-4282477.2000000002,0.0000000000,-180.0000000000,633.8274137600,0.6691710049,405.0000000000,1.0000000000,0.0000000000,9.0329740013
observed,Q2_candidate_plus_integrated_storage_MILP,RegionE,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.3201191000,0.0000000000,-4482244.5214777635,0.0000000000,-17.4733329167,694.5000000000,0.8881166374,370.0000000000,1.0000000000,0.0000000000,9.0329740013
observed,Q2_candidate_plus_integrated_storage_MILP,RegionF,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.3201191000,0.0000000000,-4760390.9097446157,0.0000000000,-8.9595837567,643.0391000000,0.8279122523,382.5000000000,1.0000000000,0.0000000000,9.0329740013
peak_price_empirical,Q2_candidate_plus_integrated_storage_MILP,RegionA,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.2533321000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,560.2500000000,0.5487280624,157.5000000000,1.0000000000,0.0000000000,9.0329740013
peak_price_empirical,Q2_candidate_plus_integrated_storage_MILP,RegionB,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.2533321000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,546.7882500000,0.5488883906,144.0000000000,1.0000000000,0.0000000000,9.0329740013
peak_price_empirical,Q2_candidate_plus_integrated_storage_MILP,RegionC,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.2533321000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,557.0829995400,0.6006078127,135.0000000000,1.0000000000,0.0000000000,9.0329740013
peak_price_empirical,Q2_candidate_plus_integrated_storage_MILP,RegionD,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.2533321000,0.0000000000,-4282477.2000000002,0.0000000000,-180.0000000000,633.8274137600,0.6691710049,405.0000000000,1.0000000000,0.0000000000,9.0329740013
