Hour,Region,PricePeriod,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,AvailableRenewable_MW,NonAI_IT_Load_MW,AbsoluteHour,AI_IT_Load_MW,IT_Load_MW,PUE,Total_Load_MW,Q2Method,ObservedElectricityPrice_CNY_per_MWh,ObservedCarbonIntensity_tCO2_per_MWh,ObservedAvailableRenewable_MW,ScenarioPriceMultiplier,ScenarioCarbonMultiplier,ScenarioRenewableMultiplier,ChargePower_MW,DischargePower_MW,SOC_MWh,RenewableToLoad_MW,RenewableCharge_MW,GridCharge_MW,GridLoadPurchase_MW,GridPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,ChargeMode,GridImportMode,Method
0,RegionA,Valley,459.4400000000,0.0000000000,0.6534000000,540.1900000000,343.6786670000,2328,2.8413333333,346.5200003333,1.3500000000,467.8020004500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,459.4400000000,0.6534000000,540.1900000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,467.8020004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,72.3879995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
1,RegionA,Valley,459.6500000000,0.0000000000,0.6555000000,587.8700000000,360.9213330000,2329,4.7920000000,365.7133330000,1.3500000000,493.7129995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,459.6500000000,0.6555000000,587.8700000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,493.7129995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,94.1570004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
2,RegionA,Valley,459.8700000000,0.0000000000,0.6543000000,650.0000000000,388.0120000000,2330,4.2280000000,392.2400000000,1.3500000000,529.5240000000,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,459.8700000000,0.6543000000,650.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,529.5240000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,120.4760000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
3,RegionA,Valley,460.0900000000,0.0000000000,0.6498000000,722.3500000000,395.2613330000,2331,5.1586666667,400.4199996667,1.3500000000,540.5669995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,460.0900000000,0.6498000000,722.3500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,540.5669995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181.7830004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
4,RegionA,Valley,460.3200000000,0.0000000000,0.6424000000,800.0000000000,391.8600000000,2332,9.3400000000,401.2000000000,1.3500000000,541.6200000000,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,460.3200000000,0.6424000000,800.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,541.6200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,258.3800000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
5,RegionA,Valley,460.5600000000,0.0000000000,0.6327000000,877.6500000000,393.0646670000,2333,8.8853333333,401.9500003333,1.3500000000,542.6325004500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,460.5600000000,0.6327000000,877.6500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,542.6325004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,335.0174995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
6,RegionA,Valley,460.8100000000,0.0000000000,0.6212000000,950.0000000000,393.8320000000,2334,7.6680000000,401.5000000000,1.3500000000,542.0250000000,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,460.8100000000,0.6212000000,950.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,542.0250000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,407.9750000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
7,RegionA,Flat,709.3200000000,0.0000000000,0.6090000000,1012.1300000000,375.7946670000,2335,5.6853333333,381.4800003333,1.3500000000,514.9980004500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,709.3200000000,0.6090000000,1012.1300000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,514.9980004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,497.1319995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
8,RegionA,Flat,709.7100000000,0.0000000000,0.5967000000,1059.8100000000,354.5046670000,2336,3.8586666667,358.3633336667,1.3500000000,483.7905004500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,709.7100000000,0.5967000000,1059.8100000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,483.7905004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,576.0194995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
9,RegionA,Flat,710.1200000000,0.0000000000,0.5853000000,1089.7800000000,350.4706670000,2337,3.1693333333,353.6400003333,1.3500000000,477.4140004500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,710.1200000000,0.5853000000,1089.7800000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,477.4140004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,612.3659995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
