TaskID,options_evaluated,accepted,old_region,new_region,old_start_minute,new_start_minute,joint_objective
2351,4,True,RegionE,RegionD,142140,142200,-0.8837286778616432
4867,8,False,RegionC,RegionC,140220,140220,-0.8837286778616432
7983,5,True,RegionC,RegionB,142260,142260,-0.9864555618659295
9572,1,False,RegionD,RegionD,143940,143940,-0.9864555618659295
16733,4,False,RegionB,RegionB,139920,139920,-0.9864555618659295
35697,1,False,RegionC,RegionC,139800,139800,-0.9864555618659295
36549,3,False,RegionA,RegionA,141000,141000,-0.9864555618659295
38786,1,False,RegionC,RegionC,143940,143940,-0.9864555618659295
42499,8,False,RegionC,RegionC,143160,143160,-0.9864555618659295
43496,8,False,RegionA,RegionA,143160,143160,-0.9864555618659295
43719,8,False,RegionC,RegionC,141780,141780,-0.9864555618659295
46424,2,True,RegionD,RegionD,143940,143400,-0.9864668050720518
