ArrivalHour,SourceRegion,TaskType,Arrival_Task_Count,Arrival_GPU_Demand,GPU_Workload_GPUh,Mean_Duration_min
0,RegionA,RealTimeInference,2.0000000000,9.0000000000,38.4500000000,237.0000000000
0,RegionA,BatchInference,2.0000000000,22.0000000000,25.1333333333,128.0000000000
0,RegionA,AITraining,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0,RegionB,RealTimeInference,3.0000000000,12.0000000000,49.3500000000,266.0000000000
0,RegionB,BatchInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0,RegionB,AITraining,2.0000000000,85.0000000000,158.0000000000,103.5000000000
0,RegionC,RealTimeInference,2.0000000000,4.0000000000,3.6000000000,54.0000000000
0,RegionC,BatchInference,1.0000000000,13.0000000000,21.6666666667,100.0000000000
0,RegionC,AITraining,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0,RegionD,RealTimeInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0,RegionD,BatchInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0,RegionD,AITraining,4.0000000000,312.0000000000,1009.1500000000,155.7500000000
0,RegionE,RealTimeInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0,RegionE,BatchInference,1.0000000000,23.0000000000,44.8500000000,117.0000000000
0,RegionE,AITraining,1.0000000000,61.0000000000,89.4666666667,88.0000000000
0,RegionF,RealTimeInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0,RegionF,BatchInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0,RegionF,AITraining,1.0000000000,116.0000000000,665.0666666667,344.0000000000
1,RegionA,RealTimeInference,1.0000000000,2.0000000000,11.0666666667,332.0000000000
1,RegionA,BatchInference,1.0000000000,22.0000000000,143.0000000000,390.0000000000
1,RegionA,AITraining,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,RegionB,RealTimeInference,3.0000000000,9.0000000000,11.7333333333,122.3333333333
1,RegionB,BatchInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,RegionB,AITraining,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,RegionC,RealTimeInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,RegionC,BatchInference,2.0000000000,17.0000000000,96.9666666667,320.0000000000
1,RegionC,AITraining,3.0000000000,177.0000000000,891.5166666667,319.0000000000
1,RegionD,RealTimeInference,1.0000000000,4.0000000000,2.6000000000,39.0000000000
1,RegionD,BatchInference,1.0000000000,16.0000000000,71.7333333333,269.0000000000
1,RegionD,AITraining,2.0000000000,173.0000000000,645.4166666667,228.5000000000
1,RegionE,RealTimeInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,RegionE,BatchInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,RegionE,AITraining,2.0000000000,139.0000000000,160.5333333333,120.5000000000
1,RegionF,RealTimeInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,RegionF,BatchInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,RegionF,AITraining,2.0000000000,194.0000000000,796.6000000000,246.5000000000
2,RegionA,RealTimeInference,4.0000000000,17.0000000000,81.5833333333,288.7500000000
2,RegionA,BatchInference,2.0000000000,26.0000000000,129.6666666667,234.0000000000
2,RegionA,AITraining,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2,RegionB,RealTimeInference,4.0000000000,15.0000000000,22.2666666667,148.5000000000
2,RegionB,BatchInference,2.0000000000,38.0000000000,140.2000000000,216.0000000000
2,RegionB,AITraining,2.0000000000,139.0000000000,308.0833333333,127.0000000000
2,RegionC,RealTimeInference,1.0000000000,1.0000000000,4.6000000000,276.0000000000
2,RegionC,BatchInference,1.0000000000,16.0000000000,65.6000000000,246.0000000000
2,RegionC,AITraining,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2,RegionD,RealTimeInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2,RegionD,BatchInference,3.0000000000,59.0000000000,153.1166666667,165.0000000000
2,RegionD,AITraining,4.0000000000,308.0000000000,1141.6000000000,237.2500000000
2,RegionE,RealTimeInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2,RegionE,BatchInference,2.0000000000,23.0000000000,82.1833333333,253.5000000000
2,RegionE,AITraining,1.0000000000,73.0000000000,188.5833333333,155.0000000000
2,RegionF,RealTimeInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2,RegionF,BatchInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2,RegionF,AITraining,2.0000000000,194.0000000000,826.9500000000,257.5000000000
3,RegionA,RealTimeInference,4.0000000000,23.0000000000,108.4833333333,283.7500000000
3,RegionA,BatchInference,1.0000000000,18.0000000000,53.1000000000,177.0000000000
3,RegionA,AITraining,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3,RegionB,RealTimeInference,2.0000000000,7.0000000000,34.2500000000,283.5000000000
3,RegionB,BatchInference,2.0000000000,28.0000000000,27.4666666667,59.5000000000
3,RegionB,AITraining,1.0000000000,59.0000000000,163.2333333333,166.0000000000
3,RegionC,RealTimeInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3,RegionC,BatchInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3,RegionC,AITraining,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3,RegionD,RealTimeInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3,RegionD,BatchInference,1.0000000000,21.0000000000,17.8500000000,51.0000000000
3,RegionD,AITraining,1.0000000000,93.0000000000,350.3000000000,226.0000000000
3,RegionE,RealTimeInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3,RegionE,BatchInference,1.0000000000,9.0000000000,51.1500000000,341.0000000000
3,RegionE,AITraining,2.0000000000,156.0000000000,400.4833333333,164.5000000000
3,RegionF,RealTimeInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3,RegionF,BatchInference,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3,RegionF,AITraining,1.0000000000,118.0000000000,698.1666666667,355.0000000000
4,RegionA,RealTimeInference,2.0000000000,11.0000000000,34.1166666667,192.5000000000
4,RegionA,BatchInference,1.0000000000,18.0000000000,94.5000000000,315.0000000000
4,RegionA,AITraining,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4,RegionB,RealTimeInference,1.0000000000,2.0000000000,13.0666666667,392.0000000000
4,RegionB,BatchInference,3.0000000000,42.0000000000,184.0333333333,265.0000000000
4,RegionB,AITraining,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4,RegionC,RealTimeInference,1.0000000000,5.0000000000,13.7500000000,165.0000000000
4,RegionC,BatchInference,1.0000000000,12.0000000000,37.0000000000,185.0000000000
