SourceRegion,TaskType,arrival_tasks,arrival_gpu,gpu_workload_gpu_h,mean_hourly_gpu_h,std_hourly_gpu_h,peak_hourly_gpu_h
RegionA,AITraining,879.0000000000,63070.0000000000,214319.2833333333,89.2997013889,187.0259570812,1424.5166666667
RegionA,BatchInference,3331.0000000000,45066.0000000000,154341.4500000000,64.3089375000,68.9050751408,459.4166666667
RegionA,RealTimeInference,5852.0000000000,23585.0000000000,79791.7166666667,33.2465486111,26.9757348720,169.1333333333
RegionB,AITraining,871.0000000000,62551.0000000000,212294.6333333333,88.4560972222,179.2139913583,1372.0166666667
RegionB,BatchInference,3312.0000000000,44274.0000000000,151260.4333333333,63.0251805556,66.2444021488,415.9666666667
RegionB,RealTimeInference,5017.0000000000,19989.0000000000,67203.0833333333,28.0012847222,24.6287342937,134.3166666667
RegionC,AITraining,815.0000000000,58899.0000000000,198331.9666666667,82.6383194444,177.5757655344,1396.4000000000
RegionC,BatchInference,2523.0000000000,34710.0000000000,117897.3666666667,49.1239027778,58.4523171587,320.4500000000
RegionC,RealTimeInference,4221.0000000000,17015.0000000000,58704.9500000000,24.4603958333,23.1554999893,135.7166666667
RegionD,AITraining,5726.0000000000,407683.0000000000,1387122.6833333333,577.9677847222,482.7283938272,2664.0166666667
RegionD,BatchInference,3346.0000000000,45291.0000000000,155177.2000000000,64.6571666667,68.8721344126,471.2500000000
RegionD,RealTimeInference,488.0000000000,1993.0000000000,6558.5500000000,2.7327291667,7.8508648360,77.1333333333
RegionE,AITraining,4091.0000000000,292000.0000000000,978535.1166666667,407.7229652778,390.3325117385,2242.8000000000
RegionE,BatchInference,2172.0000000000,29548.0000000000,100158.3333333333,41.7326388889,52.9445214661,305.1500000000
RegionE,RealTimeInference,649.0000000000,2628.0000000000,9054.7666666667,3.7728194444,9.3003644102,63.4333333333
RegionF,AITraining,4177.0000000000,296143.0000000000,1032935.0333333333,430.3895972222,416.0268809064,2703.4500000000
RegionF,BatchInference,2033.0000000000,27173.0000000000,90263.0166666667,37.6095902778,50.5209628315,359.5666666667
RegionF,RealTimeInference,497.0000000000,1996.0000000000,6837.0666666667,2.8487777778,8.0558242517,72.1500000000
