period,method,region,task_type,mae_gpu_h,rmse_gpu_h,wape,mase_24h,actual_total_gpu_h,coverage_95,mean_interval_width_gpu_h
validation,seasonal_baseline,RegionA,RealTimeInference,25.3527777778,32.0136313559,0.9520431846,0.8606326141,639.1166666667,1.0000000000,906.3708034290
validation,seasonal_baseline,RegionA,BatchInference,78.2993055556,101.3309856156,1.5575278695,1.0834699619,1206.5166666667,1.0000000000,2803.2933080808
validation,seasonal_baseline,RegionA,AITraining,196.8902777778,328.3306722255,6.1260992632,1.3367291365,771.3500000000,1.0000000000,961.5618055556
validation,seasonal_baseline,RegionB,RealTimeInference,24.9916666667,29.4216119545,0.7540859945,0.9180665363,795.4000000000,1.0000000000,1072.7747235513
validation,seasonal_baseline,RegionB,BatchInference,69.2111111111,95.7993552083,1.2669098860,0.9680966193,1311.1166666667,1.0000000000,2737.3067231526
validation,seasonal_baseline,RegionB,AITraining,140.6409722222,224.3004807905,1.4278069965,0.9506612400,2364.0333333333,1.0000000000,1037.3806505848
validation,seasonal_baseline,RegionC,RealTimeInference,17.2069444444,21.8786896359,0.6767356749,0.7041254395,610.2333333333,1.0000000000,725.6010273791
validation,seasonal_baseline,RegionC,BatchInference,66.5875000000,96.1224455423,2.5286392405,1.0973678463,632.0000000000,1.0000000000,2022.0283173844
validation,seasonal_baseline,RegionC,AITraining,141.2326388889,250.5359131174,2.3177166431,1.0140812063,1462.4666666667,1.0000000000,1040.7687553163
validation,seasonal_baseline,RegionD,RealTimeInference,3.3083333333,7.7781314404,2.1615245009,0.6705944838,36.7333333333,0.7500000000,3.9268880471
validation,seasonal_baseline,RegionD,BatchInference,75.6569444444,103.9245553007,0.9852679177,1.0418179857,1842.9166666667,1.0000000000,2469.0906200159
validation,seasonal_baseline,RegionD,AITraining,481.4930555556,607.5728801734,1.0850242090,0.9064556361,10650.3000000000,1.0000000000,17411.3278694843
validation,seasonal_baseline,RegionE,RealTimeInference,6.6881944444,11.9926959832,2.3797874969,1.0205283942,67.4500000000,0.7500000000,9.7853362573
validation,seasonal_baseline,RegionE,BatchInference,55.6277777778,80.1237132271,1.2355055140,1.0517101195,1080.5833333333,1.0000000000,1932.6153821106
validation,seasonal_baseline,RegionE,AITraining,455.9236111111,617.3774015536,1.0065495555,1.1019175176,10870.9666666667,1.0000000000,15384.1076315789
validation,seasonal_baseline,RegionF,RealTimeInference,4.5055555556,8.3863411326,2.2105621806,0.8609530272,48.9166666667,0.7083333333,5.2508897777
validation,seasonal_baseline,RegionF,BatchInference,58.5715277778,82.5259348265,1.6048215237,1.1524835543,875.9333333333,1.0000000000,1416.2088244285
validation,seasonal_baseline,RegionF,AITraining,405.0027777778,555.1486219923,0.8334771996,0.9258279134,11662.0666666667,1.0000000000,10526.1790311005
validation,shared_hgbr_reconciled,RegionA,RealTimeInference,19.3669068331,25.3846301202,0.7272627804,0.6574345344,639.1166666667,0.8750000000,73.3049662173
validation,shared_hgbr_reconciled,RegionA,BatchInference,55.7300546798,67.1876052010,1.1085808835,0.7711669956,1206.5166666667,1.0000000000,279.9453748769
validation,shared_hgbr_reconciled,RegionA,AITraining,144.2978198960,192.9376202042,4.4897227945,0.9796679773,771.3500000000,0.8333333333,424.1359395474
validation,shared_hgbr_reconciled,RegionB,RealTimeInference,25.8939830171,28.8711301197,0.7813120347,0.9512130429,795.4000000000,1.0000000000,123.8380455910
validation,shared_hgbr_reconciled,RegionB,BatchInference,72.4754643048,87.7677463276,1.3266638946,1.0137570522,1311.1166666667,1.0000000000,322.0761092407
validation,shared_hgbr_reconciled,RegionB,AITraining,137.6806964998,188.0441155676,1.3977538596,0.9306512860,2364.0333333333,0.8333333333,359.5393798146
validation,shared_hgbr_reconciled,RegionC,RealTimeInference,16.7027068407,22.1439368811,0.6569044041,0.6834915306,610.2333333333,0.9583333333,88.8008948490
