Hour,Region,AvailableRenewable_MW,Total_Load_MW,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,ChargePower_MW,DischargePower_MW,SOC_MWh,RenewableToLoad_MW,RenewableCharge_MW,GridCharge_MW,GridPurchase_MW,GridLoadPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,GridEnergyForCost_MW
0,RegionA,540.1900000000,499.1490004500,468.0000000000,0.0000000000,0.6679000000,0.0000000000,0.0000000000,157.5000000000,499.1490004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,41.0409995500,0.0000000000,0.0000000000
1,RegionA,587.8700000000,535.4235000000,468.3100000000,0.0000000000,0.6703000000,0.0000000000,0.0000000000,157.5000000000,535.4235000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,52.4465000000,0.0000000000,0.0000000000
2,RegionA,650.0000000000,544.3200000000,468.6100000000,0.0000000000,0.6693000000,0.0000000000,0.0000000000,157.5000000000,544.3200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,105.6800000000,0.0000000000,0.0000000000
3,RegionA,722.3500000000,544.3200000000,468.9100000000,0.0000000000,0.6650000000,0.0000000000,0.0000000000,157.5000000000,544.3200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,178.0300000000,0.0000000000,0.0000000000
4,RegionA,800.0000000000,544.3199995500,469.2200000000,0.0000000000,0.6578000000,0.0000000000,0.0000000000,157.5000000000,544.3199995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,255.6800004500,0.0000000000,0.0000000000
5,RegionA,877.6500000000,544.3200000000,469.5200000000,0.0000000000,0.6483000000,0.0000000000,0.0000000000,157.5000000000,544.3200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,333.3300000000,0.0000000000,0.0000000000
6,RegionA,950.0000000000,544.3200004500,469.8200000000,0.0000000000,0.6370000000,0.0000000000,0.0000000000,157.5000000000,544.3200004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,405.6799995500,0.0000000000,0.0000000000
7,RegionA,1012.1300000000,544.3200004500,723.2600000000,0.0000000000,0.6248000000,0.0000000000,0.0000000000,157.5000000000,544.3200004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,467.8099995500,0.0000000000,0.0000000000
8,RegionA,1059.8100000000,544.3200000000,723.7100000000,0.0000000000,0.6126000000,0.0000000000,0.0000000000,157.5000000000,544.3200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,515.4900000000,0.0000000000,0.0000000000
9,RegionA,1089.7800000000,544.3199995500,724.1600000000,0.0000000000,0.6013000000,0.0000000000,0.0000000000,157.5000000000,544.3199995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,545.4600004500,0.0000000000,0.0000000000
10,RegionA,1100.0000000000,531.7110004500,724.6100000000,0.0000000000,0.5917000000,0.0000000000,0.0000000000,157.5000000000,531.7110004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,568.2889995500,0.0000000000,0.0000000000
11,RegionA,1089.7800000000,506.1015000000,725.0400000000,0.0000000000,0.5845000000,0.0000000000,0.0000000000,157.5000000000,506.1015000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,583.6785000000,0.0000000000,0.0000000000
12,RegionA,1059.8100000000,466.4789995500,725.4800000000,0.0000000000,0.5802000000,0.0000000000,0.0000000000,157.5000000000,466.4789995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,593.3310004500,0.0000000000,0.0000000000
13,RegionA,1012.1300000000,443.6667000000,725.9000000000,0.0000000000,0.5791000000,0.0000000000,0.0000000000,157.5000000000,443.6667000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,568.4633000000,0.0000000000,0.0000000000
14,RegionA,950.0000000000,423.0872995500,726.3200000000,0.0000000000,0.5814000000,0.0000000000,0.0000000000,157.5000000000,423.0872995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,526.9127004500,0.0000000000,0.0000000000
15,RegionA,877.6500000000,379.0665000000,726.7400000000,0.0000000000,0.5869000000,0.0000000000,0.0000000000,157.5000000000,379.0665000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,498.5835000000,0.0000000000,0.0000000000
16,RegionA,800.0000000000,334.0439995500,727.1400000000,0.0000000000,0.5954000000,0.0000000000,0.0000000000,157.5000000000,334.0439995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,465.9560004500,0.0000000000,0.0000000000
17,RegionA,722.3500000000,316.9124995500,1054.9200000000,0.0000000000,0.6062000000,0.0000000000,0.0000000000,157.5000000000,316.9124995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,405.4375004500,0.0000000000,0.0000000000
18,RegionA,650.0000000000,299.4434995500,1055.4900000000,0.0000000000,0.6188000000,0.0000000000,0.0000000000,157.5000000000,299.4434995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,350.5565004500,0.0000000000,0.0000000000
19,RegionA,587.8700000000,386.4914995500,1056.0300000000,0.0000000000,0.6321000000,0.0000000000,0.0000000000,157.5000000000,386.4914995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,201.3785004500,0.0000000000,0.0000000000
20,RegionA,540.1900000000,330.8849995500,1056.5600000000,0.0000000000,0.6455000000,0.0000000000,0.0000000000,157.5000000000,330.8849995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,209.3050004500,0.0000000000,0.0000000000
21,RegionA,510.2200000000,376.1235000000,1057.0800000000,0.0000000000,0.6580000000,0.0000000000,0.0000000000,157.5000000000,376.1235000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,134.0965000000,0.0000000000,0.0000000000
22,RegionA,500.0000000000,388.0034995500,656.4300000000,0.0000000000,0.6687000000,0.0000000000,0.0000000000,157.5000000000,388.0034995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,111.9965004500,0.0000000000,0.0000000000
23,RegionA,510.2200000000,408.9284995500,656.7300000000,0.0000000000,0.6771000000,0.0000000000,0.0000000000,157.5000000000,408.9284995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,101.2915004500,0.0000000000,0.0000000000
0,RegionB,540.1900000000,458.7435004500,448.5000000000,0.0000000000,0.6248000000,0.0000000000,0.0000000000,144.0000000000,458.7435004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,81.4464995500,0.0000000000,0.0000000000
1,RegionB,587.8700000000,527.3369995500,448.7900000000,0.0000000000,0.6271000000,0.0000000000,0.0000000000,144.0000000000,527.3369995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60.5330004500,0.0000000000,0.0000000000
2,RegionB,650.0000000000,531.3599995500,449.0800000000,0.0000000000,0.6261000000,0.0000000000,0.0000000000,144.0000000000,531.3599995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,118.6400004500,0.0000000000,0.0000000000
3,RegionB,722.3500000000,531.3600000000,449.3800000000,0.0000000000,0.6221000000,0.0000000000,0.0000000000,144.0000000000,531.3600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,190.9900000000,0.0000000000,0.0000000000
4,RegionB,800.0000000000,531.3600004500,449.6700000000,0.0000000000,0.6154000000,0.0000000000,0.0000000000,144.0000000000,531.3600004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,268.6399995500,0.0000000000,0.0000000000
5,RegionB,877.6500000000,531.3599995500,449.9600000000,0.0000000000,0.6064000000,0.0000000000,0.0000000000,144.0000000000,531.3599995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,346.2900004500,0.0000000000,0.0000000000
6,RegionB,950.0000000000,531.3600000000,450.2400000000,0.0000000000,0.5959000000,0.0000000000,0.0000000000,144.0000000000,531.3600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,418.6400000000,0.0000000000,0.0000000000
7,RegionB,1012.1300000000,531.3599995500,693.1200000000,0.0000000000,0.5845000000,0.0000000000,0.0000000000,144.0000000000,531.3599995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,480.7700004500,0.0000000000,0.0000000000
8,RegionB,1059.8100000000,531.3599995500,693.5600000000,0.0000000000,0.5731000000,0.0000000000,0.0000000000,144.0000000000,531.3599995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,528.4500004500,0.0000000000,0.0000000000
9,RegionB,1089.7800000000,531.3600000000,693.9900000000,0.0000000000,0.5625000000,0.0000000000,0.0000000000,144.0000000000,531.3600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,558.4200000000,0.0000000000,0.0000000000
10,RegionB,1100.0000000000,531.3600000000,694.4100000000,0.0000000000,0.5535000000,0.0000000000,0.0000000000,144.0000000000,531.3600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,568.6400000000,0.0000000000,0.0000000000
11,RegionB,1089.7800000000,531.3599995500,694.8300000000,0.0000000000,0.5468000000,0.0000000000,0.0000000000,144.0000000000,531.3599995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,558.4200004500,0.0000000000,0.0000000000
12,RegionB,1059.8100000000,482.3819995500,695.2500000000,0.0000000000,0.5427000000,0.0000000000,0.0000000000,144.0000000000,482.3819995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,577.4280004500,0.0000000000,0.0000000000
13,RegionB,1012.1300000000,443.2360495500,695.6600000000,0.0000000000,0.5417000000,0.0000000000,0.0000000000,144.0000000000,443.2360495500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,568.8939504500,0.0000000000,0.0000000000
14,RegionB,950.0000000000,422.4338995500,696.0600000000,0.0000000000,0.5439000000,0.0000000000,0.0000000000,144.0000000000,422.4338995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,527.5661004500,0.0000000000,0.0000000000
15,RegionB,877.6500000000,377.5004995500,696.4500000000,0.0000000000,0.5491000000,0.0000000000,0.0000000000,144.0000000000,377.5004995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,500.1495004500,0.0000000000,0.0000000000
16,RegionB,800.0000000000,341.6593500000,696.8400000000,0.0000000000,0.5570000000,0.0000000000,0.0000000000,144.0000000000,341.6593500000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,458.3406500000,0.0000000000,0.0000000000
17,RegionB,722.3500000000,344.7360004500,1010.9700000000,0.0000000000,0.5671000000,0.0000000000,0.0000000000,144.0000000000,344.7360004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,377.6139995500,0.0000000000,0.0000000000
18,RegionB,650.0000000000,291.1005004500,1011.5100000000,0.0000000000,0.5788000000,0.0000000000,0.0000000000,144.0000000000,291.1005004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,358.8994995500,0.0000000000,0.0000000000
19,RegionB,587.8700000000,336.9734995500,1012.0300000000,0.0000000000,0.5913000000,0.0000000000,0.0000000000,144.0000000000,336.9734995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,250.8965004500,0.0000000000,0.0000000000
20,RegionB,540.1900000000,356.0760000000,1012.5400000000,0.0000000000,0.6038000000,0.0000000000,0.0000000000,144.0000000000,356.0760000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,184.1140000000,0.0000000000,0.0000000000
21,RegionB,510.2200000000,375.3270000000,1013.0400000000,0.0000000000,0.6155000000,0.0000000000,0.0000000000,144.0000000000,375.3270000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,134.8930000000,0.0000000000,0.0000000000
22,RegionB,500.0000000000,423.6299995500,629.0800000000,0.0000000000,0.6256000000,0.0000000000,0.0000000000,144.0000000000,423.6299995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,76.3700004500,0.0000000000,0.0000000000
23,RegionB,510.2200000000,444.7440004500,629.3700000000,0.0000000000,0.6334000000,0.0000000000,0.0000000000,144.0000000000,444.7440004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,65.4759995500,0.0000000000,0.0000000000
0,RegionC,540.1900000000,468.1097995400,435.5000000000,0.0000000000,0.5925000000,0.0000000000,0.0000000000,135.0000000000,468.1097995400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,72.0802004600,0.0000000000,0.0000000000
1,RegionC,587.8700000000,536.5440000000,435.7800000000,0.0000000000,0.5946000000,0.0000000000,0.0000000000,135.0000000000,536.5440000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,51.3260000000,0.0000000000,0.0000000000
2,RegionC,650.0000000000,536.5440000000,436.0700000000,0.0000000000,0.5937000000,0.0000000000,0.0000000000,135.0000000000,536.5440000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,113.4560000000,0.0000000000,0.0000000000
3,RegionC,722.3500000000,536.5440000000,436.3500000000,0.0000000000,0.5900000000,0.0000000000,0.0000000000,135.0000000000,536.5440000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,185.8060000000,0.0000000000,0.0000000000
