WindowID,Method,Seed,TaskID,TaskType,SourceRegion,ExecutionRegion,ArrivalHour,StartMinute,EndMinute,Duration_min,GPU_Demand,MaxLatency_ms,LatestFinishHour
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,75,BatchInference,RegionD,RegionF,13,780,1175,395,15,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,84,AITraining,RegionF,RegionE,2,420,684,264,71,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,261,AITraining,RegionF,RegionF,1,60,309,249,92,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,283,AITraining,RegionD,RegionF,22,1320,1491,171,41,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,673,RealTimeInference,RegionC,RegionC,11,660,775,115,2,20,13
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,912,BatchInference,RegionA,RegionB,21,1260,1502,242,11,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,1573,BatchInference,RegionF,RegionE,18,1080,1160,80,20,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,1681,BatchInference,RegionB,RegionB,2,120,438,318,20,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,1819,BatchInference,RegionC,RegionC,5,300,545,245,11,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,1930,BatchInference,RegionB,RegionC,2,120,234,114,18,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,1952,AITraining,RegionE,RegionE,7,420,431,11,74,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,1970,RealTimeInference,RegionB,RegionB,5,300,646,346,1,20,11
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,2003,BatchInference,RegionC,RegionC,15,900,1055,155,13,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,2196,RealTimeInference,RegionD,RegionD,16,960,1062,102,6,20,18
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,2413,BatchInference,RegionF,RegionF,23,1380,1776,396,11,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,2521,RealTimeInference,RegionB,RegionB,19,1140,1238,98,5,20,21
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,2639,RealTimeInference,RegionB,RegionB,22,1320,1468,148,4,20,25
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,2671,AITraining,RegionD,RegionF,21,1440,1749,309,95,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,2690,AITraining,RegionD,RegionE,1,480,798,318,82,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,2703,AITraining,RegionD,RegionF,19,1424,1800,376,110,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,3249,RealTimeInference,RegionB,RegionB,14,840,1172,332,4,20,20
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,3253,AITraining,RegionA,RegionC,23,1620,1792,172,54,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,3300,RealTimeInference,RegionA,RegionA,6,360,431,71,6,20,8
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,3362,RealTimeInference,RegionC,RegionC,16,960,1197,237,4,20,20
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,3445,AITraining,RegionD,RegionE,0,0,74,74,57,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,3460,RealTimeInference,RegionB,RegionB,3,180,393,213,3,20,7
