Hour,Region,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,Total_Load_MW,AvailableRenewable_MW,ChargePower_MW,DischargePower_MW,SOC_MWh,RenewableToLoad_MW,RenewableCharge_MW,GridCharge_MW,GridLoadPurchase_MW,GridPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,GridEnergyForCost_MW,ChargeMode,Scenario,CoordinationIteration
0,RegionA,468.0000000000,0.0000000000,0.6679000000,499.1490004500,540.1900000000,0.0000000000,0.0000000000,157.5000000000,499.1490004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,41.0409995500,0.0000000000,0.0000000000,0,observed,5
1,RegionA,468.3100000000,0.0000000000,0.6703000000,535.4235000000,587.8700000000,0.0000000000,0.0000000000,157.5000000000,535.4235000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,52.4465000000,0.0000000000,0.0000000000,0,observed,5
2,RegionA,468.6100000000,0.0000000000,0.6693000000,544.3200000000,650.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,105.6800000000,0.0000000000,0.0000000000,0,observed,5
3,RegionA,468.9100000000,0.0000000000,0.6650000000,544.3200000000,722.3500000000,0.0000000000,0.0000000000,157.5000000000,544.3200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,178.0300000000,0.0000000000,0.0000000000,0,observed,5
4,RegionA,469.2200000000,0.0000000000,0.6578000000,544.3199995500,800.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3199995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,255.6800004500,0.0000000000,0.0000000000,0,observed,5
5,RegionA,469.5200000000,0.0000000000,0.6483000000,544.3200000000,877.6500000000,0.0000000000,0.0000000000,157.5000000000,544.3200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,333.3300000000,0.0000000000,0.0000000000,0,observed,5
6,RegionA,469.8200000000,0.0000000000,0.6370000000,544.3200004500,950.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3200004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,405.6799995500,0.0000000000,0.0000000000,0,observed,5
7,RegionA,723.2600000000,0.0000000000,0.6248000000,544.3200004500,1012.1300000000,0.0000000000,0.0000000000,157.5000000000,544.3200004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,467.8099995500,0.0000000000,0.0000000000,0,observed,5
8,RegionA,723.7100000000,0.0000000000,0.6126000000,544.3200000000,1059.8100000000,0.0000000000,0.0000000000,157.5000000000,544.3200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,515.4900000000,0.0000000000,0.0000000000,0,observed,5
9,RegionA,724.1600000000,0.0000000000,0.6013000000,544.3199995500,1089.7800000000,0.0000000000,0.0000000000,157.5000000000,544.3199995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,545.4600004500,0.0000000000,0.0000000000,0,observed,5
