scenario,method,region,solver_success,solver_status,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,peak_facility_load_MW,renewable_utilization_ratio,terminal_SOC_MWh,initial_SOC_MWh
observed,same_envelope_no_storage,RegionA,True,deterministic baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,544.3200004500,0.5718789842,157.5000000000,157.5000000000
observed,same_envelope_no_storage,RegionB,True,deterministic baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,531.3600004500,0.5697645467,144.0000000000,144.0000000000
observed,same_envelope_no_storage,RegionC,True,deterministic baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,536.5440004600,0.5731401625,135.0000000000,135.0000000000
observed,same_envelope_no_storage,RegionD,True,deterministic baseline,0.0000000000,,-1358909.3144858344,0.0000000000,-96.8492000000,607.4111995733,0.7674121832,405.0000000000,405.0000000000
observed,same_envelope_no_storage,RegionE,True,deterministic baseline,0.0000000000,,-1417510.2676176724,0.0000000000,-90.6325004167,591.8875004167,0.8013235025,370.0000000000,370.0000000000
observed,same_envelope_no_storage,RegionF,True,deterministic baseline,0.0000000000,,-1486195.8316163088,0.0000000000,-61.4381000000,613.7783004233,0.8019503974,382.5000000000,382.5000000000
high_carbon_price,same_envelope_no_storage,RegionA,True,deterministic baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,544.3200004500,0.5718789842,157.5000000000,157.5000000000
high_carbon_price,same_envelope_no_storage,RegionB,True,deterministic baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,531.3600004500,0.5697645467,144.0000000000,144.0000000000
high_carbon_price,same_envelope_no_storage,RegionC,True,deterministic baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,536.5440004600,0.5731401625,135.0000000000,135.0000000000
high_carbon_price,same_envelope_no_storage,RegionD,True,deterministic baseline,0.0000000000,,-1358909.3144858344,0.0000000000,-96.8492000000,607.4111995733,0.7674121832,405.0000000000,405.0000000000
high_carbon_price,same_envelope_no_storage,RegionE,True,deterministic baseline,0.0000000000,,-1417510.2676176724,0.0000000000,-90.6325004167,591.8875004167,0.8013235025,370.0000000000,370.0000000000
high_carbon_price,same_envelope_no_storage,RegionF,True,deterministic baseline,0.0000000000,,-1486195.8316163088,0.0000000000,-61.4381000000,613.7783004233,0.8019503974,382.5000000000,382.5000000000
renewable_low_70pct,same_envelope_no_storage,RegionA,True,deterministic baseline,0.0000000000,,253658.0105146781,322.3386118449,123.9145000000,544.3200004500,0.7811312126,157.5000000000,157.5000000000
renewable_low_70pct,same_envelope_no_storage,RegionB,True,deterministic baseline,0.0000000000,,253839.4672879140,299.5353919207,115.8279995500,531.3600004500,0.7783908331,144.0000000000,144.0000000000
renewable_low_70pct,same_envelope_no_storage,RegionC,True,deterministic baseline,0.0000000000,,241094.6615352926,287.7749898081,125.0350000000,536.5440004600,0.7827655298,135.0000000000,135.0000000000
renewable_low_70pct,same_envelope_no_storage,RegionD,True,deterministic baseline,0.0000000000,,-818214.1984436868,132.4956943271,71.2080004267,607.4111995733,0.9571221367,405.0000000000,405.0000000000
renewable_low_70pct,same_envelope_no_storage,RegionE,True,deterministic baseline,0.0000000000,,-798541.6317951474,72.2320305010,85.7284995833,591.8875004167,0.9765515065,370.0000000000,370.0000000000
renewable_low_70pct,same_envelope_no_storage,RegionF,True,deterministic baseline,0.0000000000,,-831756.9397399343,84.2729318813,100.6189000000,613.7783004233,0.9753112448,382.5000000000,382.5000000000
