Hour,Region,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,Total_Load_MW,AvailableRenewable_MW,ChargePower_MW,DischargePower_MW,SOC_MWh,RenewableToLoad_MW,RenewableCharge_MW,GridCharge_MW,GridLoadPurchase_MW,GridPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,GridEnergyForCost_MW,ChargeMode,GridImportMode,Scenario,CoordinationIteration
0,RegionA,468.0000000000,0.0000000000,0.6679000000,499.1490004500,540.1900000000,0.0000000000,100.0000000000,48.8043478261,399.1490004500,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,141.0409995500,0.0000000000,0.0000000000,0,1,observed,5
1,RegionA,468.3100000000,0.0000000000,0.6703000000,535.4235000000,587.8700000000,52.4465000000,-0.0000000000,97.5795928261,535.4235000000,52.4465000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,1,observed,5
2,RegionA,468.6100000000,0.0000000000,0.6693000000,544.3200000000,650.0000000000,100.0000000000,-0.0000000000,190.5795928261,544.3200000000,100.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.6800000000,0.0000000000,0.0000000000,1,1,observed,5
3,RegionA,468.9100000000,0.0000000000,0.6650000000,544.3200000000,722.3500000000,0.0000000000,100.0000000000,81.8839406522,444.3200000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,278.0300000000,0.0000000000,0.0000000000,0,1,observed,5
4,RegionA,469.2200000000,0.0000000000,0.6578000000,544.3199995500,800.0000000000,100.0000000000,-0.0000000000,174.8839406522,544.3199995500,100.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,155.6800004500,0.0000000000,0.0000000000,1,1,observed,5
5,RegionA,469.5200000000,0.0000000000,0.6483000000,544.3200000000,877.6500000000,0.0000000000,100.0000000000,66.1882884783,444.3200000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,433.3300000000,0.0000000000,0.0000000000,0,1,observed,5
6,RegionA,469.8200000000,0.0000000000,0.6370000000,544.3200004500,950.0000000000,100.0000000000,-0.0000000000,159.1882884783,544.3200004500,100.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,305.6799995500,0.0000000000,0.0000000000,1,1,observed,5
7,RegionA,723.2600000000,0.0000000000,0.6248000000,544.3200004500,1012.1300000000,0.0000000000,100.0000000000,50.4926363043,444.3200004500,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,567.8099995500,0.0000000000,0.0000000000,0,1,observed,5
8,RegionA,723.7100000000,0.0000000000,0.6126000000,544.3200000000,1059.8100000000,100.0000000000,-0.0000000000,143.4926363043,544.3200000000,100.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,415.4900000000,0.0000000000,0.0000000000,1,1,observed,5
9,RegionA,724.1600000000,0.0000000000,0.6013000000,544.3199995500,1089.7800000000,0.0000000000,99.8132254000,35.0000000000,444.5067741500,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,645.2732258500,0.0000000000,0.0000000000,0,1,observed,5
10,RegionA,724.6100000000,0.0000000000,0.5917000000,531.7110004500,1100.0000000000,100.0000000000,-0.0000000000,128.0000000000,531.7110004500,100.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,468.2889995500,0.0000000000,0.0000000000,1,1,observed,5
11,RegionA,725.0400000000,0.0000000000,0.5845000000,506.1015000000,1089.7800000000,100.0000000000,-0.0000000000,221.0000000000,506.1015000000,100.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,483.6785000000,0.0000000000,0.0000000000,1,1,observed,5
12,RegionA,725.4800000000,0.0000000000,0.5802000000,466.4789995500,1059.8100000000,100.0000000000,-0.0000000000,314.0000000000,466.4789995500,100.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,493.3310004500,0.0000000000,0.0000000000,1,1,observed,5
13,RegionA,725.9000000000,0.0000000000,0.5791000000,443.6667000000,1012.1300000000,0.0000000000,100.0000000000,205.3043478261,343.6667000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,668.4633000000,0.0000000000,0.0000000000,0,1,observed,5
14,RegionA,726.3200000000,0.0000000000,0.5814000000,423.0872995500,950.0000000000,100.0000000000,-0.0000000000,298.3043478261,423.0872995500,100.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,426.9127004500,0.0000000000,0.0000000000,1,1,observed,5
15,RegionA,726.7400000000,0.0000000000,0.5869000000,379.0665000000,877.6500000000,0.0000000000,100.0000000000,189.6086956522,279.0665000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,598.5835000000,0.0000000000,0.0000000000,0,1,observed,5
16,RegionA,727.1400000000,0.0000000000,0.5954000000,334.0439995500,800.0000000000,0.0000000000,100.0000000000,80.9130434783,234.0439995500,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,565.9560004500,0.0000000000,0.0000000000,0,1,observed,5
17,RegionA,1054.9200000000,0.0000000000,0.6062000000,316.9124995500,722.3500000000,100.0000000000,-0.0000000000,173.9130434783,316.9124995500,100.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,305.4375004500,0.0000000000,0.0000000000,1,1,observed,5
18,RegionA,1055.4900000000,0.0000000000,0.6188000000,299.4434995500,650.0000000000,0.0000000000,71.7800000000,95.8913043478,227.6634995500,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,422.3365004500,0.0000000000,0.0000000000,0,1,observed,5
19,RegionA,1056.0300000000,0.0000000000,0.6321000000,386.4914995500,587.8700000000,100.0000000000,-0.0000000000,188.8913043478,386.4914995500,100.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,101.3785004500,0.0000000000,0.0000000000,1,1,observed,5
20,RegionA,1056.5600000000,0.0000000000,0.6455000000,330.8849995500,540.1900000000,0.0000000000,100.0000000000,80.1956521739,230.8849995500,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,309.3050004500,0.0000000000,0.0000000000,0,1,observed,5
21,RegionA,1057.0800000000,0.0000000000,0.6580000000,376.1235000000,510.2200000000,100.0000000000,-0.0000000000,173.1956521739,376.1235000000,100.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,34.0965000000,0.0000000000,0.0000000000,1,1,observed,5
22,RegionA,656.4300000000,0.0000000000,0.6687000000,388.0034995500,500.0000000000,0.0000000000,100.0000000000,64.5000000000,288.0034995500,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,211.9965004500,0.0000000000,0.0000000000,0,1,observed,5
23,RegionA,656.7300000000,0.0000000000,0.6771000000,408.9284995500,510.2200000000,100.0000000000,-0.0000000000,157.5000000000,408.9284995500,100.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.2915004500,0.0000000000,0.0000000000,1,1,observed,5
0,RegionB,448.5000000000,0.0000000000,0.6248000000,458.7435004500,540.1900000000,55.9513791491,-0.0000000000,196.0347826087,458.7435004500,55.9513791491,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25.4951204009,0.0000000000,0.0000000000,1,1,observed,5
1,RegionB,448.7900000000,0.0000000000,0.6271000000,527.3369995500,587.8700000000,0.0000000000,90.0000000000,98.2086956522,437.3369995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,150.5330004500,0.0000000000,0.0000000000,0,1,observed,5
2,RegionB,449.0800000000,0.0000000000,0.6261000000,531.3599995500,650.0000000000,90.0000000000,-0.0000000000,181.9086956522,531.3599995500,90.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,28.6400004500,0.0000000000,0.0000000000,1,1,observed,5
