scenario,method,region,solver_success,solver_status,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,peak_facility_load_MW,renewable_utilization_ratio,terminal_SOC_MWh,initial_SOC_MWh
observed,alternating_peak_shadow_MILP,RegionA,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0490180000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,544.3200004500,0.5812984256,157.5000000000,157.5000000000
observed,alternating_peak_shadow_MILP,RegionB,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0517940000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,531.3600004500,0.5783078477,144.0000000000,144.0000000000
observed,alternating_peak_shadow_MILP,RegionC,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0386420000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,536.5440004600,0.5813535157,135.0000000000,135.0000000000
observed,alternating_peak_shadow_MILP,RegionD,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0880750000,0.0000005442,-1436183.9999999998,0.0000000000,-180.0000000000,607.4111995733,0.7986966948,405.0000000000,405.0000000000
observed,alternating_peak_shadow_MILP,RegionE,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0615534000,0.0000018562,-1530838.7720802815,0.0000000000,-114.2000004167,591.8875004167,0.8390742338,370.0000000000,370.0000000000
observed,alternating_peak_shadow_MILP,RegionF,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1287657000,0.0000000000,-1612451.5477600002,0.0000000000,-119.3242000000,613.7783004233,0.8407907226,382.5000000000,382.5000000000
high_carbon_price,alternating_peak_shadow_MILP,RegionA,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0275132000,0.0000503575,0.0000000000,0.0000000000,0.0000000000,544.3200004500,0.5812926241,157.5000000000,157.5000000000
high_carbon_price,alternating_peak_shadow_MILP,RegionB,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0386787000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,531.3600004500,0.5783970833,144.0000000000,144.0000000000
high_carbon_price,alternating_peak_shadow_MILP,RegionC,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0375784000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,536.5440004600,0.5813535157,135.0000000000,135.0000000000
high_carbon_price,alternating_peak_shadow_MILP,RegionD,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0659286000,0.0000000000,-1436183.9999999998,0.0000000000,-180.0000000000,607.4111995733,0.7985252707,405.0000000000,405.0000000000
high_carbon_price,alternating_peak_shadow_MILP,RegionE,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0536075000,0.0000018562,-1530838.7720802815,0.0000000000,-114.2000004167,591.8875004167,0.8390742338,370.0000000000,370.0000000000
high_carbon_price,alternating_peak_shadow_MILP,RegionF,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1000768000,0.0000000000,-1612451.5477600002,0.0000000000,-119.3242000000,613.7783004233,0.8407907226,382.5000000000,382.5000000000
renewable_low_70pct,alternating_peak_shadow_MILP,RegionA,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1393842000,0.0000000000,121888.6706140714,173.9730848845,73.8501668167,544.3200004500,0.8076317600,157.5000000000,157.5000000000
renewable_low_70pct,alternating_peak_shadow_MILP,RegionB,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.2472670000,0.0000000000,98733.6385530445,133.1972310183,56.5861665167,531.3600004500,0.8072261431,144.0000000000,144.0000000000
renewable_low_70pct,alternating_peak_shadow_MILP,RegionC,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1678807000,0.0000000000,108875.4500399928,145.0371978032,66.6519331800,536.5440004600,0.8092894313,135.0000000000,135.0000000000
renewable_low_70pct,alternating_peak_shadow_MILP,RegionD,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0160722000,0.0000000000,-1027653.3402231400,0.0000000000,0.0000000000,607.4111995733,1.0000000000,405.0000000000,405.0000000000
renewable_low_70pct,alternating_peak_shadow_MILP,RegionE,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0170282000,0.0000000000,-916348.6060931159,0.0000000000,0.0000000000,591.8875004167,1.0000000000,370.0000000000,370.0000000000
renewable_low_70pct,alternating_peak_shadow_MILP,RegionF,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0141586000,0.0000000000,-957793.4925428299,0.0000000000,0.0000000000,613.7783004233,1.0000000000,382.5000000000,382.5000000000
