method,evaluation,scenario,window_start_h,horizon_h,region,status,solver_success,solver_mode,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,load_std_MW,renewable_utilization_ratio,curtailment_MWh,terminal_SOC_MWh,initial_SOC_MWh,grid_import_peak_margin_MW,max_charge_MW,max_discharge_MW
no_storage_renewable_first,fixed,observed,0,72,RegionA,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5700571406,24764.7086986501,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,fixed,observed,0,72,RegionB,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5657085937,25015.1850026997,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,fixed,observed,0,72,RegionC,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5752827802,24463.7118604600,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,fixed,observed,0,72,RegionD,deterministic baseline,True,baseline,0.0000000000,,-4054861.3638875270,0.0000000000,-81.0412000000,29.0736574442,0.7687377541,13320.7053638396,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,fixed,observed,0,72,RegionE,deterministic baseline,True,baseline,0.0000000000,,-4255828.7658369318,0.0000000000,-76.8400000000,43.2156508104,0.7973512369,11672.5687520831,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,fixed,observed,0,72,RegionF,deterministic baseline,True,baseline,0.0000000000,,-4454019.5964230942,0.0000000000,-55.6341995767,45.7302156661,0.8004158783,11496.0454095767,382.5000000000,382.5000000000,340.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,fixed,observed,0,168,RegionA,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5695670491,57850.1886000000,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,fixed,observed,0,168,RegionB,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5645704419,58521.7326040496,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,fixed,observed,0,168,RegionC,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5756259697,57035.8696772403,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,fixed,observed,0,168,RegionD,deterministic baseline,True,baseline,0.0000000000,,-9379139.6789093111,0.0000000000,-73.5096000000,29.8176160610,0.7683079619,31139.4099195734,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,fixed,observed,0,168,RegionE,deterministic baseline,True,baseline,0.0000000000,,-9939873.6746822298,0.0000000000,-76.8400000000,41.0291786215,0.7969059988,27295.8337545829,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,fixed,observed,0,168,RegionF,deterministic baseline,True,baseline,0.0000000000,,-10284624.8235998116,0.0000000000,-55.6341995767,45.8042330285,0.7997697388,26910.9471078835,382.5000000000,382.5000000000,340.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,0,168,RegionA,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5695670491,57850.1886000000,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,168,168,RegionA,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5680272254,58057.1409062994,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,336,168,RegionA,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5695595457,57851.1970531497,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,504,168,RegionA,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5692059341,57898.7224531497,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,672,168,RegionA,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5694796507,57861.9349450505,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,840,168,RegionA,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5679236552,58071.0607423508,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1008,168,RegionA,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5680138260,58058.9417914509,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1176,168,RegionA,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5694315469,57868.4001026997,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000
