method,evaluation,scenario,window_start_h,horizon_h,region,status,solver_success,solver_mode,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,load_std_MW,renewable_utilization_ratio,curtailment_MWh,terminal_SOC_MWh,initial_SOC_MWh,grid_import_peak_margin_MW,max_charge_MW,max_discharge_MW
carbon_aware_MILP,fixed,observed,0,72,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0459489000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5736507040,24557.7194513383,350.0000000000,157.5000000000,550.0000000000,100.0000000000,0.0000000000
carbon_aware_MILP,fixed,observed,0,72,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0255657000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5689941373,24825.9376908718,320.0000000000,144.0000000000,520.0000000000,90.0000000000,0.0000000000
carbon_aware_MILP,fixed,observed,0,72,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0200958000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5783629773,24286.2925056212,300.0000000000,135.0000000000,510.0000000000,85.0000000000,0.0000000000
carbon_aware_MILP,fixed,observed,0,72,RegionD,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0309325000,0.0000000000,-4334571.0000000000,0.0000000000,-180.0000000000,0.0000000000,0.7962168779,11737.9078336941,730.7767732761,405.0000000000,510.0000000000,260.0000000000,98.9588000000
carbon_aware_MILP,fixed,observed,0,72,RegionE,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0578931000,0.0000000000,-4661407.9720802680,0.0000000000,-114.2000004166,12.3817589235,0.8346922225,9521.7279829037,568.7392482078,370.0000000000,370.0000000000,240.0000000000,143.1600000000
carbon_aware_MILP,fixed,observed,0,72,RegionF,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0406168000,0.0000000000,-4907769.9477599990,0.0000000000,-119.3242000000,11.7820745741,0.8411857211,9147.7024669740,621.9760215054,382.5000000000,340.0000000000,250.0000000000,164.3658004233
carbon_aware_MILP,fixed,observed,0,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0919179000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5711071477,57643.1993526882,350.0000000000,157.5000000000,550.0000000000,100.0000000000,0.0000000000
carbon_aware_MILP,fixed,observed,0,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0298531000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5659785321,58332.4852922217,320.0000000000,144.0000000000,520.0000000000,90.0000000000,0.0000000000
carbon_aware_MILP,fixed,observed,0,168,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0747135000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5769460541,56858.4503224016,300.0000000000,135.0000000000,510.0000000000,85.0000000000,0.0000000000
carbon_aware_MILP,fixed,observed,0,168,RegionD,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.1142199000,0.0000000000,-10049878.8000000007,0.0000000000,-180.0000000000,0.0000000000,0.7923607796,27906.7112255749,681.5174188961,405.0000000000,510.0000000000,260.0000000000,106.4904000000
carbon_aware_MILP,fixed,observed,0,168,RegionE,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.1052941000,0.0000000000,-10834501.6040803697,0.0000000000,-156.8500004166,5.8453869370,0.8314829139,22648.6963723095,647.8413978495,370.0000000000,370.0000000000,240.0000000000,143.1600000000
carbon_aware_MILP,fixed,observed,0,168,RegionF,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.1280540000,0.0000000000,-11405763.3148490023,0.0000000000,-141.2507000000,6.2782184883,0.8398069148,21529.9506534986,582.3303234909,382.5000000000,340.0000000000,250.0000000000,164.3658004233
carbon_aware_MILP,rolling_block,observed,0,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0944337000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5711071477,57643.1993526882,350.0000000000,157.5000000000,550.0000000000,100.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,168,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0313736000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5680272254,58057.1409062994,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,336,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0275663000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5695595457,57851.1970531497,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,504,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0260489000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5692059341,57898.7224531497,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,672,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0272769000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5694796507,57861.9349450505,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,840,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0284432000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5679236552,58071.0607423508,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1008,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0277061000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5680138260,58058.9417914509,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000
