method_candidate,evaluation,scenario,window_start_h,horizon_h,region,status_candidate,solver_success_candidate,solver_mode_candidate,runtime_s_candidate,mip_gap_candidate,cost_CNY_candidate,carbon_tCO2_candidate,peak_net_import_MW_candidate,load_std_MW_candidate,renewable_utilization_ratio_candidate,curtailment_MWh_candidate,terminal_SOC_MWh_candidate,initial_SOC_MWh_candidate,grid_import_peak_margin_MW_candidate,max_charge_MW_candidate,max_discharge_MW_candidate,method_baseline,status_baseline,solver_success_baseline,solver_mode_baseline,runtime_s_baseline,mip_gap_baseline,cost_CNY_baseline,carbon_tCO2_baseline,peak_net_import_MW_baseline,load_std_MW_baseline,renewable_utilization_ratio_baseline,curtailment_MWh_baseline,terminal_SOC_MWh_baseline,initial_SOC_MWh_baseline,grid_import_peak_margin_MW_baseline,max_charge_MW_baseline,max_discharge_MW_baseline,cost_saving_CNY,carbon_reduction_tCO2,peak_reduction_MW,std_reduction_MW,renewable_utilization_gain_pp
carbon_aware_MILP,fixed,observed,0,72,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0459489000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5736507040,24557.7194513383,350.0000000000,157.5000000000,550.0000000000,100.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5700571406,24764.7086986501,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3593563321
carbon_aware_MILP,fixed,observed,0,72,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0255657000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5689941373,24825.9376908718,320.0000000000,144.0000000000,520.0000000000,90.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5657085937,25015.1850026997,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3285543608
carbon_aware_MILP,fixed,observed,0,72,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0200958000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5783629773,24286.2925056212,300.0000000000,135.0000000000,510.0000000000,85.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5752827802,24463.7118604600,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3080197133
carbon_aware_MILP,fixed,observed,0,72,RegionD,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0309325000,0.0000000000,-4334571.0000000000,0.0000000000,-180.0000000000,0.0000000000,0.7962168779,11737.9078336941,730.7767732761,405.0000000000,510.0000000000,260.0000000000,98.9588000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,-4054861.3638875270,0.0000000000,-81.0412000000,29.0736574442,0.7687377541,13320.7053638396,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000,279709.6361124730,0.0000000000,98.9588000000,29.0736574442,2.7479123787
carbon_aware_MILP,fixed,observed,0,72,RegionE,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0578931000,0.0000000000,-4661407.9720802680,0.0000000000,-114.2000004166,12.3817589235,0.8346922225,9521.7279829037,568.7392482078,370.0000000000,370.0000000000,240.0000000000,143.1600000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,-4255828.7658369318,0.0000000000,-76.8400000000,43.2156508104,0.7973512369,11672.5687520831,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000,405579.2062433362,0.0000000000,37.3600004166,30.8338918869,3.7340985576
carbon_aware_MILP,fixed,observed,0,72,RegionF,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0406168000,0.0000000000,-4907769.9477599990,0.0000000000,-119.3242000000,11.7820745741,0.8411857211,9147.7024669740,621.9760215054,382.5000000000,340.0000000000,250.0000000000,164.3658004233,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,-4454019.5964230942,0.0000000000,-55.6341995767,45.7302156661,0.8004158783,11496.0454095767,382.5000000000,382.5000000000,340.0000000000,0.0000000000,0.0000000000,453750.3513369048,0.0000000000,63.6900004233,33.9481410920,4.0769842754
carbon_aware_MILP,fixed,observed,0,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0919179000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5711071477,57643.1993526882,350.0000000000,157.5000000000,550.0000000000,100.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5695670491,57850.1886000000,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1540098566
carbon_aware_MILP,fixed,observed,0,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0298531000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5659785321,58332.4852922217,320.0000000000,144.0000000000,520.0000000000,90.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5645704419,58521.7326040496,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1408090118
carbon_aware_MILP,fixed,observed,0,168,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0747135000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5769460541,56858.4503224016,300.0000000000,135.0000000000,510.0000000000,85.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5756259697,57035.8696772403,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1320084485
carbon_aware_MILP,fixed,observed,0,168,RegionD,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.1142199000,0.0000000000,-10049878.8000000007,0.0000000000,-180.0000000000,0.0000000000,0.7923607796,27906.7112255749,681.5174188961,405.0000000000,510.0000000000,260.0000000000,106.4904000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,-9379139.6789093111,0.0000000000,-73.5096000000,29.8176160610,0.7683079619,31139.4099195734,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000,670739.1210906897,0.0000000000,106.4904000000,29.8176160610,2.4052817664
