method,evaluation,scenario,window_start_h,horizon_h,region,status,solver_success,solver_mode,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,load_std_MW,renewable_utilization_ratio,curtailment_MWh,terminal_SOC_MWh,initial_SOC_MWh,grid_import_peak_margin_MW,max_charge_MW,max_discharge_MW
carbon_aware_MILP,scenario,peak_price_empirical,0,72,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0147037000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5736507040,24557.7194513383,350.0000000000,157.5000000000,550.0000000000,100.0000000000,0.0000000000
carbon_aware_MILP,scenario,peak_price_empirical,0,72,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0256775000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5689941373,24825.9376908718,320.0000000000,144.0000000000,520.0000000000,90.0000000000,0.0000000000
carbon_aware_MILP,scenario,peak_price_empirical,0,72,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0234099000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5783629773,24286.2925056212,300.0000000000,135.0000000000,510.0000000000,85.0000000000,0.0000000000
carbon_aware_MILP,scenario,peak_price_empirical,0,72,RegionD,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0339015000,0.0000000000,-4334571.0000000000,0.0000000000,-180.0000000000,0.0000000000,0.7962168779,11737.9078336941,730.7767732761,405.0000000000,510.0000000000,260.0000000000,98.9588000000
carbon_aware_MILP,scenario,peak_price_empirical,0,72,RegionE,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0636946000,0.0000000000,-4661407.9720802680,0.0000000000,-114.2000004166,12.3817589235,0.8346922225,9521.7279829037,568.7392482078,370.0000000000,370.0000000000,240.0000000000,143.1600000000
carbon_aware_MILP,scenario,peak_price_empirical,0,72,RegionF,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0383997000,0.0000000000,-4907769.9477599990,0.0000000000,-119.3242000000,11.7820745741,0.8411857211,9147.7024669740,621.9760215054,382.5000000000,340.0000000000,250.0000000000,164.3658004233
carbon_aware_MILP,scenario,high_carbon_empirical,0,72,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0139711000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5736507040,24557.7194513383,350.0000000000,157.5000000000,550.0000000000,100.0000000000,0.0000000000
carbon_aware_MILP,scenario,high_carbon_empirical,0,72,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0214612000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5689941373,24825.9376908718,320.0000000000,144.0000000000,520.0000000000,90.0000000000,0.0000000000
carbon_aware_MILP,scenario,high_carbon_empirical,0,72,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0228440000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5783629773,24286.2925056212,300.0000000000,135.0000000000,510.0000000000,85.0000000000,0.0000000000
carbon_aware_MILP,scenario,high_carbon_empirical,0,72,RegionD,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0314679000,0.0000000000,-4334571.0000000000,0.0000000000,-180.0000000000,0.0000000000,0.7962168779,11737.9078336941,730.7767732761,405.0000000000,510.0000000000,260.0000000000,98.9588000000
carbon_aware_MILP,scenario,high_carbon_empirical,0,72,RegionE,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0652671000,0.0000000000,-4661407.9720802680,0.0000000000,-114.2000004166,12.3817589235,0.8346922225,9521.7279829037,568.7392482078,370.0000000000,370.0000000000,240.0000000000,143.1600000000
carbon_aware_MILP,scenario,high_carbon_empirical,0,72,RegionF,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0490038000,0.0000000000,-4907769.9477599990,0.0000000000,-119.3242000000,11.7820745741,0.8411857211,9147.7024669740,621.9760215054,382.5000000000,340.0000000000,250.0000000000,164.3658004233
