TaskID,TaskType,ArrivalHour,OldRegion,NewRegion,OldStartMinute,NewStartMinute,OldLatency_ms,NewLatency_ms,OldMarginalCost_CNY,NewMarginalCost_CNY,OldMarginalCarbon_tCO2,NewMarginalCarbon_tCO2,ObjectiveGain
26299,AITraining,0,RegionD,RegionE,0,0,5.0,22.0,42826.31608320005,36959.16120000018,68.5447526400001,35.06100000000004,139.36792144320006
14640,AITraining,3,RegionF,RegionE,180,180,5.0,18.0,43481.0997279996,40656.42800000019,38.15535506666655,31.774646666666662,28.040798661332246
5450,AITraining,0,RegionF,RegionE,0,60,5.0,18.0,35191.39303253307,32926.30613333356,37.621835178666565,31.098053333333368,27.158803613865587
15673,AITraining,2,RegionD,RegionE,120,120,5.0,22.0,40385.78380800007,34852.85280000028,58.311733248000394,29.827547999999997,119.05958400000131
7759,AITraining,2,RegionF,RegionE,120,540,5.0,18.0,27248.56841359972,39370.29920000053,28.901807575999925,21.509625000000792,10.869671517595691
41632,AITraining,5,RegionF,RegionE,300,540,5.0,18.0,31445.201625599664,36273.13040000046,25.53268011733341,19.857550666667386,14.001727694929954
2690,AITraining,1,RegionD,RegionE,60,480,5.0,22.0,24928.537395200037,33244.04640000026,39.83693824000007,18.298300000000495,71.1797399551981
35299,AITraining,5,RegionD,RegionF,300,300,5.0,25.0,32129.688883200273,29654.400431999682,34.66046156799986,21.28894192799988,55.62891501120053
21674,AITraining,3,RegionD,RegionF,180,180,5.0,25.0,20109.360537599998,18560.04476959979,31.731619840000086,19.492433455999876,50.17803730400102
6384,AITraining,2,RegionD,RegionE,120,420,5.0,22.0,18835.86007040001,25088.45200000011,30.27937143466683,14.30781466666662,52.79981114240074
84,AITraining,2,RegionF,RegionE,120,420,5.0,18.0,16544.73785279982,23875.510800000022,17.51808332799995,13.425532000000148,4.29444836479901
48009,AITraining,2,RegionB,RegionB,120,240,5.0,5.0,23485.10169600008,24245.4798719997,32.41787903999974,31.598474399999972,0.7172403839994388
19608,AITraining,1,RegionD,RegionE,60,60,5.0,22.0,12080.793088000033,10425.845733333343,19.57159082666669,10.010606666666613,39.593287994667016
49231,AITraining,5,RegionD,RegionF,300,300,5.0,25.0,11413.401600000096,10534.070879999903,13.002547199999972,7.986369599999947,20.632041120000295
45189,BatchInference,1,RegionA,RegionC,60,60,5.0,15.0,9432.779400000016,8972.731020000054,12.652497000000036,11.473802999999972,5.04627438000022
14112,AITraining,0,RegionD,RegionE,0,0,5.0,22.0,8175.604531200003,7055.625599999998,13.246930943999995,6.775248000000001,26.55355780824165
45525,AITraining,4,RegionD,RegionF,240,240,5.0,25.0,7921.668095999956,7311.379839999867,12.532490240000023,7.69928863999989,19.63205465600062
9170,AITraining,0,RegionB,RegionC,0,0,5.0,14.0,12034.92960000002,11945.800719999985,16.78876199999996,16.27356719999999,2.0447080799999213
28855,BatchInference,2,RegionA,RegionC,120,120,5.0,15.0,8018.098200000024,7627.062660000053,10.472301000000037,9.496842599999978,4.160719140000211
11646,BatchInference,2,RegionD,RegionE,120,120,5.0,22.0,3847.8153600000037,3320.6567500000265,5.6138732800000355,2.871608125,11.226301730000122
12511,AITraining,5,RegionD,RegionF,300,300,5.0,25.0,7313.694720000057,6750.2159466666035,8.390246399999986,5.153422933333306,13.203039306666849
18585,AITraining,2,RegionD,RegionF,120,120,5.0,25.0,5959.488853333344,5500.368238933277,8.615657472000057,5.292194986666657,13.445333222400343
29531,BatchInference,4,RegionA,RegionB,240,240,5.0,12.0,7378.865100000016,7071.415424999937,8.093904749999977,7.5716977500000056,2.291277674999968
33300,BatchInference,1,RegionD,RegionE,60,60,5.0,22.0,2570.9598720000026,2218.740000000007,4.128423253333345,2.111733333333334,8.134886218666708
8692,AITraining,2,RegionD,RegionE,120,120,5.0,22.0,4098.259968000011,3536.8519999999994,6.635960320000032,3.3945999999999708,13.254689248000258
3445,AITraining,0,RegionD,RegionE,0,0,5.0,22.0,4024.5747712000016,3473.2456000000006,6.519199744000003,3.334348000000002,12.887169356575008
15080,AITraining,2,RegionB,RegionC,120,180,5.0,14.0,6416.838792000028,6373.487937600084,8.943245639999919,8.613041472000035,0.3450435263994933
34306,BatchInference,3,RegionA,RegionB,180,180,5.0,12.0,3363.542819999987,3223.4241599999928,4.711004550000023,4.40699939999999,1.251139260000123
16511,AITraining,0,RegionD,RegionE,0,0,5.0,22.0,2816.773324800001,2430.9023999999995,4.563787775999998,2.3341920000000007,8.908926587133323
24169,BatchInference,2,RegionD,RegionE,120,120,5.0,22.0,1662.1249920000103,1434.416083333342,2.682945706666688,1.3724962499999862,5.207549235333475
44123,BatchInference,5,RegionD,RegionE,300,300,5.0,22.0,1875.4202880000146,1618.5007500000083,2.0395507199999954,1.04331750000001,3.981137417999948
13868,AITraining,5,RegionD,RegionE,300,300,5.0,22.0,2040.6071296000262,1761.0320000000206,3.195430229333305,1.6345333333333611,6.2596347135997785
1930,BatchInference,2,RegionB,RegionC,120,120,5.0,14.0,2074.0584600000143,2058.7019400000213,2.881955699999975,2.793754800000002,0.23829011999988126
13847,AITraining,0,RegionB,RegionC,0,0,5.0,14.0,3277.638000000001,3253.3592,4.566038400000004,4.426212000000003,0.45670439999999957
11033,BatchInference,0,RegionA,RegionB,0,0,5.0,12.0,1249.0095375000014,1196.9646750000047,1.7814937499999999,1.666571624999992,0.40673336250002645
22975,BatchInference,3,RegionD,RegionE,180,180,5.0,22.0,639.8582400000068,552.189750000007,1.029302400000012,0.5265749999999936,1.8409005900000732
40493,AITraining,4,RegionD,RegionF,240,240,5.0,25.0,999.5617279999863,922.5638986666582,1.589425493333329,0.976428493333308,2.227592496000079
34003,BatchInference,5,RegionF,RegionE,300,300,5.0,18.0,545.6363229999924,510.1935000000074,0.5072126000000012,0.4223662500000018,0.17833822299998303
46612,BatchInference,2,RegionA,RegionB,120,120,5.0,12.0,675.0558000000029,646.9308000000042,0.9598545000000019,0.897920999999992,0.17085900000003917
28419,BatchInference,2,RegionD,RegionE,120,120,5.0,22.0,260.904149333334,225.1642499999998,0.42268970666666855,0.21622395833333258,0.6055103926666783
9537,BatchInference,0,RegionA,RegionC,0,0,5.0,15.0,340.119,323.53295,0.485396325,0.44016825,0.048305850000000206
12072,AITraining,8,RegionD,RegionE,480,1440,5.0,22.0,54156.1213952006,30631.7912999996,50.34752307199866,29.4835860000009,92.178426383192
14374,AITraining,10,RegionD,RegionE,600,840,5.0,22.0,52385.55279360154,52965.718800001225,47.7871964159984,25.01032800000047,86.530611657592
44126,AITraining,7,RegionC,RegionC,420,600,5.0,5.0,78805.4450447997,78948.6279935989,62.57653607999993,60.5220539039995,5.374745755202582
34622,AITraining,7,RegionD,RegionE,420,840,5.0,22.0,37518.74816000037,35442.16750000106,35.785093120000056,17.791285000000148,67.39511313999894
30279,AITraining,11,RegionD,RegionE,660,900,5.0,22.0,33791.506500267984,36096.62116666701,30.71145847466544,16.29667433333376,51.40765789892768
4742,AITraining,8,RegionA,RegionC,480,600,5.0,15.0,57590.922239998865,54848.451071999145,47.31644159999924,42.06187007999974,21.899077247997695
10691,AITraining,11,RegionF,RegionE,660,1440,5.0,18.0,28589.01483946704,17492.029333333667,17.28826683733334,16.92753066666778,0.5890795221289409
12084,AITraining,7,RegionD,RegionF,420,540,5.0,25.0,30601.87392000028,28278.996798933174,29.15878092800006,17.36710471199989,47.36193265173442
26211,AITraining,11,RegionF,RegionE,660,720,5.0,18.0,21059.492111733238,21119.654866667162,12.641790650666833,10.599812000000213,6.9721891810659
11953,AITraining,6,RegionD,RegionF,360,360,5.0,25.0,11829.800960000006,10918.362719999877,13.979648000000159,8.585504799999997,22.175211040000775
20619,AITraining,11,RegionD,RegionF,660,660,5.0,25.0,12997.76000000047,11996.46521199995,11.675079679999762,7.170938160000102,18.706360867999166
30463,AITraining,7,RegionD,RegionF,420,420,5.0,25.0,11943.511313066749,11023.32547679993,11.627188906666813,7.140715885333352,18.555279254934
20510,AITraining,8,RegionF,RegionE,480,480,5.0,18.0,10240.852907466608,9575.702000000045,6.491826149333229,5.4069153333333215,4.789743504799528
5348,AITraining,6,RegionD,RegionF,360,360,5.0,25.0,9816.978227200067,9060.659822933256,10.502209536000004,6.4501423786666106,16.654816366933723
28291,BatchInference,8,RegionA,RegionB,480,480,5.0,12.0,10293.463619999795,9864.56542499994,8.448432299999865,7.903214550000104,2.5047691949989073
47055,BatchInference,11,RegionD,RegionF,660,660,5.0,25.0,4997.268266666856,4612.271170833403,4.540187733333134,2.788630016666652,7.086723795832718
23279,AITraining,7,RegionA,RegionB,420,480,5.0,12.0,11446.567487999899,10976.36831999992,9.600897599999854,8.833847040000064,2.5334014079991434
28627,BatchInference,6,RegionB,RegionC,360,360,5.0,14.0,5728.512374999946,5686.056090000025,5.286161250000001,5.124367799999966,0.5647550850000549
9233,BatchInference,11,RegionD,RegionF,660,660,5.0,25.0,3473.3885013334607,3205.795108166714,3.15584554666652,1.9383430033333262,4.834472733166187
44429,AITraining,6,RegionD,RegionF,360,360,5.0,25.0,4487.503872000018,4141.768026666629,4.893736960000005,3.005558293333323,7.593917178666784
13959,BatchInference,11,RegionA,RegionC,660,660,5.0,15.0,5328.60767999997,5068.755455999936,4.268937600000007,3.871021439999971,1.7096768640001763
36974,AITraining,10,RegionF,RegionE,600,720,5.0,18.0,4439.023752533309,4155.6328000001495,2.735795391999933,2.2347013333334877,0.2840845205322715
14687,AITraining,9,RegionD,RegionF,540,540,5.0,25.0,4264.7371776001,3936.233224799977,4.017420287999957,2.4675449759998767,6.224153200800442
25727,BatchInference,10,RegionB,RegionC,600,600,5.0,14.0,4349.247209999904,4317.03596799998,3.422018249999992,3.3171699399999692,0.32355198200000856
49610,BatchInference,7,RegionA,RegionB,420,420,5.0,12.0,4445.813924999975,4260.575024999959,3.754721249999927,3.512517749999998,1.0490528999997295
31200,BatchInference,11,RegionD,RegionF,660,660,5.0,25.0,2522.7820800000427,2328.4332399999903,2.2963135999998703,1.4104874000000285,3.4353786399994206
48568,AITraining,11,RegionD,RegionF,660,660,5.0,25.0,3901.9397120000795,3601.354239999896,3.5675340799998523,2.1913900800000734,5.501641471999298
44241,BatchInference,11,RegionD,RegionF,660,660,5.0,25.0,1620.280832000064,1495.453956000013,1.4742425599999558,0.9054744400000044,2.0984393559998553
30358,BatchInference,11,RegionB,RegionC,660,660,5.0,14.0,2337.343087500051,2320.0300100000013,1.8382376250000652,1.781857150000055,0.11157247750008814
29032,AITraining,7,RegionB,RegionC,420,420,5.0,14.0,2881.9929599999823,2860.646711999995,2.430350999999963,2.355996720000049,0.1883833679996414
47481,BatchInference,7,RegionD,RegionF,420,420,5.0,25.0,912.4684800000064,842.167479999995,0.8881664000000111,0.5454586500000019,1.1403070000000488
