Hour,Region,PricePeriod,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,AvailableRenewable_MW,NonAI_IT_Load_MW,AbsoluteHour,AI_IT_Load_MW,IT_Load_MW,PUE,Total_Load_MW,Q2Method,ObservedElectricityPrice_CNY_per_MWh,ObservedCarbonIntensity_tCO2_per_MWh,ObservedAvailableRenewable_MW,ScenarioPriceMultiplier,ScenarioCarbonMultiplier,ScenarioRenewableMultiplier,ChargePower_MW,DischargePower_MW,SOC_MWh,RenewableToLoad_MW,RenewableCharge_MW,GridCharge_MW,GridLoadPurchase_MW,GridPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,ChargeMode,GridImportMode,Method,Scenario
0,RegionA,Valley,459.4400000000,0.0000000000,0.6534000000,540.1900000000,343.6786670000,2328,1.4400000000,345.1186670000,1.3500000000,465.9102004500,FIFO_latency_feasible_local_first,459.4400000000,0.6534000000,540.1900000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,465.9102004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,74.2797995500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
1,RegionA,Valley,459.6500000000,0.0000000000,0.6555000000,587.8700000000,360.9213330000,2329,3.7520000000,364.6733330000,1.3500000000,492.3089995500,FIFO_latency_feasible_local_first,459.6500000000,0.6555000000,587.8700000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,492.3089995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,95.5610004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
2,RegionA,Valley,459.8700000000,0.0000000000,0.6543000000,650.0000000000,388.0120000000,2330,4.0136666667,392.0256666667,1.3500000000,529.2346500000,FIFO_latency_feasible_local_first,459.8700000000,0.6543000000,650.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,529.2346500000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,120.7653500000,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
3,RegionA,Valley,460.0900000000,0.0000000000,0.6498000000,722.3500000000,395.2613330000,2331,5.0986666667,400.3599996667,1.3500000000,540.4859995500,FIFO_latency_feasible_local_first,460.0900000000,0.6498000000,722.3500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,540.4859995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181.8640004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
4,RegionA,Valley,460.3200000000,0.0000000000,0.6424000000,800.0000000000,391.8600000000,2332,9.6626666667,401.5226666667,1.3500000000,542.0556000000,FIFO_latency_feasible_local_first,460.3200000000,0.6424000000,800.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,542.0556000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,257.9444000000,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
5,RegionA,Valley,460.5600000000,0.0000000000,0.6327000000,877.6500000000,393.0646670000,2333,9.3853333333,402.4500003333,1.3500000000,543.3075004500,FIFO_latency_feasible_local_first,460.5600000000,0.6327000000,877.6500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,543.3075004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,334.3424995500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
6,RegionA,Valley,460.8100000000,0.0000000000,0.6212000000,950.0000000000,393.8320000000,2334,9.3680000000,403.2000000000,1.3500000000,544.3200000000,FIFO_latency_feasible_local_first,460.8100000000,0.6212000000,950.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,405.6800000000,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
7,RegionA,Flat,709.3200000000,0.0000000000,0.6090000000,1012.1300000000,375.7946670000,2335,27.4053333333,403.2000003333,1.3500000000,544.3200004500,FIFO_latency_feasible_local_first,709.3200000000,0.6090000000,1012.1300000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3200004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,467.8099995500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
8,RegionA,Flat,709.7100000000,0.0000000000,0.5967000000,1059.8100000000,354.5046670000,2336,48.6953333333,403.2000003333,1.3500000000,544.3200004500,FIFO_latency_feasible_local_first,709.7100000000,0.5967000000,1059.8100000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3200004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,515.4899995500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
9,RegionA,Flat,710.1200000000,0.0000000000,0.5853000000,1089.7800000000,350.4706670000,2337,52.7293333333,403.2000003333,1.3500000000,544.3200004500,FIFO_latency_feasible_local_first,710.1200000000,0.5853000000,1089.7800000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3200004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,545.4599995500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
10,RegionA,Flat,710.5300000000,0.0000000000,0.5756000000,1100.0000000000,340.9533330000,2338,62.2466666667,403.1999996667,1.3500000000,544.3199995500,FIFO_latency_feasible_local_first,710.5300000000,0.5756000000,1100.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3199995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,555.6800004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
11,RegionA,Flat,710.9500000000,0.0000000000,0.5684000000,1089.7800000000,318.8353330000,2339,60.4646666667,379.2999996667,1.3500000000,512.0549995500,FIFO_latency_feasible_local_first,710.9500000000,0.5684000000,1089.7800000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,512.0549995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,577.7250004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
12,RegionA,Flat,711.3700000000,0.0000000000,0.5640000000,1059.8100000000,298.1053330000,2340,69.8426666667,367.9479996667,1.3500000000,496.7297995500,FIFO_latency_feasible_local_first,711.3700000000,0.5640000000,1059.8100000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,496.7297995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,563.0802004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
13,RegionA,Flat,711.8000000000,0.0000000000,0.5630000000,1012.1300000000,285.2006670000,2341,40.2553333333,325.4560003333,1.3500000000,439.3656004500,FIFO_latency_feasible_local_first,711.8000000000,0.5630000000,1012.1300000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,439.3656004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,572.7643995500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
