Hour,Region,PricePeriod,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,AvailableRenewable_MW,NonAI_IT_Load_MW,AbsoluteHour,AI_IT_Load_MW,IT_Load_MW,PUE,Total_Load_MW,Q2Method
0,RegionA,Valley,459.4400000000,0.0000000000,0.6534000000,540.1900000000,343.6786670000,2328,1.4400000000,345.1186670000,1.3500000000,465.9102004500,FIFO_latency_feasible_local_first
1,RegionA,Valley,459.6500000000,0.0000000000,0.6555000000,587.8700000000,360.9213330000,2329,3.7520000000,364.6733330000,1.3500000000,492.3089995500,FIFO_latency_feasible_local_first
2,RegionA,Valley,459.8700000000,0.0000000000,0.6543000000,650.0000000000,388.0120000000,2330,4.0136666667,392.0256666667,1.3500000000,529.2346500000,FIFO_latency_feasible_local_first
3,RegionA,Valley,460.0900000000,0.0000000000,0.6498000000,722.3500000000,395.2613330000,2331,5.0986666667,400.3599996667,1.3500000000,540.4859995500,FIFO_latency_feasible_local_first
4,RegionA,Valley,460.3200000000,0.0000000000,0.6424000000,800.0000000000,391.8600000000,2332,9.6626666667,401.5226666667,1.3500000000,542.0556000000,FIFO_latency_feasible_local_first
5,RegionA,Valley,460.5600000000,0.0000000000,0.6327000000,877.6500000000,393.0646670000,2333,9.3853333333,402.4500003333,1.3500000000,543.3075004500,FIFO_latency_feasible_local_first
6,RegionA,Valley,460.8100000000,0.0000000000,0.6212000000,950.0000000000,393.8320000000,2334,9.3680000000,403.2000000000,1.3500000000,544.3200000000,FIFO_latency_feasible_local_first
7,RegionA,Flat,709.3200000000,0.0000000000,0.6090000000,1012.1300000000,375.7946670000,2335,27.4053333333,403.2000003333,1.3500000000,544.3200004500,FIFO_latency_feasible_local_first
8,RegionA,Flat,709.7100000000,0.0000000000,0.5967000000,1059.8100000000,354.5046670000,2336,48.6953333333,403.2000003333,1.3500000000,544.3200004500,FIFO_latency_feasible_local_first
9,RegionA,Flat,710.1200000000,0.0000000000,0.5853000000,1089.7800000000,350.4706670000,2337,52.7293333333,403.2000003333,1.3500000000,544.3200004500,FIFO_latency_feasible_local_first
10,RegionA,Flat,710.5300000000,0.0000000000,0.5756000000,1100.0000000000,340.9533330000,2338,62.2466666667,403.1999996667,1.3500000000,544.3199995500,FIFO_latency_feasible_local_first
11,RegionA,Flat,710.9500000000,0.0000000000,0.5684000000,1089.7800000000,318.8353330000,2339,60.4646666667,379.2999996667,1.3500000000,512.0549995500,FIFO_latency_feasible_local_first
12,RegionA,Flat,711.3700000000,0.0000000000,0.5640000000,1059.8100000000,298.1053330000,2340,69.8426666667,367.9479996667,1.3500000000,496.7297995500,FIFO_latency_feasible_local_first
13,RegionA,Flat,711.8000000000,0.0000000000,0.5630000000,1012.1300000000,285.2006670000,2341,40.2553333333,325.4560003333,1.3500000000,439.3656004500,FIFO_latency_feasible_local_first
14,RegionA,Flat,712.2400000000,0.0000000000,0.5653000000,950.0000000000,306.1516670000,2342,21.6873333333,327.8390003333,1.3500000000,442.5826504500,FIFO_latency_feasible_local_first
15,RegionA,Flat,712.6900000000,0.0000000000,0.5709000000,877.6500000000,299.7593330000,2343,14.9906666667,314.7499996667,1.3500000000,424.9124995500,FIFO_latency_feasible_local_first
16,RegionA,Flat,713.1400000000,0.0000000000,0.5794000000,800.0000000000,220.9423330000,2344,29.1316666667,250.0739996667,1.3500000000,337.5998995500,FIFO_latency_feasible_local_first
17,RegionA,Peak,1034.7000000000,0.0000000000,0.5904000000,722.3500000000,194.5866670000,2345,26.9233333333,221.5100003333,1.3500000000,299.0385004500,FIFO_latency_feasible_local_first
18,RegionA,Peak,1035.3700000000,0.0000000000,0.6030000000,650.0000000000,208.5800000000,2346,15.6600000000,224.2400000000,1.3500000000,302.7240000000,FIFO_latency_feasible_local_first
19,RegionA,Peak,1036.0300000000,0.0000000000,0.6165000000,587.8700000000,243.5246670000,2347,9.9253333333,253.4500003333,1.3500000000,342.1575004500,FIFO_latency_feasible_local_first
20,RegionA,Peak,1036.7100000000,0.0000000000,0.6301000000,540.1900000000,230.4453330000,2348,7.1746666667,237.6199996667,1.3500000000,320.7869995500,FIFO_latency_feasible_local_first
21,RegionA,Peak,1037.3800000000,0.0000000000,0.6427000000,510.2200000000,257.2800000000,2349,9.7400000000,267.0200000000,1.3500000000,360.4770000000,FIFO_latency_feasible_local_first
22,RegionA,Flat,644.3100000000,0.0000000000,0.6537000000,500.0000000000,266.8433330000,2350,26.7066666667,293.5499996667,1.3500000000,396.2924995500,FIFO_latency_feasible_local_first
23,RegionA,Flat,644.7400000000,0.0000000000,0.6623000000,510.2200000000,315.1273330000,2351,25.1426666667,340.2699996667,1.3500000000,459.3644995500,FIFO_latency_feasible_local_first
24,RegionA,Valley,465.9500000000,0.0000000000,0.6679000000,540.1900000000,320.0600000000,2352,24.3000000000,344.3600000000,1.3500000000,464.8860000000,FIFO_latency_feasible_local_first
25,RegionA,Valley,466.2500000000,0.0000000000,0.6703000000,587.8700000000,357.6143330000,2353,23.7356666667,381.3499996667,1.3500000000,514.8224995500,FIFO_latency_feasible_local_first
26,RegionA,Valley,466.5600000000,0.0000000000,0.6693000000,650.0000000000,380.1740000000,2354,23.0260000000,403.2000000000,1.3500000000,544.3200000000,FIFO_latency_feasible_local_first
27,RegionA,Valley,466.8600000000,0.0000000000,0.6650000000,722.3500000000,376.8586670000,2355,26.3413333333,403.2000003333,1.3500000000,544.3200004500,FIFO_latency_feasible_local_first
28,RegionA,Valley,467.1600000000,0.0000000000,0.6578000000,800.0000000000,382.0483330000,2356,15.5783333333,397.6266663333,1.3500000000,536.7959995500,FIFO_latency_feasible_local_first
29,RegionA,Valley,467.4700000000,0.0000000000,0.6483000000,877.6500000000,394.3153330000,2357,14.4580000000,408.7733330000,1.3500000000,551.8439995500,FIFO_latency_feasible_local_first
30,RegionA,Valley,467.7600000000,0.0000000000,0.6370000000,950.0000000000,398.1686670000,2358,5.0313333333,403.2000003333,1.3500000000,544.3200004500,FIFO_latency_feasible_local_first
31,RegionA,Flat,720.1000000000,0.0000000000,0.6248000000,1012.1300000000,399.2600000000,2359,3.9400000000,403.2000000000,1.3500000000,544.3200000000,FIFO_latency_feasible_local_first
32,RegionA,Flat,720.5500000000,0.0000000000,0.6126000000,1059.8100000000,397.6533330000,2360,5.5466666667,403.1999996667,1.3500000000,544.3199995500,FIFO_latency_feasible_local_first
33,RegionA,Flat,721.0000000000,0.0000000000,0.6013000000,1089.7800000000,396.5840000000,2361,6.6160000000,403.2000000000,1.3500000000,544.3200000000,FIFO_latency_feasible_local_first
34,RegionA,Flat,721.4400000000,0.0000000000,0.5917000000,1100.0000000000,397.0053330000,2362,6.1946666667,403.1999996667,1.3500000000,544.3199995500,FIFO_latency_feasible_local_first
35,RegionA,Flat,721.8800000000,0.0000000000,0.5845000000,1089.7800000000,375.2343330000,2363,7.2056666667,382.4399996667,1.3500000000,516.2939995500,FIFO_latency_feasible_local_first
36,RegionA,Flat,722.3100000000,0.0000000000,0.5802000000,1059.8100000000,318.1453330000,2364,17.3046666667,335.4499996667,1.3500000000,452.8574995500,FIFO_latency_feasible_local_first
37,RegionA,Flat,722.7400000000,0.0000000000,0.5791000000,1012.1300000000,323.7120000000,2365,16.1880000000,339.9000000000,1.3500000000,458.8650000000,FIFO_latency_feasible_local_first
38,RegionA,Flat,723.1600000000,0.0000000000,0.5814000000,950.0000000000,306.7846670000,2366,14.8633333333,321.6480003333,1.3500000000,434.2248004500,FIFO_latency_feasible_local_first
