scenario,method,region,solver_success,solver_status,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,peak_facility_load_MW,renewable_utilization_ratio,terminal_SOC_MWh,task_completion_rate,SLA_violation_rate,mean_latency_ms
observed,Q2_FIFO_plus_no_storage_renewable_first,RegionA,True,deterministic baseline,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,551.8439995500,0.5710887030,157.5000000000,1.0000000000,0.0000000000,5.0000000000
observed,Q2_FIFO_plus_no_storage_renewable_first,RegionB,True,deterministic baseline,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,532.8719995500,0.5608276015,144.0000000000,1.0000000000,0.0000000000,5.0000000000
observed,Q2_FIFO_plus_no_storage_renewable_first,RegionC,True,deterministic baseline,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,536.5440004600,0.5707174319,135.0000000000,1.0000000000,0.0000000000,5.0000000000
observed,Q2_FIFO_plus_no_storage_renewable_first,RegionD,True,deterministic baseline,0.0000000000,0.0000000000,-4060247.5698230849,0.0000000000,-78.6731995733,611.4688004267,0.7660631889,405.0000000000,1.0000000000,0.0000000000,5.0000000000
observed,Q2_FIFO_plus_no_storage_renewable_first,RegionE,True,deterministic baseline,0.0000000000,0.0000000000,-4274241.4650071627,0.0000000000,-96.1583333333,614.0625000000,0.7964505136,370.0000000000,1.0000000000,0.0000000000,5.0000000000
observed,Q2_FIFO_plus_no_storage_renewable_first,RegionF,True,deterministic baseline,0.0000000000,0.0000000000,-4437512.9445440238,0.0000000000,-78.0771000000,623.9509995767,0.7995941064,382.5000000000,1.0000000000,0.0000000000,5.0000000000
peak_price_empirical,Q2_FIFO_plus_no_storage_renewable_first,RegionA,True,deterministic baseline,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,551.8439995500,0.5710887030,157.5000000000,1.0000000000,0.0000000000,5.0000000000
peak_price_empirical,Q2_FIFO_plus_no_storage_renewable_first,RegionB,True,deterministic baseline,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,532.8719995500,0.5608276015,144.0000000000,1.0000000000,0.0000000000,5.0000000000
peak_price_empirical,Q2_FIFO_plus_no_storage_renewable_first,RegionC,True,deterministic baseline,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,536.5440004600,0.5707174319,135.0000000000,1.0000000000,0.0000000000,5.0000000000
peak_price_empirical,Q2_FIFO_plus_no_storage_renewable_first,RegionD,True,deterministic baseline,0.0000000000,0.0000000000,-4060247.5698230849,0.0000000000,-78.6731995733,611.4688004267,0.7660631889,405.0000000000,1.0000000000,0.0000000000,5.0000000000
