Hour,AbsoluteHour,SystemNetGridImport_MW,SystemGridPurchase_MW,SystemGridSell_MW,SystemFacilityLoad_MW,SystemAvailableRenewable_MW,SystemCurtailment_MW,Scenario,Method,ReportedPositivePeak_MW,PeakLinkSlack_MW
0,2328,-546.1512495833,0.0000000000,546.1512495833,2302.3980608567,3241.1400000000,418.8871695600,observed,candidate,0.0000000000,546.1512495833
1,2329,-484.9558337500,0.0000000000,484.9558337500,2704.8149495500,3527.2200000000,411.3182367000,observed,candidate,0.0000000000,484.9558337500
2,2330,-436.5604166667,0.0000000000,436.5604166667,2965.2963462533,3900.0000000000,534.0101399900,observed,candidate,0.0000000000,436.5604166667
3,2331,-615.7820841667,0.0000000000,615.7820841667,3121.6184515900,4334.1000000000,767.1866146600,observed,candidate,0.0000000000,615.7820841667
4,2332,-620.0000000000,0.0000000000,620.0000000000,3266.3363467333,4800.0000000000,1022.8949028500,observed,candidate,0.0000000000,620.0000000000
5,2333,-620.0000000000,0.0000000000,620.0000000000,3323.0172266667,5265.9000000000,1359.7327733333,observed,candidate,0.0000000000,620.0000000000
6,2334,-620.0000000000,0.0000000000,620.0000000000,3315.8861019900,5700.0000000000,1764.1138980100,observed,candidate,0.0000000000,620.0000000000
7,2335,-620.0000000000,0.0000000000,620.0000000000,3322.5123529000,6072.7800000000,2130.2676471000,observed,candidate,0.0000000000,620.0000000000
8,2336,-620.0000000000,0.0000000000,620.0000000000,3270.7540913100,6358.8600000000,2468.1059086900,observed,candidate,0.0000000000,620.0000000000
9,2337,-620.0000000000,0.0000000000,620.0000000000,3251.6388470500,6538.6800000000,2667.0411529500,observed,candidate,0.0000000000,620.0000000000
10,2338,-620.0000000000,0.0000000000,620.0000000000,3142.7827062133,6600.0000000000,2837.2172937867,observed,candidate,0.0000000000,620.0000000000
11,2339,-620.0000000000,0.0000000000,620.0000000000,2971.0183586400,6538.6800000000,2947.6616413600,observed,candidate,0.0000000000,620.0000000000
