Hour,Region,AvailableRenewable_MW,Total_Load_MW,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,ChargePower_MW,DischargePower_MW,SOC_MWh,RenewableToLoad_MW,RenewableCharge_MW,GridCharge_MW,GridPurchase_MW,GridLoadPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,GridEnergyForCost_MW,ChargeMode,GridImportMode,Method
0,RegionA,378.1330000000,499.1490004500,468.0000000000,0.0000000000,0.6679000000,0.0000000000,0.0000000000,157.5000000000,378.1330000000,0.0000000000,0.0000000000,121.0160004500,121.0160004500,0.0000000000,0.0000000000,121.0160004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
1,RegionA,411.5090000000,535.4235000000,468.3100000000,0.0000000000,0.6703000000,0.0000000000,77.6892330367,73.0551814819,411.5090000000,0.0000000000,0.0000000000,46.2252669633,46.2252669633,0.0000000000,0.0000000000,46.2252669633,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
2,RegionA,455.0000000000,544.3200000000,468.6100000000,0.0000000000,0.6693000000,0.0000000000,35.0107669633,35.0000000000,455.0000000000,0.0000000000,0.0000000000,54.3092330367,54.3092330367,0.0000000000,0.0000000000,54.3092330367,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
3,RegionA,505.6450000000,544.3200000000,468.9100000000,0.0000000000,0.6650000000,0.0000000000,-0.0000000000,35.0000000000,505.6450000000,-0.0000000000,0.0000000000,38.6750000000,38.6750000000,0.0000000000,0.0000000000,38.6750000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
4,RegionA,560.0000000000,544.3199995500,469.2200000000,0.0000000000,0.6578000000,0.0000000000,0.0000000000,35.0000000000,544.3199995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,15.6800004500,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
5,RegionA,614.3550000000,544.3200000000,469.5200000000,0.0000000000,0.6483000000,0.0000000000,0.0000000000,35.0000000000,544.3200000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,70.0350000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
6,RegionA,665.0000000000,544.3200004500,469.8200000000,0.0000000000,0.6370000000,0.0000000000,0.0000000000,35.0000000000,544.3200004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,120.6799995500,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
7,RegionA,708.4910000000,544.3200004500,723.2600000000,0.0000000000,0.6248000000,0.0000000000,0.0000000000,35.0000000000,544.3200004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,164.1709995500,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
8,RegionA,741.8670000000,544.3200000000,723.7100000000,0.0000000000,0.6126000000,0.0000000000,0.0000000000,35.0000000000,544.3200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,197.5470000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
9,RegionA,762.8460000000,544.3199995500,724.1600000000,0.0000000000,0.6013000000,0.0000000000,0.0000000000,35.0000000000,544.3199995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,218.5260004500,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
10,RegionA,770.0000000000,531.7110004500,724.6100000000,0.0000000000,0.5917000000,0.0000000000,0.0000000000,35.0000000000,531.7110004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,238.2889995500,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
11,RegionA,762.8460000000,506.1015000000,725.0400000000,0.0000000000,0.5845000000,0.0000000000,0.0000000000,35.0000000000,506.1015000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,256.7445000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
12,RegionA,741.8670000000,466.4789995500,725.4800000000,0.0000000000,0.5802000000,0.0000000000,0.0000000000,35.0000000000,466.4789995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,275.3880004500,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
13,RegionA,708.4910000000,443.6667000000,725.9000000000,0.0000000000,0.5791000000,0.0000000000,0.0000000000,35.0000000000,443.6667000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,264.8243000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
14,RegionA,665.0000000000,423.0872995500,726.3200000000,0.0000000000,0.5814000000,0.0000000000,0.0000000000,35.0000000000,423.0872995500,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,241.9127004500,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
15,RegionA,614.3550000000,379.0665000000,726.7400000000,0.0000000000,0.5869000000,0.0000000000,0.0000000000,35.0000000000,379.0665000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,235.2885000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
16,RegionA,560.0000000000,334.0439995500,727.1400000000,0.0000000000,0.5954000000,0.0000000000,0.0000000000,35.0000000000,334.0439995500,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,225.9560004500,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
17,RegionA,505.6450000000,316.9124995500,1054.9200000000,0.0000000000,0.6062000000,86.5557930458,0.0000000000,115.4968875326,316.9124995500,86.5557930458,0.0000000000,0.0000000000,0.0000000000,0.0000000000,102.1767074042,0.0000000000,0.0000000000,1,1,Q2_candidate_plus_integrated_storage_MILP
18,RegionA,455.0000000000,299.4434995500,1055.4900000000,0.0000000000,0.6188000000,100.0000000000,0.0000000000,208.4968875326,299.4434995500,100.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,55.5565004500,0.0000000000,0.0000000000,1,1,Q2_candidate_plus_integrated_storage_MILP
19,RegionA,411.5090000000,386.4914995500,1056.0300000000,0.0000000000,0.6321000000,25.0175004500,0.0000000000,231.7631629511,386.4914995500,25.0175004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,1,Q2_candidate_plus_integrated_storage_MILP
20,RegionA,378.1330000000,330.8849995500,1056.5600000000,0.0000000000,0.6455000000,47.2480004500,0.0000000000,275.7038033696,330.8849995500,47.2480004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,1,Q2_candidate_plus_integrated_storage_MILP
21,RegionA,357.1540000000,376.1235000000,1057.0800000000,0.0000000000,0.6580000000,0.0000000000,18.9695000000,255.0847816304,357.1540000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
22,RegionA,350.0000000000,388.0034995500,656.4300000000,0.0000000000,0.6687000000,0.0000000000,38.0034995500,213.7766299457,350.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
23,RegionA,357.1540000000,408.9284995500,656.7300000000,0.0000000000,0.6771000000,0.0000000000,51.7744995500,157.5000000000,357.1540000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
0,RegionB,378.1330000000,458.7435004500,448.5000000000,0.0000000000,0.6248000000,0.0000000000,9.5150339267,133.6575718188,378.1330000000,0.0000000000,0.0000000000,71.0954665233,71.0954665233,0.0000000000,0.0000000000,71.0954665233,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
1,RegionB,411.5090000000,527.3369995500,448.7900000000,0.0000000000,0.6271000000,0.0000000000,90.0000000000,35.8314848623,411.5090000000,0.0000000000,0.0000000000,25.8279995500,25.8279995500,0.0000000000,0.0000000000,25.8279995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
2,RegionB,455.0000000000,531.3599995500,449.0800000000,0.0000000000,0.6261000000,0.0000000000,3.5249660733,32.0000000000,455.0000000000,0.0000000000,0.0000000000,72.8350334767,72.8350334767,0.0000000000,0.0000000000,72.8350334767,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
3,RegionB,505.6450000000,531.3600000000,449.3800000000,0.0000000000,0.6221000000,0.0000000000,-0.0000000000,32.0000000000,505.6450000000,-0.0000000000,0.0000000000,25.7150000000,25.7150000000,0.0000000000,0.0000000000,25.7150000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
4,RegionB,560.0000000000,531.3600004500,449.6700000000,0.0000000000,0.6154000000,0.0000000000,0.0000000000,32.0000000000,531.3600004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,28.6399995500,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
5,RegionB,614.3550000000,531.3599995500,449.9600000000,0.0000000000,0.6064000000,0.0000000000,0.0000000000,32.0000000000,531.3599995500,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,82.9950004500,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
6,RegionB,665.0000000000,531.3600000000,450.2400000000,0.0000000000,0.5959000000,0.0000000000,0.0000000000,32.0000000000,531.3600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,133.6400000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
7,RegionB,708.4910000000,531.3599995500,693.1200000000,0.0000000000,0.5845000000,0.0000000000,0.0000000000,32.0000000000,531.3599995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,177.1310004500,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
8,RegionB,741.8670000000,531.3599995500,693.5600000000,0.0000000000,0.5731000000,0.0000000000,0.0000000000,32.0000000000,531.3599995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,210.5070004500,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
9,RegionB,762.8460000000,531.3600000000,693.9900000000,0.0000000000,0.5625000000,0.0000000000,0.0000000000,32.0000000000,531.3600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,231.4860000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
